metric,error,true_label,embedding,type_number
num_tables,-1.87e+12,0.2351***,0.0390**,4
num_columns,-1.7155***,0.3363***,0.0336*,1
num_joins,1.66e+12,0.6328***,-0.0722***,4
num_filters,-0.2966**,0.0187,-0.1625***,6
longest_path_len,2.1249*,0.1338***,-0.1772***,4
num_nodes,-2.4228,0.2064***,-0.1169***,4
join_tree_diameter,-0.8825***,0.6199***,-0.0730***,1
num_blocking_ops,-0.3001,0.2660***,0.1702***,3
num_nested_loop,1.80e+12,-0.3127***,0.0994***,5
max_est_join_input_rows,1.3402**,0.6765***,-0.0002,4
sum_est_join_input_rows,-2.0967***,0.6779***,0.0016,1
num_highly_selective_filters,0.228,-0.6130***,0.0255,6
log_filter_selectivity_product,0.078,0.5989***,0.1328***,3
optimizer_est_cost_root,2.2126***,0.9215***,-0.0289*,1
log_max_est_rows,-1.3388,0.8339***,0.1190***,3
log_sum_est_rows,1.4489,0.8641***,0.0975***,3
max_log_card_error,0.2356**,-0.1373***,-0.1126***,6
