metric,error,true_label,embedding,type_number
num_tables,-4.33e+11,0.2351***,-0.2530***,4
num_columns,-0.0257,0.3363***,-0.2257***,4
num_joins,3.84e+11,0.6328***,-0.1272***,4
num_filters,0.0084,0.0187,-0.3365***,6
longest_path_len,-0.044,0.1338***,-0.3329***,4
num_nodes,0.2111,0.2064***,-0.2902***,4
join_tree_diameter,0.0037,0.6199***,-0.1526***,4
num_blocking_ops,-0.0184,0.2660***,0.0989***,3
num_nested_loop,4.17e+11,-0.3127***,-0.2078***,6
max_est_join_input_rows,0.0259,0.6765***,-0.0895***,4
sum_est_join_input_rows,-0.0648,0.6779***,-0.0885***,4
num_highly_selective_filters,0.0006,-0.6130***,0.1658***,5
log_filter_selectivity_product,-0.0137,0.5989***,0.0138,4
optimizer_est_cost_root,0.0377,0.9215***,0.0516***,3
log_max_est_rows,0.4392,0.8339***,0.0028,4
log_sum_est_rows,-0.3656,0.8641***,-0.0348*,4
max_log_card_error,0.0425*,-0.1373***,-0.0376**,6
