metric,error,true_label,embedding,type_number
num_tables,-5.47e+11,0.2351***,-0.2505***,4
num_columns,-0.0092,0.3363***,-0.2238***,4
num_joins,4.85e+11,0.6328***,-0.1385***,4
num_filters,0.0447,0.0187,-0.3354***,6
longest_path_len,-0.0982,0.1338***,-0.3372***,4
num_nodes,0.4169,0.2064***,-0.2929***,4
join_tree_diameter,0.0446,0.6199***,-0.1642***,4
num_blocking_ops,-0.0424,0.2660***,0.1013***,3
num_nested_loop,5.27e+11,-0.3127***,-0.1950***,6
max_est_join_input_rows,-0.0302,0.6765***,-0.0978***,4
sum_est_join_input_rows,0.0096,0.6779***,-0.0969***,4
num_highly_selective_filters,-0.0491,-0.6130***,0.1946***,5
log_filter_selectivity_product,-0.00007834,0.5989***,-0.0071,4
optimizer_est_cost_root,0.0187,0.9215***,0.0346*,4
log_max_est_rows,0.9554**,0.8339***,-0.0164,4
log_sum_est_rows,-0.8662*,0.8641***,-0.0536***,4
max_log_card_error,0.079***,-0.1373***,-0.0333*,6
