metric,error,true_label,embedding,type_number
num_tables,-5.21e+11,0.2351***,-0.2518***,4
num_columns,-0.0144,0.3363***,-0.2253***,4
num_joins,4.62e+11,0.6328***,-0.1335***,4
num_filters,0.0223,0.0187,-0.3362***,6
longest_path_len,0.0688,0.1338***,-0.3342***,4
num_nodes,0.0697,0.2064***,-0.2909***,4
join_tree_diameter,0.0322,0.6199***,-0.1591***,4
num_blocking_ops,-0.0172,0.2660***,0.0998***,3
num_nested_loop,5.02e+11,-0.3127***,-0.2009***,6
max_est_join_input_rows,0.0258,0.6765***,-0.0945***,4
sum_est_join_input_rows,-0.0462,0.6779***,-0.0936***,4
num_highly_selective_filters,-0.0308,-0.6130***,0.1816***,5
log_filter_selectivity_product,0.0055,0.5989***,0.0022,4
optimizer_est_cost_root,0.0192,0.9215***,0.0416**,4
log_max_est_rows,0.7991*,0.8339***,-0.0082,4
log_sum_est_rows,-0.7203*,0.8641***,-0.0455**,4
max_log_card_error,0.0993***,-0.1373***,-0.0339*,6
