metric,error,true_label,embedding,type_number
num_tables,-5.30e+11,0.2351***,-0.2542***,4
num_columns,-0.0056,0.3363***,-0.2272***,4
num_joins,4.69e+11,0.6328***,-0.1265***,4
num_filters,0.0159,0.0187,-0.3370***,6
longest_path_len,0.0105,0.1338***,-0.3305***,4
num_nodes,0.1537,0.2064***,-0.2889***,4
join_tree_diameter,0.0384,0.6199***,-0.1519***,4
num_blocking_ops,-0.0131,0.2660***,0.0971***,3
num_nested_loop,5.10e+11,-0.3127***,-0.2096***,6
max_est_join_input_rows,0.0032,0.6765***,-0.0900***,4
sum_est_join_input_rows,-0.0195,0.6779***,-0.0890***,4
num_highly_selective_filters,-0.0251,-0.6130***,0.1636***,5
log_filter_selectivity_product,0.0001,0.5989***,0.0144,4
optimizer_est_cost_root,0.0114,0.9215***,0.0519***,3
log_max_est_rows,0.5796,0.8339***,0.0030,4
log_sum_est_rows,-0.5084,0.8641***,-0.0345*,4
max_log_card_error,0.067**,-0.1373***,-0.0371**,6
