metric,error,true_label,embedding,type_number
num_tables,-13.7477,-0.1979*,0.0486,6
num_columns,-5.5629,-0.0514,-0.1679*,6
num_joins,11.3409,-0.0340,0.0179,6
num_filters,-7.8798,-0.0438,-0.0692,6
longest_path_len,-1.3619,-0.2689***,-0.0987,6
num_nodes,19.5384,-0.0283,-0.0308,6
join_tree_diameter,-0.5265,-0.0752,-0.0317,6
num_blocking_ops,-8.5,0.0648,0.0133,6
num_nested_loop,8.8645,-0.2049*,-0.1000,6
max_est_join_input_rows,41.4339,-0.0313,-0.0505,6
sum_est_join_input_rows,-48.2747,-0.0285,-0.0473,6
num_highly_selective_filters,-0.4906,-0.2021*,0.0671,6
log_filter_selectivity_product,-3.4116,0.1285,0.0538,6
optimizer_est_cost_root,-0.5858,0.1117,0.0589,6
log_max_est_rows,-25.138,0.0337,-0.0320,6
log_sum_est_rows,26.7428,0.0820,-0.0076,6
max_log_card_error,0.4836,-0.0463,-0.1359,6
