metric,error,true_label,embedding,type_number
num_tables,-69.7337,-0.1979*,-0.0294,6
num_columns,-46.5023,-0.0514,-0.1799*,6
num_joins,48.4012,-0.0340,0.0709,6
num_filters,-37.239,-0.0438,-0.0347,6
longest_path_len,7.1167,-0.2689***,-0.0731,6
num_nodes,107.6191,-0.0283,-0.0109,6
join_tree_diameter,-2.8725,-0.0752,0.0405,6
num_blocking_ops,-49.1842,0.0648,0.0317,6
num_nested_loop,53.7041,-0.2049*,-0.1381,6
max_est_join_input_rows,384.3692,-0.0313,0.0249,6
sum_est_join_input_rows,-409.1687,-0.0285,0.0190,6
num_highly_selective_filters,-4.6704,-0.2021*,0.0011,6
log_filter_selectivity_product,-19.3521,0.1285,0.0436,6
optimizer_est_cost_root,13.5982,0.1117,0.0446,6
log_max_est_rows,-136.276,0.0337,-0.0066,6
log_sum_est_rows,142.667,0.0820,0.0250,6
max_log_card_error,3.0358,-0.0463,-0.0415,6
