metric,error,true_label,embedding,type_number
num_tables,0.1605,-0.1979*,-0.0717,6
num_columns,-1.4646,-0.0514,0.0815,6
num_joins,0.2815,-0.0340,-0.0494,6
num_filters,-0.4888,-0.0438,0.0650,6
longest_path_len,0.0372,-0.2689***,-0.1288,6
num_nodes,-0.3344,-0.0283,-0.0300,6
join_tree_diameter,0.0076,-0.0752,-0.0254,6
num_blocking_ops,1.1704,0.0648,-0.0385,6
num_nested_loop,1.0531,-0.2049*,0.0069,6
max_est_join_input_rows,0.054,-0.0313,-0.0411,6
sum_est_join_input_rows,-0.089,-0.0285,-0.0477,6
num_highly_selective_filters,0.1586,-0.2021*,-0.1415,6
log_filter_selectivity_product,-0.0194,0.1285,0.1042,6
optimizer_est_cost_root,0.8927,0.1117,0.0239,6
log_max_est_rows,-1.6175,0.0337,0.0410,6
log_sum_est_rows,1.4119,0.0820,0.0657,6
max_log_card_error,0.4475,-0.0463,0.1043,6
