metric,error,true_label,embedding,type_number
num_tables,7.56,-0.1979*,-0.0717,6
num_columns,3.2312,-0.0514,0.0815,6
num_joins,-6.0451,-0.0340,-0.0494,6
num_filters,3.8138,-0.0438,0.0650,6
longest_path_len,0.3465,-0.2689***,-0.1288,6
num_nodes,-10.8358,-0.0283,-0.0300,6
join_tree_diameter,0.3722,-0.0752,-0.0254,6
num_blocking_ops,5.2469,0.0648,-0.0385,6
num_nested_loop,-4.7754,-0.2049*,0.0069,6
max_est_join_input_rows,-33.0964,-0.0313,-0.0411,6
sum_est_join_input_rows,36.6724,-0.0285,-0.0477,6
num_highly_selective_filters,0.0862,-0.2021*,-0.1415,6
log_filter_selectivity_product,1.691,0.1285,0.1042,6
optimizer_est_cost_root,-0.01,0.1117,0.0239,6
log_max_est_rows,14.0293,0.0337,0.0410,6
log_sum_est_rows,-14.9822,0.0820,0.0657,6
max_log_card_error,-0.0411,-0.0463,0.1043,6
