metric,error,true_label,embedding,type_number
num_tables,3.4425,-0.1979*,-0.0714,6
num_columns,1.0418,-0.0514,0.0717,6
num_joins,-2.5791,-0.0340,-0.0442,6
num_filters,1.6114,-0.0438,0.0616,6
longest_path_len,0.1545,-0.2689***,-0.1262,6
num_nodes,-5.0653,-0.0283,-0.0288,6
join_tree_diameter,0.1135,-0.0752,-0.0213,6
num_blocking_ops,2.8791,0.0648,-0.0348,6
num_nested_loop,-1.8014,-0.2049*,0.0023,6
max_est_join_input_rows,-15.0052,-0.0313,-0.0383,6
sum_est_join_input_rows,16.5822,-0.0285,-0.0449,6
num_highly_selective_filters,0.1943,-0.2021*,-0.1387,6
log_filter_selectivity_product,0.8572,0.1285,0.1075,6
optimizer_est_cost_root,0.1587,0.1117,0.0158,6
log_max_est_rows,5.9312,0.0337,0.0475,6
log_sum_est_rows,-6.4202,0.0820,0.0697,6
max_log_card_error,0.1341,-0.0463,0.1113,6
