metric,error,true_label,embedding,type_number
num_tables,-44.6091,-0.1979*,-0.0789,6
num_columns,-24.9043,-0.0514,-0.0593,6
num_joins,41.1533,-0.0340,-0.0282,6
num_filters,-21.7847,-0.0438,-0.0969,6
longest_path_len,-0.5235,-0.2689***,-0.0677,6
num_nodes,65.7528,-0.0283,-0.0452,6
join_tree_diameter,-5.5271,-0.0752,-0.0636,6
num_blocking_ops,-28.8019,0.0648,0.0240,6
num_nested_loop,35.413,-0.2049*,-0.0781,6
max_est_join_input_rows,242.7503,-0.0313,-0.0180,6
sum_est_join_input_rows,-264.4117,-0.0285,-0.0179,6
num_highly_selective_filters,-4.5273,-0.2021*,-0.0418,6
log_filter_selectivity_product,-11.1308,0.1285,0.0657,6
optimizer_est_cost_root,0.7971,0.1117,-0.0545,6
log_max_est_rows,-89.3184,0.0337,-0.0492,6
log_sum_est_rows,93.3493,0.0820,-0.0643,6
max_log_card_error,1.3973,-0.0463,-0.0149,6
