metric,error,true_label,embedding,type_number
num_tables,0.0,NaN,NaN,6
num_columns,0.0,NaN,NaN,6
num_joins,0.0,NaN,NaN,6
num_filters,0.0,NaN,NaN,6
longest_path_len,0.0,NaN,NaN,6
num_nodes,0.0,NaN,NaN,6
join_tree_diameter,0.0,NaN,NaN,6
num_blocking_ops,0.0,NaN,NaN,6
num_nested_loop,0.0,NaN,NaN,6
max_est_join_input_rows,0.0,NaN,NaN,6
sum_est_join_input_rows,0.0,NaN,NaN,6
num_highly_selective_filters,0.0,NaN,NaN,6
log_filter_selectivity_product,0.0,NaN,NaN,6
optimizer_est_cost_root,0.0,NaN,NaN,6
log_max_est_rows,0.0,NaN,NaN,6
log_sum_est_rows,0.0,NaN,NaN,6
max_log_card_error,0.0,NaN,NaN,6
