metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,-11.601809312228736,,3.5712054099907755,0.9591910304418969,0.6456255738064072,22.189406128564077,-11.508278559103342,-2.2380376146208905,"[0, 1, 2, 3, 4]","[2.0, 3.0, 3.0, 3.0, 4.0]","[2.0, 2.0, 3.0, 3.0, 4.0]","[2.0, 3.0, 3.0, 4.0, 5.0]","[3.149815592533998, 2.2188247728873915, 2.4701349749829946, 2.8568552788254986, 27.012198081065343]","[63.098703187122524, 46.94151365804728, 24.26379299520723, 54.56437006743329, 1419.2772179281026]","[699.2177301366097, 511.79926459396427, 105.97959139984403, 152.44366984705346, 3386.9313159210164]","[16105.238851297912, 12360.14616076319, 2476.112433515385, 3774.862808812603, 33634.086615827844]",2.0596908261781244,-0.06224080631987228,27.450604765655825,-0.13021254338495836,481.1420526232349,-0.1901105157600802,11024.920569899714,-0.05595818469722702
num_columns,5.574246958366132,,2.6959693553191926,0.9691891807534831,0.7085638833272956,135.5922209407574,643.1827059139898,3312.237928896015,"[0, 1, 2, 3, 4]","[17.0, 20.0, 22.0, 24.0, 27.0]","[15.0, 19.0, 20.0, 22.0, 25.0]","[19.0, 20.0, 22.0, 25.0, 32.0]","[4.287181279039932, 2.1985921362296086, 2.3819065234996875, 2.4840369652915135, 21.989842982015634]","[60.960265282430115, 13.593803769377823, 169.20333435301842, 99.22760578811975, 1255.1775737005519]","[699.2177301366097, 47.04555090423865, 1937.926093858884, 136.39929527570536, 3386.9313159210164]","[16105.238851297912, 256.99030027333004, 12360.14616076319, 1912.421118219076, 33634.086615827844]",2.39068623516617,0.015679507576712992,-54.33999441123668,0.39226780714797793,157.49741335456167,0.3347627923693447,6229.279084186717,0.18514646767452536
num_joins,-11.601809312228736,,3.5712054099907755,0.9591910304418969,0.6456255738064072,22.189406128564077,-11.508278559103342,-2.2380376146208905,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 2.0, 2.0, 3.0]","[1.0, 2.0, 2.0, 3.0, 4.0]","[3.149815592533998, 2.2188247728873915, 2.4701349749829946, 2.8568552788254986, 27.012198081065343]","[63.098703187122524, 46.94151365804728, 24.26379299520723, 54.56437006743329, 1419.2772179281026]","[699.2177301366097, 511.79926459396427, 105.97959139984403, 152.44366984705346, 3386.9313159210164]","[16105.238851297912, 12360.14616076319, 2476.112433515385, 3774.862808812603, 33634.086615827844]",2.0596908261781244,-0.06224080631987228,27.450604765655825,-0.13021254338495836,481.1420526232349,-0.1901105157600802,11024.920569899714,-0.05595818469722702
num_filters,11.75805853351238,,8.287507030294789,0.9053742491825703,3.0227785314193296,72.99544781081119,564.9770704049307,7553.472669131191,"[0, 1, 2, 3, 4]","[1.0, 1.0, 2.0, 2.0, 3.0]","[0.0, 1.0, 1.0, 2.0, 3.0]","[1.0, 1.0, 2.0, 3.0, 6.0]","[1.6836246729281668, 2.2188247728873915, 5.477473428316512, 5.774646899363068, 51.571654572782535]","[7.402054004587439, 23.70223828760695, 45.67769390920636, 127.30564761988808, 2940.4384844260885]","[17.312632883403573, 59.121502591826314, 66.46049263456581, 768.2630467131299, 4574.394824058412]","[213.364464577311, 213.364464577311, 6913.666233726044, 16105.238851297912, 33634.086615827844]",0.10385962908269197,0.14912374232735293,-41.020069439598636,-0.08288642168376126,-447.31519036907616,0.45461707858985956,-4105.816024400943,0.8621637320063507
longest_path_len,-8.845349113047762,,1.3541954778412346,0.9845228186539807,0.5594396908893532,37.95240782848124,603.2537557363942,3441.8373392391586,"[0, 1, 2, 3, 4]","[3.0, 4.0, 4.0, 5.0, 6.0]","[2.0, 3.0, 4.0, 5.0, 6.0]","[3.0, 4.0, 5.0, 6.0, 9.0]","[2.1153386744944087, 3.5613560430283444, 8.84589172831575, 5.142214746055792, 4.122127932934769]","[34.92553086987382, 54.56437006743329, 156.6646534221217, 447.9769923564689, 146.90655742758844]","[62.715040863956695, 120.23026328483584, 1048.9820139669118, 1828.0950339137016, 2370.0606697929543]","[3370.5302874863564, 16105.238851297912, 10930.90540168136, 33634.086615827844, 17333.476831543383]",2.8794569631873497,0.00969655256308155,44.761749506289,0.19315063255450804,-63.69678771490469,0.9503008101890991,7509.840679234308,0.35519730644596204
num_nodes,17.425779525501806,,2.1715241675690877,0.9751821331578083,0.7158898550860634,175.07852594867455,768.9452672609369,554.2734145220148,"[0, 1, 2, 3, 4]","[4.0, 5.0, 7.0, 8.0, 10.0]","[3.0, 5.0, 6.0, 7.0, 8.0]","[5.0, 6.0, 7.0, 8.0, 13.0]","[2.468338550249892, 2.810084362653272, 3.5613560430283444, 2.8194184549668915, 16.667329357978776]","[60.960265282430115, 14.194897558115393, 214.49342852194218, 59.491751832205225, 1419.2772179281026]","[213.364464577311, 24.822913717847907, 1937.926093858884, 169.97328889272342, 3386.9313159210164]","[16105.238851297912, 10930.90540168136, 12360.14616076319, 1037.5852363316856, 33634.086615827844]",2.2307035910211495,0.10195629464495404,-78.52875132695391,0.43465071321850857,-143.26610752619644,0.4312457231133846,12577.824585399454,0.032590179643634754
join_tree_diameter,0.0,,0.0,1.0,0.4552932053392988,27.64424593701493,43.640944049056934,4015.3481289663346,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.678968915544135, 3.620975283665448, 4.026415895429237, 4.130831229492037, 4.7005114705429865]","[46.70461653200636, 135.48276999082913, 65.75064366769276, 256.4128601434923, 149.46943276207938]","[212.87326468877296, 1437.5053485845997, 209.0668317639828, 1237.3586227856044, 453.78821729337835]","[10930.90540168136, 16132.442951311608, 17333.476831543383, 16105.238851297912, 33634.086615827844]",2.9209541656124025,0.9190866538647925,65.49591666282787,0.3609671320625337,591.4738809446352,0.00045396818599141575,10783.591415621822,0.6807269444425648
num_blocking_ops,-3.0313690710991352,,0.1763064912758241,0.9979850092340363,-0.570007337778841,-77.59705466682894,-612.0893124319325,-3247.5787973514703,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.0]","[5.100422056762483, 3.9020096537549556, 6.575026667243381, 2.6890455278989287, 2.8568552788254986]","[362.2294737378333, 189.07745076060272, 449.9520703860263, 27.9665695405234, 54.56437006743329]","[2542.57314252059, 1364.0874355507399, 2395.7840755350603, 65.18279265180165, 120.0930861376624]","[17333.476831543383, 5472.782130451996, 33634.086615827844, 6913.666233726044, 4182.170686106339]",4.917338041560624,0.21163848351281556,334.10661591300584,0.38424673173194857,2373.8377132549513,0.6469218037024194,17054.12177751976,0.020418600958860056
num_nested_loop,7.196742293494689,,5.18035884464617,0.9408167066953075,2.636429109647016,124.39120846399905,607.6643802960023,4357.066250025726,"[0, 1, 2, 3, 4]","[0.0, 0.0, 1.0, 1.0, 2.0]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 1.0, 2.0, 4.0]","[2.0249559362048215, 2.2108139298509375, 5.122802549190465, 6.935735233806271, 12.844816707199412]","[10.99429175719926, 11.182305356466761, 105.25003755058663, 365.029462783482, 456.383651615534]","[35.28358761313486, 35.28358761313486, 1166.6080928643314, 2225.8592291353048, 2392.6317700770064]","[16105.238851297912, 120.39792424249228, 11594.50066798895, 12360.14616076319, 33634.086615827844]",0.5549669205004238,0.8853884922967061,-57.247127786545896,0.8963928355841095,-17.154271410467796,0.9057105219965529,6048.753781234516,0.3779993396598492
max_est_join_input_rows,4.3253443767001265,,-1.2839181912087152,0.9853260722384782,-2.146437049763968,-39.8045653610591,-90.23841547084265,-6429.753093814087,"[0, 1, 2, 3, 4]","[88.0, 191369.0, 841655.0, 1459332.0, 7428524.0]","[2.0, 40474.0, 430248.0, 1238087.0, 4523930.0]","[25702.0, 430248.0, 1238087.0, 4523930.0, 36253208.0]","[9.67433449029229, 26.47756388347074, 2.3819065234996875, 2.765111663360439, 1.9305182876942533]","[174.13903254221125, 3340.4009205075604, 12.211354676938893, 40.47253826945081, 40.33973438398557]","[401.3150290729303, 7463.376981971578, 55.60234324485354, 118.47645778415111, 61.849541920619544]","[33634.086615827844, 17333.476831543383, 1584.2953216498745, 4713.450075209333, 212.47137387087824]",9.798349527398065,0.1664556639114413,177.8610795339584,-0.19491023205865865,404.4366520905692,-0.1959702618435999,24565.805438917912,0.7643496554053495
