metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,0.5200300493406413,,0.3875955091981548,0.8140823412503819,-0.0008923840269349134,3.337318901279602,3.90185688115136,-85.65407447645778,"[0, 1, 2, 3, 4]","[2.0, 3.0, 3.0, 3.0, 4.0]","[2.0, 2.0, 3.0, 3.0, 4.0]","[2.0, 3.0, 3.0, 4.0, 5.0]","[1.9685828872056925, 1.9815225231028397, 1.834227569350645, 1.7744903632169469, 3.2416041018606903]","[5.074587587800967, 7.55562224344392, 5.907367285242919, 9.897178167862387, 20.59091964962944]","[10.452980280762697, 30.45859993645234, 8.567082600427307, 20.281906118605935, 29.42523402793318]","[446.12937636866855, 617.2599006080034, 613.9468421554205, 456.4941520288972, 97.61976887520704]",1.9290033341754602,-0.18439233465195493,3.130497019150164,0.7006481294488165,10.949015364405195,0.13943869848606838,617.5981724846239,0.4110242842019831
num_columns,-0.0854351490926718,,0.2709375927990589,0.8694272861591195,0.2251388675960384,3.545127682875933,4.320587868765813,-87.43944044299384,"[0, 1, 2, 3, 4]","[17.0, 20.0, 22.0, 24.0, 27.0]","[15.0, 19.0, 20.0, 22.0, 25.0]","[19.0, 20.0, 22.0, 25.0, 32.0]","[2.192297091035678, 1.6388833378747152, 1.998382276460674, 1.7540045711157672, 3.26043830372564]","[6.827546377374683, 3.81613135513428, 9.642166622057674, 6.544133411798853, 22.137551916340314]","[12.957204446934513, 6.483458888323603, 14.674853405609312, 10.263596810935049, 32.06125560464633]","[617.2599006080034, 20.31035088237801, 613.9468421554205, 456.4941520288972, 97.61976887520704]",1.718524292846139,0.302772307642996,3.124196814279591,0.5295893929450868,6.8909581015772785,0.4510086467762481,590.5366995295186,0.04362555230482412
num_joins,0.5200300493406413,,0.3875955091981548,0.8140823412503819,-0.0008923840269349134,3.337318901279602,3.90185688115136,-85.65407447645778,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 2.0, 2.0, 3.0]","[1.0, 2.0, 2.0, 3.0, 4.0]","[1.9685828872056925, 1.9815225231028397, 1.834227569350645, 1.7744903632169469, 3.2416041018606903]","[5.074587587800967, 7.55562224344392, 5.907367285242919, 9.897178167862387, 20.59091964962944]","[10.452980280762697, 30.45859993645234, 8.567082600427307, 20.281906118605935, 29.42523402793318]","[446.12937636866855, 617.2599006080034, 613.9468421554205, 456.4941520288972, 97.61976887520704]",1.9290033341754602,-0.18439233465195493,3.130497019150164,0.7006481294488165,10.949015364405195,0.13943869848606838,617.5981724846239,0.4110242842019831
num_filters,0.4000901465108552,,0.4278849061261439,0.7950627429811907,0.2457219017507778,2.6713561668613135,4.424556316769543,-22.658627486207433,"[0, 1, 2, 3, 4]","[1.0, 1.0, 2.0, 2.0, 3.0]","[0.0, 1.0, 1.0, 2.0, 3.0]","[1.0, 1.0, 2.0, 3.0, 6.0]","[1.4439937791199897, 1.824522994067849, 2.34274188299682, 2.218627450332245, 2.475551771184291]","[3.866634775374675, 5.456248926631173, 9.032957681313519, 13.057901405744845, 14.392362046420702]","[9.359501576784822, 20.59091964962944, 11.989652211994834, 54.599228404644556, 26.004489974027706]","[446.12937636866855, 49.638371551299485, 427.2802347362014, 617.2599006080034, 97.99188340938468]",1.5194208504028506,0.8295001644598133,3.7546058146162875,0.9689129077835538,11.27738031906341,0.231996659285038,369.1177969753219,0.00261323519699197
longest_path_len,-1.1672407626444063,,0.0765571778071216,0.9629552270566542,-0.03670985555469519,-0.20819594261271188,-1.4669278221384603,-135.47568114821297,"[0, 1, 2, 3, 4]","[3.0, 4.0, 4.0, 5.0, 6.0]","[2.0, 3.0, 4.0, 5.0, 6.0]","[3.0, 4.0, 5.0, 6.0, 9.0]","[1.9363983859988019, 2.129672541114051, 2.1926570203887445, 1.838680332687877, 1.8983450038488496]","[6.780159027648324, 20.5628627729043, 8.891424018713801, 12.726616826246921, 6.504927404042477]","[12.073664956544482, 38.77669600445119, 17.14199381953355, 19.73083444856243, 7.857063538217624]","[446.12937636866855, 617.2599006080034, 613.9468421554205, 97.61976887520704, 27.625143852420745]",2.0619415796270846,0.1368723554729704,10.248640351750753,-0.03574312861462525,19.48812229593022,0.046347448151654924,615.2371683973188,0.5757062458645832
num_nodes,0.5752694144760117,,0.21259241758458586,0.8973857749406471,0.22416089303862036,2.388979930985189,2.36006595348774,-123.05697053452295,"[0, 1, 2, 3, 4]","[4.0, 5.0, 7.0, 8.0, 10.0]","[3.0, 5.0, 6.0, 7.0, 8.0]","[5.0, 6.0, 7.0, 8.0, 13.0]","[1.9742072751565405, 1.9171164760726087, 2.1926570203887445, 1.7526585289721697, 2.936436842297888]","[7.265500348734144, 4.336487575236585, 16.892351518404247, 5.74177276649639, 17.645869804819842]","[13.474819381502098, 6.51354492152212, 37.55925754377504, 12.559890451859792, 22.252577335095186]","[617.2599006080034, 75.4554319633521, 613.9468421554205, 49.638371551299485, 97.61976887520704]",1.8026159888135806,0.27823416514993315,5.7676235351850815,0.2988385601494089,10.69696359408445,0.015548273451029382,541.9722608237762,0.3133800215226811
join_tree_diameter,0.0,,0.0,1.0,0.09503553668744544,0.8371448525111684,1.7314825062472279,-25.93076363966571,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.9906995937285663, 1.7841994781639323, 2.1634388908599216, 1.8582346492094386, 2.3921367816312755]","[11.212345878668456, 5.361376990575346, 8.846888197304253, 11.73609298533045, 12.379550973787113]","[54.599228404644556, 7.494112977414283, 12.469640439111181, 21.141340114226534, 22.218420836019632]","[617.2599006080034, 30.16886876402313, 24.92405405509899, 91.76310528842832, 456.4941520288972]",1.8623609490165902,0.31351055544373063,8.476075837678348,0.2208820306990562,13.415349465258954,-0.3193750691476551,295.9835436606349,0.022419888332891214
num_blocking_ops,0.48731975942416006,,0.5181444712263921,0.7532454153553365,0.013651304837470235,-0.03239866937594805,0.11470903749171912,3.748189462078888,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.0]","[1.939632405550514, 2.1653961144114797, 2.1487513046096045, 1.802163593756093, 2.118545979856768]","[8.705269153840595, 14.63509826392982, 8.459428562181552, 6.211692422905571, 10.310775870375343]","[16.61755282291342, 32.22776042760045, 13.02214437980478, 14.92495938867458, 20.59091964962944]","[91.76310528842832, 456.4941520288972, 613.9468421554205, 617.2599006080034, 30.16886876402313]",2.0359789839165052,-0.060254701868237115,9.22328855593556,-0.024169568575509892,17.1466319253324,-0.10385032725906651,354.4302092864035,0.00044029488558794405
num_nested_loop,-1.1272649667468073,,0.36378055263119097,0.8251581571029865,0.2653295559950477,3.931487322787883,7.126864508422547,171.3983885009506,"[0, 1, 2, 3, 4]","[0.0, 0.0, 1.0, 1.0, 2.0]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 1.0, 2.0, 4.0]","[1.6816120475030882, 1.7893800419752168, 2.4322035436363225, 2.0271328616953, 2.7673427780404336]","[4.202889205836407, 4.093167202111466, 7.295136444178372, 12.689854624948056, 19.562368791797994]","[9.10844404745287, 10.399998954056795, 12.934867574703652, 23.213566255487166, 38.33753880650177]","[49.638371551299485, 29.889870557030267, 91.76310528842832, 617.2599006080034, 613.9468421554205]",1.637229015427319,0.6916827858432947,1.7057102149530237,0.8906097876038932,4.577270918915956,0.8464876291118294,-54.63719086972702,0.7816985050317011
max_est_join_input_rows,1.841388966660847,,-0.14818581408925224,0.9283495514903861,-0.1657213897987613,-3.951280441525352,-7.69730489377407,-41.17254059249264,"[0, 1, 2, 3, 4]","[88.0, 191369.0, 841655.0, 1459332.0, 7428524.0]","[2.0, 40474.0, 430248.0, 1238087.0, 4523930.0]","[25702.0, 430248.0, 1238087.0, 4523930.0, 36253208.0]","[2.644202275559239, 2.2415179334735935, 1.494409843738315, 1.8398245850165345, 2.016441628990988]","[30.80436593458054, 8.811294688259304, 3.1467029850516326, 6.223789011402359, 12.340138127092384]","[94.39860390247868, 12.937138819800413, 5.208561434235212, 8.181047362417937, 21.080182284826876]","[617.2599006080034, 69.2622777673262, 30.16886876402313, 20.59091964962944, 49.638371551299485]",2.4566066799275212,0.3285012222075434,20.1678189898206,0.3285445704004739,36.31538375721476,0.2611834906363525,162.53216078692907,0.19092998510807835
