metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,-4.333798641565481,,1.99692009185474,0.9150193974372135,0.2739454401374545,10.31284192344942,2.125677754245485,691.8062244199118,"[0, 1, 2, 3, 4]","[2.0, 3.0, 3.0, 3.0, 4.0]","[2.0, 2.0, 3.0, 3.0, 4.0]","[2.0, 3.0, 3.0, 4.0, 5.0]","[2.1757838329105246, 1.847195824726855, 1.9199203658560995, 2.1313821885580073, 16.17214376442819]","[23.957847239088746, 20.074425186569147, 11.840341496601111, 25.499600011705827, 595.0680172894696]","[238.76366426735936, 185.40190569357864, 43.227884841210056, 64.65134826858764, 2171.583359971922]","[5529.269167851958, 4457.7358427508925, 1104.7931375831968, 2678.176510014942, 23596.325406927834]",1.7476502544182708,-0.1114279186643885,10.21223881202855,-0.12082701479789781,164.11321989034016,-0.20212795704732267,3365.6942427459485,0.01679020422580657
num_columns,3.6879735487023075,,1.5955301006863138,0.9377828814144452,0.35332392848202543,48.4756584465544,404.1532121464882,3427.289326441664,"[0, 1, 2, 3, 4]","[17.0, 20.0, 22.0, 24.0, 27.0]","[15.0, 19.0, 20.0, 22.0, 25.0]","[19.0, 20.0, 22.0, 25.0, 32.0]","[2.629066637325947, 1.769275002716024, 1.9378278667960274, 1.9874078476409753, 14.193851489551724]","[23.79400682718803, 7.049922930645596, 62.03941395107395, 41.23879372468973, 526.0658426150293]","[238.9320686186654, 20.430141230394657, 656.4468761274826, 67.00759752715584, 1966.4277331197684]","[5583.802048901895, 127.46531121881439, 4456.631489933365, 5939.708461753388, 23596.325406927834]",1.8154099171891578,-0.037180332388680126,-17.515074402330214,0.3237598397181527,-107.57055949300164,0.43335825494074975,492.91731423125583,0.511079844228886
num_joins,-4.333798641565481,,1.99692009185474,0.9150193974372135,0.2739454401374545,10.31284192344942,2.125677754245485,691.8062244199118,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 2.0, 2.0, 3.0]","[1.0, 2.0, 2.0, 3.0, 4.0]","[2.1757838329105246, 1.847195824726855, 1.9199203658560995, 2.1313821885580073, 16.17214376442819]","[23.957847239088746, 20.074425186569147, 11.840341496601111, 25.499600011705827, 595.0680172894696]","[238.76366426735936, 185.40190569357864, 43.227884841210056, 64.65134826858764, 2171.583359971922]","[5529.269167851958, 4457.7358427508925, 1104.7931375831968, 2678.176510014942, 23596.325406927834]",1.7476502544182708,-0.1114279186643885,10.21223881202855,-0.12082701479789781,164.11321989034016,-0.20212795704732267,3365.6942427459485,0.01679020422580657
num_filters,4.9829988387921125,,3.434300079547045,0.8927977709581226,1.3760825211577123,26.10019915310149,207.07654559262915,4976.646988374646,"[0, 1, 2, 3, 4]","[1.0, 1.0, 2.0, 2.0, 3.0]","[0.0, 1.0, 1.0, 2.0, 3.0]","[1.0, 1.0, 2.0, 3.0, 6.0]","[1.4608895934977255, 1.812509521144156, 3.2855507876674626, 3.351623442523574, 20.129388823075892]","[4.826289115515067, 12.359816508619852, 25.157643690295732, 52.87222669887504, 1100.0555869210618]","[10.842125469717416, 32.77639686056844, 38.47722965328979, 286.23135411514124, 2566.2642813330854]","[226.9039617473751, 215.50294918463428, 7597.05219449148, 5706.100072929133, 23596.449445105896]",0.8102355320161678,0.23061880975559068,-10.139046456888929,-0.0909337256463647,-156.2042779675065,0.25297955503741076,-2296.8264465204766,0.7385968147574468
longest_path_len,-4.71152257221418,,0.7390416378942657,0.9788531367400691,0.3188044854457576,21.206726437643056,217.1445118170802,2557.5817036583567,"[0, 1, 2, 3, 4]","[3.0, 4.0, 4.0, 5.0, 6.0]","[2.0, 3.0, 4.0, 5.0, 6.0]","[3.0, 4.0, 5.0, 6.0, 9.0]","[1.768929129646077, 2.4286350954264635, 4.358328600131184, 2.888291743321662, 3.1331257467334015]","[15.134603897729733, 30.841717924152153, 111.64880658816465, 174.6786018458398, 62.14695049644425]","[26.864825660532574, 59.543449674176856, 472.0537164651143, 737.9427974163444, 812.0791848649175]","[1281.855686218265, 5648.939629661567, 8998.354119616326, 23596.325406927834, 6819.831835120873]",1.9684104578548325,0.14602468675128133,31.33725394379625,0.3229859465517795,2.6135413403490415,0.9298418815902132,2752.135010151044,0.25402912881424766
num_nodes,5.927332726238202,,1.2103154992839427,0.9517518420656016,0.356110329027112,64.48923084677769,360.712921015249,1287.0109848172583,"[0, 1, 2, 3, 4]","[4.0, 5.0, 7.0, 8.0, 10.0]","[3.0, 5.0, 6.0, 7.0, 8.0]","[5.0, 6.0, 7.0, 8.0, 13.0]","[1.9352239799444064, 2.0379686575697282, 2.418027872731265, 2.1558284558184813, 9.308795408543483]","[24.11029424243951, 7.782667321382342, 80.48683169346246, 67.66910566690832, 514.6360049549656]","[77.8198554478396, 14.175770254293994, 665.4980194146294, 156.67856049324635, 1563.7309766143942]","[5583.802048901895, 3800.720766842065, 4399.471046665799, 5512.477907631727, 23596.325406927834]",1.774296746465878,0.08325211511890318,-27.02946386629257,0.4767454901487759,-125.68730152230401,0.529560497651997,3542.616596584409,0.17687177587382397
join_tree_diameter,0.0,,0.0,1.0,0.2512697292197442,13.447919947434613,23.1567969509612,1625.7883544066087,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.0704100149471585, 2.3024679843439864, 2.6784715656210527, 2.54962112163096, 3.0784650403509466]","[25.20820459828674, 50.66819709703763, 34.97118477823972, 95.413592965088, 77.14600450019277]","[118.14549270424278, 488.58525016607956, 120.46439333294357, 433.79001626419426, 230.64747032420107]","[7423.106343047905, 5519.258082895226, 10936.203666870226, 17751.423930888934, 12715.429480246668]",2.0649984702972084,0.8548659082023017,28.594022271189573,0.6384835206484019,219.6781489092341,0.014516873505405203,7106.735437940334,0.508945956964439
num_blocking_ops,-0.9836638129236389,,0.2559823052168668,0.9167366542471992,-0.1938092238930384,-26.17645544331534,-208.85414900314717,-2947.204651033412,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.0]","[2.89819139896211, 2.759747337510086, 3.4956821176631423, 2.0241591984371268, 2.158490604486324]","[130.7236666182608, 93.5711429351067, 163.97121931894594, 17.168617155809837, 27.706259656478156]","[879.7727399893396, 575.1825579216467, 830.2571068607846, 34.59497513953473, 58.33079067479474]","[10958.48335061467, 14328.84870618712, 12767.913710288842, 2642.24253373851, 1622.7378691070164]",2.9284918023072337,0.28374818716154826,127.62783360661345,0.44802855275375153,852.5193208305368,0.700249440876323,14297.140416287752,0.6583611329540058
num_nested_loop,0.7249048386623045,,2.4784510468314433,0.9132373666532004,1.2188437853339664,69.06963065520038,446.87088801929525,2853.7185552682013,"[0, 1, 2, 3, 4]","[0.0, 0.0, 1.0, 1.0, 2.0]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 1.0, 2.0, 4.0]","[1.6586801004518472, 1.7877733620843135, 3.090713797943931, 3.6657345640286976, 7.667872940789852]","[6.283808693175222, 9.039929081377014, 40.473892582130524, 131.53374392981118, 290.53989321150897]","[18.914652784020053, 21.462959872650526, 402.24688354651147, 759.5462271075645, 1937.0914848483105]","[5404.8588606462135, 69.67435294747484, 3916.2680437828517, 4400.575399483326, 23768.434431354573]",0.9656875454545736,0.7909749916111303,-42.565005149183776,0.8260814230039446,-275.20955896880344,0.8294764345463087,680.3885758385173,0.4227760078666948
max_est_join_input_rows,7.006603418344952,,-0.5740355871522861,0.9698830086087762,-1.0952431174914394,-52.904601631909195,-372.9143222240034,-2567.550709120922,"[0, 1, 2, 3, 4]","[88.0, 191369.0, 841655.0, 1459332.0, 7428524.0]","[2.0, 40474.0, 430248.0, 1238087.0, 4523930.0]","[25702.0, 430248.0, 1238087.0, 4523930.0, 36253208.0]","[5.632652573023595, 10.256019761385694, 1.768536717855332, 2.0777625324291535, 1.7340034150434203]","[197.72002678809102, 1126.5924029450878, 7.857118830057201, 18.52541808491459, 22.569595211762064]","[1303.7525768662153, 2514.536572667274, 26.67004357843234, 55.54036934179888, 33.84883084856533]","[23769.5387841721, 5932.633845973585, 557.5023499415324, 1695.2408278289804, 190.99161690073188]",5.7037061986213455,0.36157734528638874,203.04907101558481,-0.03332146942305392,1334.5136501969316,0.43416597826505554,9453.095465518963,0.44288144000637586
