metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,-1.8167269331158036,,0.8902200206537958,0.5161644830474728,0.7315615762493879,2.6847754795119685,9.92691941319528,19.525745837597416,"[0, 1, 2, 3, 4]","[3.0, 3.0, 3.0, 4.0, 5.0]","[2.0, 3.0, 3.0, 4.0, 4.0]","[3.0, 3.0, 4.0, 4.0, 5.0]","[1.114408592813389, 1.255934118484706, 1.3534126344066664, 2.4492626846711376, 4.175570230625175]","[1.5787250407752849, 1.6660682935725055, 1.952183808093799, 15.307729460568735, 10.650841434670953]","[2.1429868829085903, 1.7131372598499863, 12.257886205952852, 23.117424731864787, 36.77554228407499]","[2.9852420185758586, 1.7580699950482592, 31.335018100811883, 31.602587229912835, 83.8340318415079]",0.6178020803032017,0.80269266719965,0.15725373653895788,0.5907077106755895,-5.512646296264247,0.9120267808258229,-8.001018888467017,0.8273501735862576
num_columns,0.47006070700623354,,0.8612110686228961,0.5304529940355547,0.49589416228689187,1.615902112316865,7.901881113777679,19.54095036527881,"[0, 1, 2, 3, 4]","[20.0, 22.0, 24.0, 27.0, 31.0]","[19.0, 22.0, 24.0, 25.0, 29.0]","[20.0, 22.0, 25.0, 29.0, 32.0]","[1.1128566138407343, 1.318203063141568, 1.4407985608623934, 2.00361099127894, 3.8154047059554124]","[1.5109754970961187, 1.5804025738526297, 6.088659749712004, 16.41485043513983, 6.150088126016299]","[2.1347116278432003, 1.6190941969795136, 16.09577455844602, 23.023775536679455, 33.36335573608862]","[2.9852420185758586, 1.6889427101278396, 31.602587229912835, 31.335018100811883, 83.8340318415079]",0.833232298117684,0.7265515864496339,1.5265187184707991,0.26539002050571125,0.41199445527625944,0.9319931985454487,-7.975154183727627,0.8247138823680447
num_joins,-1.8167269331158036,,0.8902200206537958,0.5161644830474728,0.7315615762493879,2.6847754795119685,9.92691941319528,19.525745837597416,"[0, 1, 2, 3, 4]","[2.0, 2.0, 2.0, 3.0, 4.0]","[1.0, 2.0, 2.0, 3.0, 3.0]","[2.0, 2.0, 3.0, 3.0, 4.0]","[1.114408592813389, 1.255934118484706, 1.3534126344066664, 2.4492626846711376, 4.175570230625175]","[1.5787250407752849, 1.6660682935725055, 1.952183808093799, 15.307729460568735, 10.650841434670953]","[2.1429868829085903, 1.7131372598499863, 12.257886205952852, 23.117424731864787, 36.77554228407499]","[2.9852420185758586, 1.7580699950482592, 31.335018100811883, 31.602587229912835, 83.8340318415079]",0.6178020803032017,0.80269266719965,0.15725373653895788,0.5907077106755895,-5.512646296264247,0.9120267808258229,-8.001018888467017,0.8273501735862576
num_filters,-0.15949257987362817,,0.41209702318164293,0.7676288607885162,0.26740389878239806,3.1554453408536522,8.101405966170706,16.193760869118314,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 3.0, 5.0]","[1.0, 1.0, 2.0, 3.0, 4.0]","[1.0, 2.0, 3.0, 4.0, 6.0]","[1.1166532303786838, 1.5608512336191542, 1.4293463373570652, 3.003134892027699, 2.1588802109386895]","[1.5546295720715961, 7.321899702929554, 4.194212413755671, 10.650841434670953, 14.839995105299977]","[2.1347116278432003, 16.00212536326069, 5.122280562870512, 18.494536670016732, 41.39843034592304]","[2.9852420185758586, 31.335018100811883, 5.63816430351304, 31.602587229912835, 83.8340318415079]",1.1664550391718431,0.4743980467339539,1.6524497959032043,0.808207550310536,0.9022042738183949,0.6826797961259483,-0.6894123830443522,0.6211845722287659
longest_path_len,-3.545072700233697,,0.6914549459867512,0.6167081056853674,0.32197669103298865,4.91496563612302,7.3987643112798045,7.467253921229351,"[0, 1, 2, 3, 4]","[3.0, 4.0, 5.0, 6.0, 7.0]","[2.0, 4.0, 5.0, 6.0, 6.0]","[4.0, 5.0, 6.0, 6.0, 8.0]","[1.2096640133914962, 1.302043381131489, 1.5459964615857642, 1.8450487475446726, 4.175570230625175]","[1.5758426800345244, 5.928849458551552, 2.1616418463072242, 10.650841434670953, 23.790564020519525]","[2.1408251123530198, 11.526840905650925, 3.6604236260831597, 36.77554228407499, 31.428667295997215]","[2.9852420185758586, 18.54849107906969, 6.332443524721194, 83.8340318415079, 31.602587229912835]",1.0462062780324255,0.4285671612915095,-0.5641670735298454,0.7233034865589317,2.7008250880279543,0.6734224521183477,5.26670514273365,0.21201547907935203
num_nodes,7.309047524889397,,0.8369220941060225,0.5423874362951433,0.3832292028969243,5.224471426937237,8.981929317975261,15.266393241520742,"[0, 1, 2, 3, 4]","[5.0, 6.0, 8.0, 9.0, 11.0]","[3.0, 6.0, 7.0, 8.0, 10.0]","[6.0, 7.0, 8.0, 10.0, 11.0]","[1.1228456974528804, 1.246888014726515, 1.5459964615857642, 1.900716428077326, 4.537948210470823]","[1.5758426800345244, 1.6033312961994992, 7.321899702929554, 7.142349412313784, 31.52231649118255]","[2.1408251123530198, 1.639381474257949, 11.526840905650925, 9.734408242599693, 49.88359284397109]","[2.9852420185758586, 1.6889427101278396, 18.54849107906969, 11.436355599303456, 83.8340318415079]",0.939247023939205,0.4518721550439304,-1.7241095302502403,0.6527105221844944,-3.8796208257129017,0.6559746695820935,-7.525513557356332,0.6165088989221805
join_tree_diameter,0.0,,0.0,1.0,0.7165549092745722,2.674998978061318,9.585173314951609,19.915161018326067,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.1128566138407343, 1.4091099428512472, 1.3734488489674646, 2.4492626846711376, 4.175570230625175]","[1.5426823758659889, 1.7373318095721335, 1.952183808093799, 15.307729460568735, 10.650841434670953]","[1.5588865590724725, 2.1875802032829186, 12.257886205952852, 23.117424731864787, 36.77554228407499]","[1.581483459130415, 2.9852420185758586, 31.335018100811883, 31.602587229912835, 83.8340318415079]",0.6941082533563576,0.8006596762086298,0.18529106534799977,0.591321193564731,-4.440006900244318,0.9321406470601462,-8.352762184404343,0.8376325577122444
num_blocking_ops,-1.0777463438699821,,-0.10004366411720811,0.9432781674925717,0.580120199508611,1.4402715188647952,3.0754329335201747,5.965554043915528,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[1.114408592813389, 1.411178568570183, 1.5415891601983334, 2.6975811260799127, 3.3718123089324266]","[1.5426823758659889, 1.7373318095721335, 4.93311177863168, 27.686358384659904, 6.150088126016299]","[1.5588865590724725, 2.1875802032829186, 14.632063132567627, 49.88359284397109, 8.024169051317097]","[1.581483459130415, 2.9852420185758586, 31.335018100811883, 83.8340318415079, 11.436355599303456]",0.9448367282743124,0.8999662242297592,1.3771802865906564,-0.011772773596109953,3.1323072989926697,0.062028004479932175,6.124357484524506,0.10813389785172267
num_nested_loop,0.8075484636229953,,0.3791686135138352,0.7866177455247712,0.4269480272766681,0.9690437755791402,5.681835036197959,15.083345044399215,"[0, 1, 2, 3, 4]","[0.0, 1.0, 2.0, 2.0, 3.0]","[0.0, 0.0, 1.0, 2.0, 3.0]","[0.0, 1.0, 2.0, 3.0, 4.0]","[1.2096640133914962, 1.552907705274666, 1.2999747554125536, 2.331233052546492, 2.955243502757851]","[1.7220320976795003, 24.258298375788286, 2.016287320464991, 10.650841434670953, 6.150088126016299]","[1.804541619168189, 31.428667295997215, 2.446610320540572, 13.925603017221636, 33.36335573608862]","[1.874249055348084, 31.602587229912835, 2.9852420185758586, 18.54849107906969, 83.8340318415079]",1.127155338957761,0.7819552725334272,4.133051369930139,-0.17461822573299957,3.1069834127377596,0.18654489519915174,-2.397776590156046,0.50268376980707
max_est_join_input_rows,-0.041440455176279756,,-0.18891636740523057,0.8930175757977556,-0.04989868719696953,1.3650883039174642,7.176834367873508,16.832341367074054,"[0, 1, 2, 3, 4]","[34.0, 19520.0, 191925.0, 1346703.0, 11121035.5]","[2.0, 3405.0, 191925.0, 632078.0, 4523930.0]","[3405.0, 191925.0, 632078.0, 4523930.0, 36239448.0]","[1.5481709641376842, 1.5513493618068739, 2.331233052546492, 1.8161595251981715, 1.1662548554221883]","[3.0303737413161977, 6.252012110101716, 7.442002358587352, 24.258298375788286, 4.444468415567376]","[4.4142688871559805, 10.608060168743163, 9.734408242599693, 31.428667295997215, 32.49083420116868]","[6.186837833170599, 18.54849107906969, 11.436355599303456, 31.602587229912835, 83.8340318415079]",1.7093805552211643,-0.0024031695377024764,4.209705262217088,0.05091215268338645,3.876330645041633,0.843821762674224,-3.343022309882759,0.7187788911217743
sum_est_join_input_rows,-1.1050823770265952,,-0.17711194247865175,0.8997181382399873,-0.009169569284912395,2.352342598174085,0.6374114703900622,0.6643253109386005,"[0, 1, 2, 3, 4]","[67.0, 29894.5, 444169.5, 2720527.0, 17379638.0]","[5.0, 4551.0, 364722.0, 989570.0, 6901978.0]","[3527.0, 318622.0, 959170.0, 6249148.0, 44631753.0]","[1.3445074982309368, 1.5513493618068739, 2.6975811260799127, 1.8161595251981715, 1.1662548554221883]","[3.005268353426601, 5.328283072877597, 7.991884178166789, 31.52231649118255, 4.444468415567376]","[4.4142688871559805, 10.608060168743163, 9.734408242599693, 49.88359284397109, 5.860006379397545]","[6.186837833170599, 18.54849107906969, 11.436355599303456, 83.8340318415079, 7.745952350733134]",1.5867822442040467,-0.07412471763649853,3.0894730158446144,0.08092432900718793,7.666688277350768,-0.14210007026094074,11.869667831290787,-0.15595225502803634
