metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,-1.5187677816623861,,1.3198771010070436,0.040332268389265735,0.9269499783577105,2.895281741719634,5.557370414055274,7.360123562985835,"[0, 1, 2, 3, 4]","[3.0, 3.0, 3.0, 4.0, 5.0]","[2.0, 3.0, 3.0, 4.0, 4.0]","[3.0, 3.0, 4.0, 4.0, 5.0]","[1.137371647710265, 1.4971139595247083, 1.2216010217422766, 2.3331641041071127, 6.8330192086394295]","[1.5292666235670678, 1.8558957894116441, 3.2165913069160963, 6.207358468655658, 21.131219038794764]","[1.6619499043985249, 1.9575521268179905, 8.015421819441825, 7.741342864493224, 25.605233881573184]","[1.8471133929768664, 2.101772922422452, 15.99583211662257, 10.097169400690548, 31.794200803959487]",0.4547775710722656,0.5867235913551277,-0.46267196980668623,0.5824336252598354,-1.6791664682833145,0.7511156257430917,-1.210146742760777,0.7373671581371373
num_columns,1.0816051815670573,,1.2747772150696968,0.04849197835703012,0.4830068910380385,3.817871149678738,5.7002653095504074,7.793711918940572,"[0, 1, 2, 3, 4]","[20.0, 22.0, 24.0, 27.0, 31.0]","[19.0, 22.0, 24.0, 25.0, 29.0]","[20.0, 22.0, 25.0, 29.0, 32.0]","[1.16827415159702, 1.429611243335202, 1.329106314039518, 1.889295276221329, 5.502129688566326]","[1.5127653440653916, 1.8700603606301254, 5.138049100181009, 17.726162448113975, 14.671029542072244]","[1.7638137161767589, 2.5233288386137858, 7.741342864493224, 19.799475814488236, 21.627796191505475]","[2.101772922422452, 3.718277813267584, 10.097169400690548, 22.27271323105749, 31.794200803959487]",0.8679398881415409,0.41509336640260464,-0.25076942295369214,0.7631456933925681,-0.709379207617254,0.9084751757026502,-1.5558674850252738,0.9380193482401654
num_joins,-1.5187677816623861,,1.3198771010070436,0.040332268389265735,0.9269499783577105,2.895281741719634,5.557370414055274,7.360123562985835,"[0, 1, 2, 3, 4]","[2.0, 2.0, 2.0, 3.0, 4.0]","[1.0, 2.0, 2.0, 3.0, 3.0]","[2.0, 2.0, 3.0, 3.0, 4.0]","[1.137371647710265, 1.4971139595247083, 1.2216010217422766, 2.3331641041071127, 6.8330192086394295]","[1.5292666235670678, 1.8558957894116441, 3.2165913069160963, 6.207358468655658, 21.131219038794764]","[1.6619499043985249, 1.9575521268179905, 8.015421819441825, 7.741342864493224, 25.605233881573184]","[1.8471133929768664, 2.101772922422452, 15.99583211662257, 10.097169400690548, 31.794200803959487]",0.4547775710722656,0.5867235913551277,-0.46267196980668623,0.5824336252598354,-1.6791664682833145,0.7511156257430917,-1.210146742760777,0.7373671581371373
num_filters,0.031431458306840465,,0.514962938257743,0.4597655101167535,0.38466674264716383,3.294331233964737,4.946390335734996,7.021855763332865,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 3.0, 5.0]","[1.0, 1.0, 2.0, 3.0, 4.0]","[1.0, 2.0, 3.0, 4.0, 6.0]","[1.209675817351096, 1.786741519185574, 1.112162897557727, 2.3331641041071127, 2.803025962105351]","[1.6839251417884575, 6.207358468655658, 3.2775566172826904, 15.956563633334376, 14.671029542072244]","[1.8921835644690586, 9.80587481506943, 4.8989934239912145, 19.799475814488236, 21.627796191505475]","[2.101772922422452, 15.99583211662257, 7.668146179383595, 22.27271323105749, 31.794200803959487]",1.2177328653214625,0.6175627364541753,2.030219099208036,0.7330646274285748,2.765903218351468,0.7709903098558742,2.338609844712885,0.7766088189549022
longest_path_len,-3.9946751790253296,,0.5906594173612638,0.39317923540741306,0.18919759731382874,3.353329246367167,3.4396872473915856,3.1765291420565265,"[0, 1, 2, 3, 4]","[3.0, 4.0, 5.0, 6.0, 7.0]","[2.0, 4.0, 5.0, 6.0, 6.0]","[4.0, 5.0, 6.0, 6.0, 8.0]","[1.3166204049391736, 1.5187245950938495, 1.5714082281191666, 1.4928613292688115, 5.769341076545732]","[1.5495044918744745, 4.27609783880437, 1.9152800518112252, 21.131219038794764, 14.560607197425332]","[2.437970033371622, 5.650655702570164, 3.2197024758124746, 25.605233881573184, 16.051043288946026]","[3.718277813267584, 6.472820883463897, 5.587946167436432, 31.794200803959487, 16.153578323261016]",1.2797196283304744,0.04863572246728365,1.2065211604282349,0.563210475331839,2.313736265213823,0.4905980406986368,3.487343765176847,0.3216169131051576
num_nodes,7.340103471077013,,0.8020006750832259,0.23441616269375531,0.3081140459463605,4.1983534769587445,5.621968803451593,7.6319648184591955,"[0, 1, 2, 3, 4]","[5.0, 6.0, 8.0, 9.0, 11.0]","[3.0, 6.0, 7.0, 8.0, 10.0]","[6.0, 7.0, 8.0, 10.0, 11.0]","[1.3166204049391736, 1.2285522392886572, 1.432761783420807, 1.6795298395415306, 6.604468047289899]","[1.5495044918744745, 1.8558957894116441, 5.473947729524488, 14.726780484495794, 16.106254461269483]","[2.437970033371622, 1.9575521268179905, 5.8976523180460445, 19.799475814488236, 21.627796191505475]","[3.718277813267584, 2.101772922422452, 6.472820883463897, 22.27271323105749, 31.794200803959487]",1.041606143270946,0.12412203971688496,-0.4542302626378431,0.8962022279022148,-0.8810675956596281,0.8558146694254419,-1.680532314962966,0.847996379995809
join_tree_diameter,0.0,,0.0,1.0,1.286212476120879,3.6171401825916263,4.647445986826813,7.28868724939872,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.1150654870547123, 1.3817019795882892, 1.2216010217422766, 2.8080712970489037, 6.8330192086394295]","[1.7853922301174197, 1.792004173744116, 2.039267102890109, 6.207358468655658, 21.131219038794764]","[1.9489772047551004, 1.8278969724967862, 6.928434389013596, 7.741342864493224, 25.605233881573184]","[2.101772922422452, 1.879894775338665, 15.99583211662257, 10.097169400690548, 31.794200803959487]",0.09946684558759825,0.7032390472928698,-1.336677670680316,0.641529845407455,-1.078986946599475,0.7239556810865145,-1.1460648168017522,0.734130026156083
num_blocking_ops,-0.7958484001624925,,-0.09418893358815802,0.8959769521992405,1.0635738390151195,3.8347637993801396,4.806516267495235,6.380012780457101,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[1.1721126142230789, 1.3700702236391955, 1.2926734454192623, 3.34583690250271, 5.502129688566326]","[1.7945770170696902, 1.792004173744116, 3.1783618004693315, 15.956563633334376, 14.671029542072244]","[1.9489772047551004, 1.8278969724967862, 7.813683502024853, 23.131996465003933, 18.29527554098978]","[2.101772922422452, 1.879894775338665, 15.99583211662257, 31.794200803959487, 22.27271323105749]",0.5185919509215097,0.7913545605040075,-0.30540496575867954,0.7692034496235196,-0.1955588593434791,0.7477267768188305,0.7581603906877592,0.7135291544823028
num_nested_loop,-0.7356499862024568,,0.44364329939107294,0.5285373382591279,0.4503272156204779,3.303364185780032,4.8733610215210845,7.0977237599681935,"[0, 1, 2, 3, 4]","[0.0, 1.0, 2.0, 2.0, 3.0]","[0.0, 0.0, 1.0, 2.0, 3.0]","[0.0, 1.0, 2.0, 3.0, 4.0]","[1.22195327235445, 1.9248657333594976, 1.2811479048374284, 2.0347855323084363, 3.418639912127664]","[1.5127653440653916, 9.009864845522557, 1.8558957894116441, 15.727827258996662, 14.671029542072244]","[1.6619499043985249, 12.161701351266753, 2.2626202010783745, 19.799475814488236, 21.627796191505475]","[1.8471133929768664, 15.99583211662257, 2.9733959917378363, 22.27271323105749, 31.794200803959487]",1.1037861142602308,0.6448556558175117,2.748528042482299,0.5771680477661415,2.991898271617493,0.6172534053906563,2.0766529801719935,0.653585416777392
max_est_join_input_rows,3.8505167726619365,,-0.10040668281323188,0.8890489601915508,-0.06794107795442651,0.9054547872837996,1.8875724451855846,3.748031237974717,"[0, 1, 2, 3, 4]","[34.0, 19520.0, 191925.0, 1346703.0, 11121035.5]","[2.0, 3405.0, 191925.0, 632078.0, 4523930.0]","[3405.0, 191925.0, 632078.0, 4523930.0, 36239448.0]","[1.7735848827892196, 1.6133189588061252, 2.0026557560858853, 1.7975359686367047, 1.341770044246382]","[5.906471773355451, 5.473947729524488, 14.566453651708152, 9.009864845522557, 8.83474422751046]","[10.06016667204155, 7.556277177254795, 19.799475814488236, 12.161701351266753, 17.19553491410295]","[16.153578323261016, 11.21174905263176, 22.27271323105749, 15.99583211662257, 31.794200803959487]",1.827380668721066,0.1863772022894119,5.804299284877992,0.04319064811370843,8.750870686587247,0.3150911955056013,12.2728887522484,0.5157988220309723
