metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,-2.515494168771536,,1.118569642238832,0.41393072355361205,0.9317985208244042,6.782378981430481,11.128008864236133,21.66203194785767,"[0, 1, 2, 3, 4]","[3.0, 3.0, 3.0, 4.0, 5.0]","[2.0, 3.0, 3.0, 4.0, 4.0]","[3.0, 3.0, 4.0, 4.0, 5.0]","[1.1257364916843267, 1.3526000638291198, 1.2823037923453, 2.392477463839708, 5.638114037691199]","[1.4561759515951236, 1.8319436803101654, 2.67870363015046, 14.450411629567142, 29.06031032595777]","[1.6996498449385482, 1.9631698427638156, 11.00867924146232, 19.833175465511324, 54.76556628197255]","[2.058111832365299, 2.1442322271065826, 25.89677525393255, 24.576217332211375, 96.74971815534668]",0.4199923317275639,0.6953853547053959,-3.3290110813881815,0.7971855329783328,-5.673351801717473,0.7854688899399147,-11.628944851924572,0.738571884853196
num_columns,1.0771680932686232,,1.0754808198650336,0.4262627413887939,0.5047790827700309,3.428524399062951,11.567104129930076,22.30589096859043,"[0, 1, 2, 3, 4]","[20.0, 22.0, 24.0, 27.0, 31.0]","[19.0, 22.0, 24.0, 25.0, 29.0]","[20.0, 22.0, 25.0, 29.0, 32.0]","[1.1411484393857179, 1.3125048579757712, 1.3723981001087255, 1.9568344323257854, 4.575424329985869]","[1.460852328930492, 1.9533055216656383, 6.310590451591018, 23.498051195810053, 13.454273333988505]","[1.80112087084136, 2.320012989140858, 13.287665111332258, 29.87529365216361, 43.156369551100795]","[2.2681901237603728, 2.893131589062667, 22.838711401003795, 38.79160277373547, 96.74971815534668]",0.8155994620095037,0.5762522050980858,0.22918527918507045,0.4935049629052539,-5.587043435844675,0.9288283896712176,-12.080539842018432,0.8354931658646743
num_joins,-2.515494168771536,,1.118569642238832,0.41393072355361205,0.9317985208244042,6.782378981430481,11.128008864236133,21.66203194785767,"[0, 1, 2, 3, 4]","[2.0, 2.0, 2.0, 3.0, 4.0]","[1.0, 2.0, 2.0, 3.0, 3.0]","[2.0, 2.0, 3.0, 3.0, 4.0]","[1.1257364916843267, 1.3526000638291198, 1.2823037923453, 2.392477463839708, 5.638114037691199]","[1.4561759515951236, 1.8319436803101654, 2.67870363015046, 14.450411629567142, 29.06031032595777]","[1.6996498449385482, 1.9631698427638156, 11.00867924146232, 19.833175465511324, 54.76556628197255]","[2.058111832365299, 2.1442322271065826, 25.89677525393255, 24.576217332211375, 96.74971815534668]",0.4199923317275639,0.6953853547053959,-3.3290110813881815,0.7971855329783328,-5.673351801717473,0.7854688899399147,-11.628944851924572,0.738571884853196
num_filters,0.10620741853646638,,0.4925900228322663,0.6915027697826037,0.34096682910346465,4.482352900388938,10.656637170304865,20.134315223047675,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 3.0, 5.0]","[1.0, 1.0, 2.0, 3.0, 4.0]","[1.0, 2.0, 3.0, 4.0, 6.0]","[1.1889273237265778, 1.5901443651011917, 1.217393426628628, 2.75623325024791, 2.543461158752836]","[1.6657122504255863, 7.629406687086412, 3.5945114181846822, 20.465596811364957, 19.365899301994006]","[2.0391133037906597, 14.35798745985732, 4.577284837286317, 28.365547363276036, 48.32077705418296]","[2.5532895682824486, 25.89677525393255, 5.772140622050009, 38.88079248343579, 96.74971815534668]",1.2058995987803407,0.6689129608114841,2.0830791013390386,0.7382492549573452,0.5411027760165567,0.7577508413345964,-4.901081869658044,0.6959753655691596
longest_path_len,-3.762986578090248,,0.6521098547650435,0.6078085470549651,0.17151127606118752,4.943616742816013,5.806564313880273,6.051248389434925,"[0, 1, 2, 3, 4]","[3.0, 4.0, 5.0, 6.0, 7.0]","[2.0, 4.0, 5.0, 6.0, 6.0]","[4.0, 5.0, 6.0, 6.0, 8.0]","[1.2492209781742767, 1.3554119528994815, 1.4590345657261625, 1.642255487579528, 5.017640088800331]","[1.8187450717061868, 5.9881098323407995, 2.0179317208613963, 29.06031032595777, 21.096360673672912]","[2.4771257005170306, 11.675918582348856, 3.592426876658888, 54.76556628197255, 25.17872414917852]","[3.3252313585453397, 19.01673577618811, 6.426836214971864, 96.74971815534668, 26.03854703251235]",1.1908332746002714,0.05036019743743669,1.3950437219356242,0.5909302175240911,3.432970795253858,0.3136436387006809,6.041569732804101,0.06556872013184645
num_nodes,8.543756584773085,,0.842182810994268,0.5106296742826298,0.3776182196633261,6.275146381733118,12.023924729690268,19.26726250283209,"[0, 1, 2, 3, 4]","[5.0, 6.0, 8.0, 9.0, 11.0]","[3.0, 6.0, 7.0, 8.0, 10.0]","[6.0, 7.0, 8.0, 10.0, 11.0]","[1.193168090600853, 1.230352238347801, 1.4411553107223707, 1.8142723550351672, 5.416808405663602]","[1.8187450717061868, 1.7375602657120373, 7.384936440709356, 16.84481932073653, 25.641705701742893]","[2.4771257005170306, 1.81884802583751, 11.758250787507484, 25.44550455413702, 50.78745692550435]","[3.3252313585453397, 1.9396340950943574, 19.01673577618811, 32.158715273232666, 96.74971815534668]",0.9384139396613943,0.3081850209555601,-1.8647393912824697,0.9132479550852403,-5.590411764240037,0.8652347927439211,-10.333644548313574,0.7605896043494782
join_tree_diameter,0.0,,0.0,1.0,1.0440005597025452,6.763402127113818,11.103507341667953,21.409398529870515,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.117783778474924, 1.3498917961260677, 1.2881142691607372, 2.7493237432267996, 5.638114037691199]","[1.549824017233787, 1.8344009804208656, 1.9615066917351178, 14.450411629567142, 29.06031032595777]","[1.6666913290888663, 2.078099105801058, 10.353966759732677, 19.833175465511324, 54.76556628197255]","[1.8002706039452248, 2.4793301859211865, 25.89677525393255, 24.576217332211375, 96.74971815534668]",0.34064480291666965,0.7472406714913693,-3.275721389092862,0.7793237309380874,-5.7584969904672185,0.781707148709577,-11.35076936491731,0.7411644897820917
num_blocking_ops,-1.2310228392919302,,-0.08808417149159718,0.939951320627876,0.8268114079641994,3.4901350178186252,5.003816847054713,9.80048120952612,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[1.1298480381424432, 1.3467040860493482, 1.3938506770139538, 3.0194233550179432, 4.4275601976448735]","[1.5528856128845439, 1.8344009804208656, 3.854367751301003, 26.66535424072355, 13.454273333988505]","[1.6666913290888663, 2.078099105801058, 11.792868205326043, 52.989021535076866, 20.54951854236091]","[1.8002706039452248, 2.4793301859211865, 25.89677525393255, 96.74971815534668, 32.158715273232666]",0.7053726134855666,0.8345801127169399,-0.20304046440892026,0.3907796437570148,1.3287262210601505,0.2387324269625195,0.8208751636436971,0.2375072530082396
num_nested_loop,0.6570523383203818,,0.42639067043299644,0.7295515607758576,0.4971528658589136,2.612699461033857,9.176334044296865,19.7809266812435,"[0, 1, 2, 3, 4]","[0.0, 1.0, 2.0, 2.0, 3.0]","[0.0, 0.0, 1.0, 2.0, 3.0]","[0.0, 1.0, 2.0, 3.0, 4.0]","[1.219112110040567, 1.6726879113671334, 1.2389307313277567, 2.0926650821143107, 3.4948957601993413]","[1.6610855359822523, 18.36810339359596, 1.9408551245165453, 20.910603132614657, 13.454273333988505]","[1.8679685437243758, 23.882276836618768, 2.3308957620325654, 26.842569479011004, 43.156369551100795]","[2.098072070724662, 25.985964963632867, 2.905389279821177, 34.52942709982141, 96.74971815534668]",0.9912126945997477,0.6989676586872244,6.041585120271873,0.20848934026763144,2.544191034966634,0.5810839839463886,-6.08890810956198,0.6542837852620073
max_est_join_input_rows,0.6272782835139311,,-0.09804590445799612,0.9269108497898219,-0.03096012516131472,2.1790435231853174,7.2957792194110125,11.200757333928996,"[0, 1, 2, 3, 4]","[34.0, 19520.0, 191925.0, 1346703.0, 11121035.5]","[2.0, 3405.0, 191925.0, 632078.0, 4523930.0]","[3405.0, 191925.0, 632078.0, 4523930.0, 36239448.0]","[1.5258160855507121, 1.5405523876780138, 2.081955156706794, 1.7380539680575129, 1.272269637265915]","[5.04695284208698, 9.440790232564297, 16.941205912886513, 18.36810339359596, 5.736492163236808]","[8.3957501278156, 14.245028270872206, 25.44550455413702, 23.882276836618768, 37.803421383862236]","[13.17272445396353, 20.596378499244064, 32.158715273232666, 25.985964963632867, 96.74971815534668]",1.6457159816127185,-0.005247485677240427,7.897106140148171,-0.05906497230396934,7.988434914327756,0.9103034051472808,10.775149854571776,0.551094823811745
