metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,9.746771936359035,,0.31054847395511787,0.9035152245937355,0.1483415501683168,9.749564285998744,16.440665695763162,13.988618683236208,"[0, 1, 2, 3, 4]","[5.0, 7.0, 8.0, 9.0, 11.0]","[4.0, 5.0, 7.0, 8.0, 10.0]","[5.0, 7.0, 8.0, 10.0, 15.0]","[3.810727226632668, 2.9326199087059663, 11.048659444233564, 2.6415358244290617, 4.563177381587024]","[23.135192817746155, 7.86292959440322, 44.89097860331863, 54.83039601806053, 58.58587060966934]","[25.401846105868792, 12.1464811872171, 60.324780645646, 133.0374114290451, 71.80375476644282]","[53.98973816600948, 37.742714906643016, 90.57817244803104, 155.50029311212938, 83.84263089140332]",3.5216066542980564,-0.1423002443188468,22.436013015186145,0.6714725518404877,19.628872732527412,0.4465688055974657,48.84339130832108,0.33263969733255727
num_columns,5.9236654007954765,,1.1639696285832999,0.6490571463506294,0.9285126507022087,4.096480860272725,3.608019356490281,-3.7157115836825376,"[0, 1, 2, 3, 4]","[26.0, 40.0, 47.0, 51.0, 64.0]","[23.0, 34.0, 43.0, 50.0, 56.0]","[34.0, 42.0, 49.0, 56.0, 85.0]","[3.810727226632668, 2.9326199087059663, 3.4628556741524577, 5.966432955008258, 6.9364208688447935]","[23.135192817746155, 36.86191949539961, 63.59186811108207, 56.59623605665273, 33.75297755660254]","[25.401846105868792, 58.73843654404324, 136.78777586788573, 71.80375476644282, 36.91295799582459]","[53.98973816600948, 90.57817244803104, 155.50029311212938, 83.84263089140332, 38.77443120018538]",2.7862850763214255,0.717080437906356,33.57392953592292,0.14438577151432996,48.04059716713131,-0.057861704980464834,82.5806456643044,-0.037348176874470784
num_joins,-24.740333072912506,,0.3465799290952523,0.8923797075308406,1.145230914576157,10.711779661002273,11.747479104524917,10.45208379247445,"[0, 1, 2, 3, 4]","[4.0, 6.0, 7.0, 9.0, 11.0]","[3.0, 4.0, 7.0, 8.0, 10.0]","[4.0, 7.0, 8.0, 10.0, 16.0]","[3.810727226632668, 3.6020093421162387, 7.01755894255084, 1.9037249202250035, 8.584890426546025]","[23.135192817746155, 20.734708646339783, 32.88748990889363, 60.17956746396899, 58.28317360301493]","[25.401846105868792, 36.23205275600226, 45.50090336702845, 133.0374114290451, 71.80375476644282]","[53.98973816600948, 61.07129450375441, 90.57817244803104, 155.50029311212938, 83.84263089140332]",3.4137940864565928,0.07595546527029373,17.09718023584421,0.8331116941894723,24.89982859305691,0.282417599815728,58.17200568410836,0.253602926552399
num_filters,9.540397812985383,,0.2421558458959868,0.9246742713057581,0.028260755067080368,8.661389129547832,11.089899667170403,18.630342938806336,"[0, 1, 2, 3, 4]","[2.0, 4.0, 7.0, 9.0, 12.0]","[1.0, 4.0, 5.0, 8.0, 11.0]","[4.0, 5.0, 8.0, 11.0, 17.0]","[5.573507605818331, 3.670044579329576, 4.540574167172288, 2.3628990937499266, 5.966432955008258]","[25.367328786005462, 12.877949634700851, 42.83983257050352, 59.09242879401712, 58.58587060966934]","[37.12739733259746, 21.674635441295706, 60.324780645646, 88.0734403562194, 71.80375476644282]","[53.98973816600948, 28.82625843510228, 140.53814030672635, 155.50029311212938, 83.84263089140332]",4.5269515858221805,-0.019541852622881217,24.941571077420008,0.7014960806631256,34.238890673898936,0.628377933214768,55.27873837950144,0.2921805904870871
longest_path_len,6.449007703883759,,0.5428687262311608,0.8318675799397028,0.31968723734604126,6.6196729428814685,12.060621948795553,17.739389910769038,"[0, 1, 2, 3, 4]","[7.0, 9.0, 11.0, 12.0, 14.0]","[6.0, 7.0, 10.0, 11.0, 13.0]","[7.0, 10.0, 11.0, 13.0, 18.0]","[3.810727226632668, 5.285975445977723, 2.745286348375042, 4.171462737092464, 5.966432955008258]","[23.135192817746155, 20.713177482355757, 56.277082016454685, 60.05918783794956, 36.56496982473589]","[25.401846105868792, 32.268473405406944, 89.1028285508172, 65.33163942312741, 69.17597633693008]","[53.98973816600948, 37.742714906643016, 140.53814030672635, 155.50029311212938, 83.84263089140332]",3.883746140259269,0.14761119862185723,26.110576151301267,0.32872080748481347,25.40190216898292,0.43004977428806535,58.84394408402256,0.29116088992691613
num_nodes,14.289577207770128,,0.39275432724395176,0.8780524648680677,0.3841488669067731,9.667431569110697,13.738172671330355,13.988618683236208,"[0, 1, 2, 3, 4]","[11.0, 16.0, 19.0, 22.0, 28.0]","[9.0, 12.0, 18.0, 20.0, 25.0]","[12.0, 18.0, 20.0, 25.0, 42.0]","[3.519268837073131, 6.852835231449359, 4.192577161096741, 1.9037249202250035, 5.966432955008258]","[23.135192817746155, 27.588225428128965, 42.83983257050352, 60.17956746396899, 58.28317360301493]","[25.401846105868792, 32.88748990889361, 60.324780645646, 133.0374114290451, 71.80375476644282]","[53.98973816600948, 37.742714906643016, 90.57817244803104, 155.50029311212938, 83.84263089140332]",3.791125771449808,-0.09972884813380278,22.08453619825622,0.9057526395027005,26.10237621983539,0.38334352290583273,48.84339130832108,0.33263969733255727
join_tree_diameter,0.0,,0.0,1.0,0.19387557828288637,8.70817141561004,12.43946698440029,8.546737150242139,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[3.810727226632668, 6.919551097143326, 3.1924697688003305, 3.323702006188677, 6.140854630773148]","[23.135192817746155, 43.5805614433544, 10.995282864411163, 60.17956746396899, 58.37952735096087]","[25.401846105868792, 59.57826678753759, 12.255662126996375, 133.0374114290451, 71.80375476644282]","[53.98973816600948, 90.57817244803104, 28.82625843510228, 155.50029311212938, 83.84263089140332]",4.114833942599036,-0.009706033480840537,26.623160758912572,0.3423743304672048,31.528848619240872,0.28031645811380124,61.8922698845717,0.14702519539852532
num_blocking_ops,4.790129183233188,,3.225997311107892,0.19297739604446607,0.9845926364372273,14.502447409754,9.725120735549458,22.035137033355827,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.0]","[3.810727226632668, 5.03068240068483, 3.527164485505467, 3.323702006188677, 12.028573970643006]","[23.135192817746155, 20.734708646339783, 12.207631323832507, 33.59410639136544, 89.2310641367055]","[25.401846105868792, 32.268473405406944, 28.000130159855164, 38.62308269685817, 135.54214352085674]","[53.98973816600948, 46.14101734158648, 33.6406299589077, 63.53873046204031, 155.50029311212938]",3.138269131855176,0.3379510420635722,6.77564876783237,0.5531408001821438,19.57941109058711,0.2972973601575237,26.49182188847712,0.5115201953578554
num_nested_loop,-10.06162433011646,,0.3439299311486621,0.89325824045951,0.071003500527334,2.8255070383118666,20.348832566180196,8.998497674160957,"[0, 1, 2, 3, 4]","[2.0, 4.0, 5.0, 7.0, 9.0]","[1.0, 3.0, 5.0, 6.0, 8.0]","[3.0, 5.0, 6.0, 8.0, 12.0]","[3.262231005517581, 6.140854630773148, 5.433096979316188, 4.171462737092464, 4.390472498775248]","[23.135192817746155, 34.72139060536156, 27.205851203036584, 80.18027501910564, 33.75297755660254]","[25.401846105868792, 45.30118709809212, 70.52729918200716, 134.86858936519397, 36.91295799582459]","[53.98973816600948, 61.07129450375441, 90.57817244803104, 155.50029311212938, 38.77443120018538]",4.4530266458139325,-0.008988028477397103,26.460526690083785,0.0007329725066245185,26.727971210263828,0.04261276840288841,59.547894879086,0.03654477026714553
max_est_join_input_rows,10.281766723015883,,-0.21422175645082378,0.9335045895371366,0.39204119463933806,-5.777848935375552,-2.717210900951807,12.23321791358648,"[0, 1, 2, 3, 4]","[107334.0, 208544.0, 566086.0, 841655.0, 1459332.0]","[21.0, 135086.0, 407782.0, 575015.0, 1459332.0]","[135086.0, 336200.0, 575015.0, 1459332.0, 9067697.0]","[3.229611034761077, 6.919551097143326, 3.4968732927591266, 3.4523196288946947, 6.140854630773148]","[60.54892041172712, 19.824900035428968, 59.87723314971031, 32.21193387185545, 35.959423612334874]","[72.26292278335407, 37.04084165892649, 89.32580640212521, 36.91295799582459, 58.73843654404324]","[83.84263089140332, 46.14101734158648, 155.50029311212938, 53.98973816600948, 140.53814030672635]",3.550725319478571,-0.014825063734105859,56.38841083144351,0.03244633912417949,62.571086408760344,0.028599539844636812,69.7851595451849,0.1465820402502641
sum_est_join_input_rows,-5.934843735994988,,-0.3221263391845555,0.900121369271049,0.22429554230127707,-7.861475066401361,-7.819620882858359,1.1874528634413515,"[0, 1, 2, 3, 4]","[124313.5, 271981.0, 580162.0, 1215051.0, 1489588.0]","[33.0, 202781.0, 495373.0, 590190.0, 1459619.0]","[190219.0, 465036.0, 585386.0, 1459587.0, 16521561.0]","[4.607755843583796, 4.490909861319876, 2.8637958526281553, 5.966432955008258, 5.285975445977723]","[60.54892041172712, 61.65288469224921, 6.785617838694461, 32.21193387185545, 35.959423612334874]","[72.26292278335407, 88.0734403562194, 6.93557738025972, 36.91295799582459, 58.73843654404324]","[83.84263089140332, 155.50029311212938, 9.79362595830688, 53.98973816600948, 140.53814030672635]",4.4210542731105855,0.09531736646070799,61.08143350530812,0.2137924595839793,73.85898486397734,0.11283052651654635,89.22273328075009,-0.001843287739885735
num_highly_selective_filters,-17.924883839455415,,-0.9629910632636179,0.706761765244412,-0.5968287390978514,-7.355620674082334,-15.652475888046922,-4.676332846112695,"[0, 1, 2, 3, 4]","[1.0, 2.0, 3.0, 3.0, 5.0]","[0.0, 2.0, 2.0, 3.0, 4.0]","[2.0, 2.0, 3.0, 4.0, 8.0]","[4.431712645663767, 9.79362595830688, 3.9907880648520275, 4.490909861319876, 2.2068211188001685]","[35.281360379054384, 63.2226288571338, 58.447076027280886, 36.536882925312185, 16.858375916648367]","[45.7211022198393, 88.0734403562194, 72.26292278335407, 38.62308269685817, 21.187356937754423]","[61.07129450375441, 140.53814030672635, 83.84263089140332, 155.50029311212938, 33.78106445602624]",5.419597961766539,0.16106104830290258,57.7839093192445,0.2720960031674393,90.28104628540635,0.16212552388600188,102.86632598199941,0.0131619312980652
log_filter_selectivity_product,-12.346091177533236,,0.13285322753533005,0.9587652735042298,0.31202784360735086,-0.9982354456475095,0.9967860793370654,-6.171825304938006,"[0, 1, 2, 3, 4]","[-97.53051661659944, -69.01481531249692, -61.333383316448206, -39.437884047513066, -27.631021115928547]","[-155.33667534121722, -91.64580285723314, -63.918331135861564, -51.70342855575443, -39.437884047513066]","[-91.64580285723314, -63.918331135861564, -55.262042231857095, -39.437884047513066, -3.5036661015073696]","[2.4241784716146153, 3.95140987393576, 8.271388526894027, 5.285975445977723, 3.3170522641639115]","[25.485723960414703, 25.73507815343343, 82.73057688228954, 25.2982941462788, 20.713177482355757]","[33.388781809983534, 33.15919280652715, 90.24139537019965, 37.440624422740036, 36.23205275600226]","[37.2609461669133, 155.50029311212938, 140.53814030672635, 46.14101734158648, 61.07129450375441]",3.496208470751349,-0.020709334711604965,26.859601700153068,-0.2217559058462475,33.44490421302761,-0.2276026650497327,100.44461587304764,0.030817973966557277
optimizer_est_cost_root,-6.304448716642865,,-0.4412600981970916,0.8632646384357205,-0.04308805412816032,6.130145975869422,6.6280137747996815,-14.483573958249902,"[0, 1, 2, 3, 4]","[5408.530000000001, 18790.22, 26838.585, 46853.37, 96558.46]","[2076.31, 15597.88, 20860.98, 46620.59, 62157.16]","[14878.31, 20618.96, 45379.03, 62024.23, 1186948.03]","[29.637074692799118, 1.46660971698618, 3.388010817541686, 5.861039765658939, 5.580218512654652]","[89.90461829236828, 4.584826254737165, 12.577851472407014, 25.2982941462788, 30.810201022655793]","[138.04014191379156, 4.986638007918816, 22.155364420765697, 28.487268934165257, 38.27509452576946]","[155.50029311212938, 21.438535787596702, 53.98973816600948, 37.2609461669133, 46.14101734158648]",5.072350552099415,-0.15773492097677133,4.505058197452667,-0.6252927558768449,9.755140398837893,-0.4965292302016333,89.2479873675551,0.3311826331846972
log_max_est_rows,26.786540517227515,,0.26043278761554983,0.9191547698250224,0.39204119463933806,-5.777848935375552,-2.717210900951807,12.23321791358648,"[0, 1, 2, 3, 4]","[11.54911503774214, 12.247910124271753, 13.246378643320845, 13.643126658675854, 14.193490039982008]","[3.091042453358316, 11.813674294299862, 12.91849044915204, 13.262153145479306, 14.193490039982008]","[11.813674294299862, 12.725464474372217, 13.262153145479306, 14.193490039982008, 16.020228986129077]","[3.229611034761077, 6.919551097143326, 3.4968732927591266, 3.4523196288946947, 6.140854630773148]","[60.54892041172712, 19.824900035428968, 59.87723314971031, 32.21193387185545, 35.959423612334874]","[72.26292278335407, 37.04084165892649, 89.32580640212521, 36.91295799582459, 58.73843654404324]","[83.84263089140332, 46.14101734158648, 155.50029311212938, 53.98973816600948, 140.53814030672635]",3.550725319478571,-0.014825063734105859,56.38841083144351,0.03244633912417949,62.571086408760344,0.028599539844636812,69.7851595451849,0.1465820402502641
log_sum_est_rows,-29.346835946019816,,0.23804035232318438,0.9260931331327065,0.22081558029094128,5.716456975796214,3.6887929114394753,15.281169516361413,"[0, 1, 2, 3, 4]","[11.923375835432731, 12.590218777265772, 13.2710712721129, 14.019946610110537, 14.234004422025926]","[3.6635616461296463, 12.264105676780783, 13.113328687224264, 13.291064259198611, 14.193818903289515]","[12.234839872422679, 13.112389806281108, 13.285544587545855, 14.193818903289515, 17.134854727311367]","[2.7525344495540844, 8.994667727868023, 2.8637958526281553, 7.854100603351687, 3.95140987393576]","[12.788132256674208, 81.61852287317573, 6.785617838694461, 32.21193387185545, 35.959423612334874]","[32.340318809242575, 89.90461829236826, 6.93557738025972, 36.91295799582459, 58.73843654404324]","[33.6406299589077, 155.50029311212938, 9.79362595830688, 53.98973816600948, 140.53814030672635]",4.651466700323272,-0.0032912393827082553,13.64809335584041,-0.21595127368241296,34.05672975396812,-0.051521900357131,40.39944898430337,0.04661933064593715
