metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,0.1204772941936554,,1.8566169047763683,0.9999996844872714,1.1484668374026286,55.258995839691,319.0370781772505,62351.778355210125,"[0, 1, 2, 3, 4]","[2.0, 3.0, 3.0, 4.0, 5.0]","[2.0, 3.0, 3.0, 4.0, 5.0]","[3.0, 3.0, 4.0, 5.0, 7.0]","[1.7267242526710807, 2.5534916409482906, 2.7204637675005428, 3.9831134681580656, 8.13152937356932]","[11.123704911918438, 22.029788375865152, 28.58105396363132, 92.74720420456028, 374.3897188835523]","[31.085331929983703, 56.23461585775603, 96.05753200971856, 473.3239539399345, 4060.9712573929737]","[1021.3217308259804, 1537.878625960603, 6350838.799147224, 5220589718.886509, 11495497979.04385]",1.250682399425604,0.7414550161317637,-29.18494785576722,0.5791542657545785,-222.31783260139247,0.24420670930038568,2231137324.1444335,-0.059849824567061116
num_columns,0.6775477295036111,,1.67336393427755,0.9999997156292073,1.001158951571461,28.280977436448882,81.94036033360047,62456.873956029536,"[0, 1, 2, 3, 4]","[14.0, 19.0, 21.0, 26.0, 31.0]","[8.0, 16.0, 20.0, 24.0, 27.0]","[16.0, 20.0, 24.0, 27.0, 40.0]","[1.7054697554358564, 2.311333036458713, 3.349884741198494, 3.674739926362364, 7.905375457440994]","[6.255425688873554, 32.37725301551792, 39.66429096491463, 67.94756685029044, 348.61233310706064]","[14.331932903417503, 65.85627606048745, 143.26279534944115, 217.79768750563574, 3244.5453108666447]","[1150.365528740919, 3737.339883680147, 36191212.68375525, 5220589718.886509, 11495497979.04385]",1.4544035767721821,0.7172919304273044,-1.3342438325608774,0.29029917981236364,-6.002745491294035,-0.08389835659744227,2236852375.477296,-0.05999212190748926
num_joins,0.1204772941936554,,1.8566169047763683,0.9999996844872714,1.1484668374026286,55.258995839691,319.0370781772505,62351.778355210125,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 3.0, 4.0]","[1.0, 2.0, 2.0, 3.0, 4.0]","[2.0, 2.0, 3.0, 4.0, 6.0]","[1.7267242526710807, 2.5534916409482906, 2.7204637675005428, 3.9831134681580656, 8.13152937356932]","[11.123704911918438, 22.029788375865152, 28.58105396363132, 92.74720420456028, 374.3897188835523]","[31.085331929983703, 56.23461585775603, 96.05753200971856, 473.3239539399345, 4060.9712573929737]","[1021.3217308259804, 1537.878625960603, 6350838.799147224, 5220589718.886509, 11495497979.04385]",1.250682399425604,0.7414550161317637,-29.18494785576722,0.5791542657545785,-222.31783260139247,0.24420670930038568,2231137324.1444335,-0.059849824567061116
num_filters,-0.4008004333517339,,1.4121907451012137,0.9999997600128738,0.688813358584919,27.148567823596334,142.5094100078135,43462.89064864879,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 3.0, 4.0]","[0.0, 1.0, 2.0, 3.0, 4.0]","[1.0, 2.0, 3.0, 4.0, 9.0]","[2.1745178271753813, 2.387443106620963, 2.5738824616688856, 3.349884741198494, 6.8069638129768615]","[19.077280082680304, 23.688875695902578, 28.162368194247975, 59.25184868386472, 352.56608570582654]","[33.99399736096553, 65.06566994595548, 81.29379812954515, 248.4545943415496, 2114.148450522466]","[6350838.799147224, 4533669.596183564, 5220589718.886509, 36191212.68375525, 11495497979.04385]",1.7470004086289277,0.5936448416588843,-0.8474525978698624,0.25912722629957485,-68.12545194208343,0.1875394106898146,2238971723.5184474,-0.060059448617950206
longest_path_len,0.7068126455936188,,1.392740261489257,0.9999997633182813,0.6957760468977524,54.529940326332394,211.37091516771218,27580.479255853723,"[0, 1, 2, 3, 4]","[3.0, 4.0, 5.0, 5.0, 6.0]","[2.0, 3.0, 4.0, 5.0, 6.0]","[3.0, 4.0, 5.0, 6.0, 10.0]","[1.9035741038727363, 2.383419608407179, 3.0861446858684407, 3.674739926362364, 6.528545089283487]","[16.34879890562123, 30.471861990984003, 25.659118210322212, 91.07394662252553, 259.49498509530406]","[45.03434104097102, 78.65218808917379, 106.33295738488383, 354.46451779667376, 2934.144883834091]","[1150.365528740919, 5220589718.886509, 36191212.68375525, 643078987.1581497, 11495497979.04385]",1.7653838769486994,0.6975672253474487,-24.58326036074579,0.7173753532373393,-112.68386947687371,0.21306106954504445,2365857762.0934625,-0.06238505190186938
num_nodes,-0.3724318449207738,,1.495527617118875,0.9999997458506396,1.0893869259092563,27.959684560695475,413.90048559346656,44002.346863993036,"[0, 1, 2, 3, 4]","[4.0, 6.0, 7.0, 9.0, 13.0]","[3.0, 5.0, 7.0, 8.0, 10.0]","[5.0, 7.0, 8.0, 10.0, 19.0]","[1.737361087457253, 2.609390598616032, 2.557439049274091, 4.427375896519859, 6.275322885533974]","[13.788677079846673, 19.745461869002323, 29.788938078163337, 205.32065942172642, 111.52218780381833]","[39.58524266218345, 58.40685815787155, 169.27213515251015, 1318.2792776335248, 1483.5165427514842]","[1150.365528740919, 324273.40625249245, 5220589718.886509, 116763323.68427436, 11495497979.04385]",1.467964186788219,0.8831709721270693,1.7527106673782324,0.4346949940209611,-174.04395145647905,0.8199164671997131,2252522102.20715,-0.06037585897046327
join_tree_diameter,0.0,,0.0,1.0,-0.0011076896402898333,-2.967591977911558,-23.636938041707946,-2855.657612901138,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.9968467691086245, 3.5828966774242743, 2.790595513507508, 2.6995708384691035, 3.4096398162801984]","[45.90032139727227, 112.0513175994206, 34.82036876273073, 36.58131198744046, 34.77561330222441]","[184.9596166384017, 520.1449584424399, 146.1049490994917, 141.39987853487898, 92.48241232765149]","[36191212.68375525, 11495497979.04385, 116763323.68427436, 5220589718.886509, 129430.0060084526]",3.0887927948556855,-0.0005369046196412874,46.01011835153341,-0.0718209082177601,198.83239747497535,-0.0030523141436245016,2259435567.921467,-0.06057871359955658
num_blocking_ops,-0.2348054206099858,,0.13517329419286656,0.9999999770287049,0.2116686707102313,11.219375899276786,106.84205625909901,43461.24815491197,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 3.0]","[2.5815372324199855, 2.790595513507508, 3.56110490323036, 2.921164942420564, 3.4286163567985497]","[33.131518461555686, 32.44686522404145, 98.52747889090013, 41.29654562826605, 79.85918833946407]","[117.60034200709478, 88.39194624087372, 344.730280609289, 111.92084904013754, 555.3547750941773]","[6350838.799147224, 8635047.035060506, 5220589718.886509, 37935264.06320119, 11495497979.04385]",2.580801925233147,0.43899022199119697,29.780103292845475,0.2509509008454306,63.95407102909961,0.43809684257750503,2240083259.883468,-0.060088379922107915
num_nested_loop,0.9401850787352118,,1.8919216799402871,0.999999678487592,0.7752045768261006,23.324504282519065,91.75673322883739,62825.43955137571,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 2.0, 3.0]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 1.0, 2.0, 6.0]","[2.208980092781981, 2.311333036458713, 2.689686434349775, 3.4875406352371447, 7.640856577660417]","[17.144446500210233, 24.58511472566984, 31.860071139945624, 57.97065782070988, 436.13996530790695]","[42.093896251859924, 47.86379044732819, 88.85189613363038, 184.41771266454555, 3834.6731826193122]","[3972.3849345317262, 129430.0060084526, 18622628.63468284, 643078987.1581497, 11495497979.04385]",1.6884773432516988,0.5658964270367606,3.0813881239026193,0.11332946274919498,-24.287088034394152,-0.08743471491014287,278205018.0785678,-0.22501895262856197
max_est_join_input_rows,0.2613449486281021,,0.3812973103473129,0.9999999352024886,-0.17375985464545554,-17.81246933060423,-99.14342986871264,-5740.225202106979,"[0, 1, 2, 3, 4]","[9832.0, 40325.0, 133732.0, 302488.0, 328064.0]","[187.0, 13086.0, 79851.0, 174305.0, 327224.0]","[13086.0, 79851.0, 174305.0, 327224.0, 366459581.0]","[4.964905249414923, 2.85195159620917, 2.1851569646861178, 2.4699100648415917, 4.287117575017724]","[335.40844925226827, 37.083236746726406, 16.91163382023164, 25.987091151352285, 50.28843110773296]","[2265.466191086101, 140.5573269480159, 44.08675777967496, 54.609240771001225, 187.8341408784799]","[11495497979.04385, 36191212.68375525, 3972.3849345317262, 18622628.63468284, 643078987.1581497]",3.699327874148552,0.051475247237929955,88.44557201027665,0.127183488001416,411.9888086406118,0.05749856796134567,285307218.1482498,-0.22547865616065388
sum_est_join_input_rows,0.2693140333753542,,0.4169694239108166,0.999999929140384,0.26132521548799154,-7.963893841064899,-103.69241828043758,-24810.058158873544,"[0, 1, 2, 3, 4]","[11250.5, 81720.0, 239750.0, 422932.0, 918824.0]","[188.0, 31189.0, 137893.0, 337957.0, 640613.0]","[31127.0, 137488.0, 337331.0, 637917.0, 367166870.0]","[5.114828991490962, 2.167095053705063, 2.6995708384691035, 2.93731599725168, 3.4482955906873656]","[335.40844925226827, 34.52457558442187, 23.618039519490633, 32.27620169601063, 39.330545172356146]","[2265.466191086101, 138.4704736933553, 48.5317605005171, 63.25153544344325, 250.924044922144]","[11495497979.04385, 36191212.68375525, 6350838.799147224, 643078987.1581497, 18622628.63468284]",2.244418015716161,-0.6494913665197561,57.48350678974261,-0.06002354710261848,454.1857369654599,0.07421539589098558,286525038.41754955,-0.22555691511784626
num_highly_selective_filters,0.2711957386394977,,0.9990694804243581,0.9999998302185351,0.38161098616397393,33.42265414408338,140.71949967802715,62085.54208465165,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.0]","[2.5493550615707012, 2.7566810266954054, 3.602556858588364, 2.695100672457179, 4.102804644209777]","[22.86095970919576, 27.823588089763877, 82.05209891921, 35.60457962250055, 158.9883243166733]","[58.84894794007546, 80.51412549348241, 234.32905917188617, 111.92084904013754, 1501.8919431796585]","[8635047.035060506, 129430.0060084526, 762521.1750191024, 643078987.1581497, 11495497979.04385]",2.5002627306608334,0.43241419245752677,9.468614223858088,0.5294594000298125,-16.156274054350284,0.347154222475052,276411344.4315337,-0.22491135449607547
log_filter_selectivity_product,0.2187641010757594,,-1.1867019533761363,0.9999997983323483,-0.6353611691448552,-17.51469826206791,-82.96208290477881,-24966.278340188008,"[0, 1, 2, 3, 4]","[-4.874627120019835, -2.0164106436656404, -0.7621664567991324, -0.09578755693785485, -0.0026479407597144967]","[-58.35565386949782, -2.590923656975175, -1.1080983545478098, -0.26276973920125274, -0.027255661964101775]","[-2.590923656975175, -1.1081187169206914, -0.26276973920125274, -0.027255661964101775, 0.0]","[6.827282351356628, 3.181002351082733, 2.876802360092313, 2.228893607633935, 2.297370458723248]","[411.84869402764207, 42.87413675173758, 32.458588787710816, 16.605294688504426, 20.5832504193389]","[2265.466191086101, 170.96064660337998, 85.99698229945812, 42.68656621806401, 30.988816170569972]","[11495497979.04385, 18622628.63468284, 129430.0060084526, 643078987.1581497, 48328.06843730624]",4.387166782007951,0.5482652509842192,76.5405171697957,0.04390079089100163,308.42821471664047,-0.0040822392403019325,278396366.17714936,-0.22503597095016348
