metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,0.01078643556125202,,0.01079066704070283,0.999999999998294,0.7723363664584136,38.95808296028707,204.45114678358652,27.0,"[0, 1, 2, 3, 4]","[2.0, 3.0, 3.0, 4.0, 5.0]","[2.0, 3.0, 3.0, 4.0, 5.0]","[3.0, 3.0, 4.0, 5.0, 7.0]","[1.6393085490636146, 2.374607455550919, 3.504692263844392, 3.2931782582667597, 4.73439328837139]","[6.840868320777441, 17.34281152359313, 50.99799983889174, 176.62686070027985, 145.22308294704646]","[14.342924540461656, 38.71319764066865, 184.30177369751635, 486.9339453021313, 813.4332499047696]","[279.93503912521857, 262.9658239720459, 135045.36833719048, 8736786315.856844, 13589709464775.19]",1.6288758827874152,0.9029668648594049,-7.791053722964863,0.7747147894010095,-101.35709938950373,0.9073631768617026,13.5,-0.25040194601530175
num_columns,0.011454384667893452,,0.011458793000471602,0.9999999999981886,0.6274328202147453,27.48400605748202,160.28988255314482,27.0,"[0, 1, 2, 3, 4]","[14.0, 19.0, 21.0, 26.0, 31.0]","[8.0, 16.0, 20.0, 24.0, 27.0]","[16.0, 20.0, 24.0, 27.0, 40.0]","[1.8755569537981218, 2.562044646006545, 2.415346382906228, 3.3553871886687263, 4.616058617588128]","[14.645776601699117, 34.26519209125532, 22.99657433575486, 190.66553970907808, 119.53994400044162]","[24.221995621699335, 71.11981515150423, 53.49939827376486, 443.5108705504905, 639.8895882321377]","[279.93503912521857, 93568.05570510954, 15048.657111336512, 13589709464775.19, 48502715328.26755]",1.752420029494213,0.867096038450297,10.343595657404624,0.5119197549475087,-43.316523355752345,0.811766060320215,13.5,-0.252234637281767
num_joins,0.01078643556125202,,0.01079066704070283,0.999999999998294,0.7723363664584136,38.95808296028707,204.45114678358652,27.0,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 3.0, 4.0]","[1.0, 2.0, 2.0, 3.0, 4.0]","[2.0, 2.0, 3.0, 4.0, 6.0]","[1.6393085490636146, 2.374607455550919, 3.504692263844392, 3.2931782582667597, 4.73439328837139]","[6.840868320777441, 17.34281152359313, 50.99799983889174, 176.62686070027985, 145.22308294704646]","[14.342924540461656, 38.71319764066865, 184.30177369751635, 486.9339453021313, 813.4332499047696]","[279.93503912521857, 262.9658239720459, 135045.36833719048, 8736786315.856844, 13589709464775.19]",1.6288758827874152,0.9029668648594049,-7.791053722964863,0.7747147894010095,-101.35709938950373,0.9073631768617026,13.5,-0.25040194601530175
num_filters,0.007361002707639755,,0.007364119472676943,0.9999999999988356,0.35426051838274386,14.601254969242628,90.38361412810072,27.0,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 3.0, 4.0]","[0.0, 1.0, 2.0, 3.0, 4.0]","[1.0, 2.0, 3.0, 4.0, 9.0]","[2.2271055768233037, 2.2284883667903554, 2.567503153815734, 2.788817698438795, 4.178522178605072]","[56.11684603701722, 17.468505859228685, 28.189757799485644, 36.678632579264736, 119.53994400044162]","[180.26426204278096, 51.93461224367391, 99.95859763942778, 214.34820379010966, 551.5187695555397]","[3155110.799946029, 20352.94996753711, 35374.616576599095, 13589709464775.19, 1617666675.690739]",1.997511481904219,0.7146957705532715,22.39619192346564,0.3246017330123946,38.83756619204241,0.5311539425771966,13.5,-0.25007454970653664
longest_path_len,0.009373140995039116,,0.00937695173128622,0.9999999999985176,0.4868917298688204,25.408978946925266,147.4586692720288,27.0,"[0, 1, 2, 3, 4]","[3.0, 4.0, 5.0, 5.0, 6.0]","[2.0, 3.0, 4.0, 5.0, 6.0]","[3.0, 4.0, 5.0, 6.0, 10.0]","[1.912891087749307, 2.403821440471542, 2.8479934502676976, 3.1948700512279187, 3.996517329404442]","[9.358801413610436, 44.38372569268999, 49.95335086050155, 73.55812277033898, 121.82855892325729]","[18.51089273740832, 94.26534719369518, 186.94042975444592, 382.37848082804413, 612.0925732869397]","[279.93503912521857, 18320.554697584703, 1617666675.690739, 8736786315.856844, 13589709464775.19]",1.9013435185464318,0.9797328220583152,8.998554588295692,0.933720761585326,-33.89323009739442,0.9459211732335667,13.5,-0.2504764383356495
num_nodes,0.009300803881288363,,0.00930459149774497,0.999999999998529,0.5372276307627537,13.168534778244034,105.83334258958244,27.0,"[0, 1, 2, 3, 4]","[4.0, 6.0, 7.0, 9.0, 13.0]","[3.0, 5.0, 7.0, 8.0, 10.0]","[5.0, 7.0, 8.0, 10.0, 19.0]","[1.696139044161113, 2.999331137413807, 2.518932168883196, 4.02862116943938, 3.867643434046613]","[7.681857606661186, 39.490542194364714, 20.70527810277804, 217.27096245507445, 57.58370172624682]","[14.636502292225106, 58.21278314320771, 151.31531190190637, 1151.0493654225297, 399.7455546324977]","[279.93503912521857, 1570.5580076980314, 18320.554697584703, 8736786315.856844, 13589709464775.19]",1.9476780403141536,0.7717215793704953,13.03333096717001,0.045412130793710315,-17.545636799841528,0.17357851085718834,13.5,-0.25040194070035837
join_tree_diameter,0.0,,0.0,1.0,-0.10898739745711779,-10.422412397260487,-59.29749247330215,27.0,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.974872645345524, 2.8206304479126616, 2.667344565796137, 2.566369865462098, 2.5570670409807468]","[65.62411541036757, 52.55853824273024, 44.984826366913865, 36.13364488357287, 21.95105239326302]","[347.90402247323544, 259.02127833672307, 180.1812771649231, 175.1131863126825, 93.32070260411821]","[13589709464775.19, 8736786315.856844, 18946083.73318039, 48502715328.26755, 37064.98387825111]",2.935229737921394,0.928195860392811,65.03148952648331,0.9883058404190808,331.77514539922646,0.9466140552619092,13.5,-0.2526403251535798
num_blocking_ops,0.004151376952459176,,0.004153211508335342,0.9999999999993434,0.2794734046321623,36.898296156992586,63.52549634935799,27.0,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 3.0]","[2.5492449229439798, 2.2284883667903554, 3.1081450534537343, 2.492325145970354, 3.709430952071249]","[25.752567630298568, 18.985941436126588, 63.92123288580432, 24.781986335001857, 183.56584338687153]","[80.1417689049491, 50.10082192111003, 486.9339453021313, 75.40450706774757, 348.99709634949915]","[93568.05570510954, 37064.98387825111, 13589709464775.19, 18946083.73318039, 48502715328.26755]",2.300686935598611,0.4659642767447415,-0.862556951681644,0.49948294424719364,53.870995662549504,0.17518629764055016,13.5,-0.2522355158655267
num_nested_loop,0.0065162615734129445,,0.006519058904634994,0.9999999999989693,0.40425495772937825,7.565927838866064,68.3144685492827,27.0,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 2.0, 3.0]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 1.0, 2.0, 6.0]","[2.4405940604656875, 2.1328209353972243, 2.37486656958345, 2.999331137413807, 4.02862116943938]","[49.57878935171603, 31.397985299726194, 25.22776155903192, 45.91701601884992, 80.15484801659683]","[163.3118595261737, 121.83544300591444, 117.51157466247255, 426.1693145455225, 366.31081100205745]","[1617666675.690739, 20352.94996753711, 8736786315.856844, 48502715328.26755, 13589709464775.19]",1.9867333434944903,0.7092504033655394,31.323421181689056,0.31409805758570486,103.29485474225528,0.5895333488661423,13.5,-0.2527144759252231
max_est_join_input_rows,0.0008852073077722909,,0.0008856057849146099,0.9999999999998599,0.11830815354580955,6.974171359633319,100.14750141573681,27.0,"[0, 1, 2, 3, 4]","[9832.0, 40325.0, 133732.0, 302488.0, 328064.0]","[187.0, 13086.0, 79851.0, 174305.0, 327224.0]","[13086.0, 79851.0, 174305.0, 327224.0, 366459581.0]","[2.8640150709192405, 2.4995259131535685, 2.321015467025816, 2.4606673358303697, 3.979163113364897]","[42.946779697970115, 48.13640050510852, 17.00684586885194, 21.957172263768694, 190.66553970907808]","[118.66121371284322, 261.5789367272805, 43.623926786166805, 71.91663316599282, 715.2557928978434]","[4240845.57526021, 149658195.98019293, 135045.36833719048, 13589709464775.19, 48502715328.26755]",2.4874275323462824,0.1794486311801634,30.244151797857352,0.06175713442754105,41.9106257693735,0.32712956012023553,13.5,-0.25224176704771817
