metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,1.0681373478649265,,0.4484151114240837,0.873011281452831,0.29741737532953383,4.524683888785224,8.308110447387287,33.77108579024386,"[0, 1, 2, 3, 4]","[3.0, 4.0, 4.0, 5.0, 6.0]","[2.0, 3.0, 4.0, 4.0, 6.0]","[3.0, 4.0, 4.0, 5.0, 7.0]","[1.1421754431193354, 1.6026366683069413, 2.1412420985732936, 2.385366447941105, 2.23790072090225]","[2.4858732545315707, 3.454161285594158, 11.641966966028694, 12.860726632432321, 20.40638463555989]","[3.884135077571023, 5.522260611976271, 12.402366120899423, 73.99220663228414, 32.99747098326568]","[4.259570662594199, 10.469859741906651, 106.272355935766, 348.56411668016403, 100.70660011281332]",1.307029436215868,0.826195196471978,1.1204604397301592,0.9376924655052078,0.4209738069881559,0.30028466650083707,7.879984485371307,0.2178588193019716
num_columns,0.4401810240683589,,0.431953133816593,0.8777069589532325,0.2688017637294718,4.645466328498221,7.771705385041991,26.85116376755174,"[0, 1, 2, 3, 4]","[16.0, 21.0, 25.0, 29.5, 35.0]","[8.0, 20.0, 22.0, 27.0, 34.0]","[20.0, 22.0, 27.0, 32.0, 40.0]","[1.148663971874121, 2.2280980587538504, 1.5412682366509731, 2.059649386240446, 2.23790072090225]","[1.7263374030167873, 5.667753769548533, 10.634197141212253, 12.860726632432321, 20.40638463555989]","[1.94467026812222, 9.663351885626906, 11.801739700345438, 73.99220663228414, 32.99747098326568]","[2.8800391320910355, 106.272355935766, 12.498441041176504, 348.56411668016403, 100.70660011281332]",1.1882006350768566,0.3129213389626987,1.348502601517478,0.968824784835179,1.9156559302715774,0.2911275814215305,26.623748867881783,0.13576362684496868
num_joins,1.0681373478649265,,0.4484151114240837,0.873011281452831,0.29741737532953383,4.524683888785224,8.308110447387287,33.77108579024386,"[0, 1, 2, 3, 4]","[2.0, 3.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 3.0, 5.0]","[2.0, 3.0, 3.0, 4.0, 6.0]","[1.1421754431193354, 1.6026366683069413, 2.1412420985732936, 2.385366447941105, 2.23790072090225]","[2.4858732545315707, 3.454161285594158, 11.641966966028694, 12.860726632432321, 20.40638463555989]","[3.884135077571023, 5.522260611976271, 12.402366120899423, 73.99220663228414, 32.99747098326568]","[4.259570662594199, 10.469859741906651, 106.272355935766, 348.56411668016403, 100.70660011281332]",1.307029436215868,0.826195196471978,1.1204604397301592,0.9376924655052078,0.4209738069881559,0.30028466650083707,7.879984485371307,0.2178588193019716
num_filters,-0.5248039780890915,,0.41846085002394795,0.8814836972001505,0.24448918128220026,4.532705861313708,15.734700302987191,67.73334480563207,"[0, 1, 2, 3, 4]","[2.0, 2.5, 3.0, 4.0, 6.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[2.0, 3.0, 4.0, 5.0, 9.0]","[1.2651178860600958, 1.285907402252719, 1.8086506144906451, 2.059649386240446, 2.1547645323004008]","[2.456554219324784, 5.077268410938659, 5.667753769548533, 14.50512060096822, 20.40638463555989]","[3.606805659769633, 10.516806769771033, 7.7152649826382, 28.53281348233859, 73.28244677571983]","[11.01765107292532, 103.50250171504946, 10.469859741906651, 106.272355935766, 348.56411668016403]",1.2474694130482833,0.9163621070560987,1.2052933260407304,0.8927754544062958,-6.738575701286876,0.748282571690243,-19.50123640650108,0.6006915372895056
longest_path_len,1.0005282319637077,,0.4149421117700201,0.8824271318534367,0.2087279950412773,4.593612054290272,7.397651449291424,32.09219620861237,"[0, 1, 2, 3, 4]","[4.0, 5.0, 5.0, 6.0, 7.0]","[3.0, 4.0, 5.0, 5.0, 6.0]","[4.0, 5.0, 5.0, 6.0, 10.0]","[1.1279379583072506, 1.6356640180701776, 2.7434877375543145, 1.5475486126688613, 2.1547645323004008]","[1.9906529396853638, 6.318135229670289, 11.641966966028694, 8.133558937903258, 20.40638463555989]","[3.4097374372159637, 10.825924107068785, 12.402366120899423, 70.21504853661284, 32.99747098326568]","[6.451985059047594, 19.187372907148877, 106.272355935766, 348.56411668016403, 100.70660011281332]",1.291575118551416,0.19140093409605174,1.9157043175437756,0.6998532830156189,3.414957315569007,0.309234189312251,12.679614972939754,0.20043007397886192
num_nodes,-3.982790492155393,,0.3535234253785382,0.8998243353300364,0.439410125891569,3.0461133668034606,5.454289941442583,26.41530787606308,"[0, 1, 2, 3, 4]","[6.0, 8.0, 10.0, 11.0, 14.0]","[4.0, 7.0, 9.0, 10.0, 12.0]","[7.0, 9.0, 10.0, 12.0, 19.0]","[1.148663971874121, 1.6832239585109119, 2.286993232463157, 1.3904671547802296, 2.9673776236938365]","[3.345872997370659, 12.306291200622342, 8.24319164360837, 8.133558937903258, 20.40638463555989]","[3.884135077571023, 16.846246754058537, 11.06960802462758, 9.535471842097936, 32.99747098326568]","[6.451985059047594, 106.272355935766, 103.50250171504946, 348.56411668016403, 100.70660011281332]",1.2007384954238176,0.3883567205794318,4.4976263544591975,0.548840551496621,4.684044369302515,0.5145971340337475,46.961159108054005,0.1571930157360415
join_tree_diameter,0.0,,0.0,1.0,0.3567283110413303,3.9843153558538833,12.082221183650276,69.11494378803131,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.1324304499170945, 1.546224402224833, 1.5975993843148215, 2.5096240909733765, 2.550503182923914]","[1.7785459718632362, 8.407529042913971, 5.544480995073956, 10.996084200021539, 20.40638463555989]","[2.1838836410028346, 16.32797026517062, 6.89167077388867, 12.402366120899423, 73.28244677571983]","[4.126155523440668, 103.50250171504946, 33.56497379205616, 106.272355935766, 348.56411668016403]",1.1485058486488682,0.9015241593721512,1.513047455160309,0.8032602429498528,-3.614392653478899,0.5533676255315528,-19.023757435684086,0.6499926076886318
num_blocking_ops,0.6149945860067326,,0.6672999115962944,0.8123009467342686,0.5572512646784479,2.727570585135255,4.716168327631234,27.278500249808165,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 3.0]","[1.141552143555947, 1.4292809859085933, 2.409763168373401, 1.4744944286248345, 3.404310355829835]","[1.7785459718632362, 6.720313779861429, 7.149923074123606, 4.406549993385128, 13.493038153327175]","[2.1838836410028346, 15.043037334596217, 25.804625257507375, 7.68266990785842, 26.276300702819896]","[4.126155523440668, 103.50250171504946, 106.272355935766, 348.56411668016403, 100.70660011281332]",1.057748658196921,0.5145713470135054,2.0186990923534895,0.4994219111113025,6.640796784512466,0.34794790078178894,45.01267119419963,0.16742877369089415
num_nested_loop,-0.30638982623425903,,0.167576049063526,0.9524288625935584,0.2189237749652906,4.609959138282303,5.868949443730964,79.74309189086661,"[0, 1, 2, 3, 4]","[0.0, 0.0, 1.0, 2.0, 4.0]","[0.0, 0.0, 1.0, 1.0, 3.0]","[0.0, 1.0, 1.0, 3.0, 6.0]","[1.2615163237434774, 1.367146899607746, 2.051364993829103, 1.4888633303574936, 2.1547645323004008]","[3.5429568234651834, 8.659703187885826, 7.9341543636226675, 5.9342610132497, 46.99329905620754]","[4.097191254281567, 10.35766621238315, 12.111378969435632, 8.028315156921007, 102.384141074155]","[11.01765107292532, 12.223941268956272, 106.272355935766, 19.187372907148877, 348.56411668016403]",1.2296029446770715,0.5302967176800408,2.102318459681251,0.3840700879785838,2.9864621656694417,0.1603317955202488,-36.87856780493355,0.506200967976142
max_est_join_input_rows,41.563367099694986,,0.19550194236859603,0.9445743540963933,0.1814000568292078,-1.4709906801041772,-12.630393906066304,-78.86025332492414,"[0, 1, 2, 3, 4]","[10819.0, 79851.0, 174305.0, 328064.0, 2218266.0]","[781.0, 37430.0, 125797.0, 303187.0, 670715.0]","[31457.0, 96492.0, 303187.0, 508043.0, 366459581.0]","[1.4603478207844773, 1.3904671547802296, 1.1857654338251127, 1.6493646643604953, 2.23790072090225]","[16.55293983456978, 10.3839178704779, 4.151215371188805, 8.133558937903258, 10.322975654913808]","[79.0243669420017, 27.010040211227412, 13.962642121554719, 9.743831254070152, 11.74142519054389]","[348.56411668016403, 106.272355935766, 100.70660011281332, 11.39254940763116, 12.498441041176504]",1.2523096306970294,0.5044502799583078,13.428103502759138,0.2470643018827685,51.00586196813603,0.6495365772586241,278.00826383722386,0.7714906955877114
