metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,0.7143955879218257,,0.4860444994538593,0.937526830068115,0.26571714618024833,2.660839911780235,24.321227477894105,47.31118254260363,"[0, 1, 2, 3, 4]","[3.0, 4.0, 4.0, 5.0, 6.0]","[2.0, 3.0, 4.0, 4.0, 6.0]","[3.0, 4.0, 4.0, 5.0, 7.0]","[1.1198122238102446, 1.364602384648069, 1.8518860368662933, 2.458205813003935, 1.8511165308254185]","[1.517321025635773, 6.30931906852955, 7.716614709666497, 68.77436045047133, 11.931357069141784]","[3.3914695962382835, 11.129983062851709, 110.28754224595434, 224.7883984374394, 53.97760863996551]","[4.956189214535301, 28.414190492305284, 242.77851642825112, 748.0697371486534, 89.17865457738662]",1.1797166158060477,0.6106954008447167,2.591232042388163,-0.08655966292510264,17.771502455763944,0.25254540822400384,45.161814897042895,0.07193536958864388
num_columns,0.019701761685239426,,0.44616354129661806,0.9426657711915949,0.18923454533358214,2.99166419209968,11.875608745814683,22.156941521976663,"[0, 1, 2, 3, 4]","[16.0, 21.0, 25.0, 29.5, 35.0]","[8.0, 20.0, 22.0, 27.0, 34.0]","[20.0, 22.0, 27.0, 32.0, 40.0]","[1.207104653470603, 1.3873193437818385, 1.672042402280454, 2.6666068056824974, 1.8511165308254185]","[1.5886485961857526, 5.584255772561993, 8.4813718750752, 36.28605035233235, 11.931357069141784]","[1.8119548113148591, 109.50952689396061, 10.699784758903634, 85.2484370571153, 53.97760863996551]","[2.3845096910271484, 242.77851642825112, 748.0697371486534, 291.054644084806, 89.17865457738662]",1.2329209194334698,0.39592344040898064,2.226429585134911,0.15197054405664379,20.754398912405314,0.022176789965365762,157.27704588313122,-0.06527338540046257
num_joins,0.7143955879218257,,0.4860444994538593,0.937526830068115,0.26571714618024833,2.660839911780235,24.321227477894105,47.31118254260363,"[0, 1, 2, 3, 4]","[2.0, 3.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 3.0, 5.0]","[2.0, 3.0, 3.0, 4.0, 6.0]","[1.1198122238102446, 1.364602384648069, 1.8518860368662933, 2.458205813003935, 1.8511165308254185]","[1.517321025635773, 6.30931906852955, 7.716614709666497, 68.77436045047133, 11.931357069141784]","[3.3914695962382835, 11.129983062851709, 110.28754224595434, 224.7883984374394, 53.97760863996551]","[4.956189214535301, 28.414190492305284, 242.77851642825112, 748.0697371486534, 89.17865457738662]",1.1797166158060477,0.6106954008447167,2.591232042388163,-0.08655966292510264,17.771502455763944,0.25254540822400384,45.161814897042895,0.07193536958864388
num_filters,-0.17089204774517938,,0.3975877954414527,0.9488904268715652,0.35602445056917464,15.0936076080733,22.008707640795233,76.0605195551687,"[0, 1, 2, 3, 4]","[2.0, 2.5, 3.0, 4.0, 6.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[2.0, 3.0, 4.0, 5.0, 9.0]","[1.1809005714227228, 1.5849124488470885, 1.4856744723901203, 2.079591860048507, 2.71368554420904]","[3.759115839383176, 8.39488519541412, 3.0413094830990257, 50.406687443741575, 58.22558988413327]","[4.227761974626554, 11.031095078584256, 4.180088666522895, 142.6449961334914, 82.51241514019911]","[10.50178342493412, 242.77851642825112, 8.142254644255749, 748.0697371486534, 291.054644084806]",1.1354191626748682,0.8745131766821191,-1.9302283073112658,0.7495908539305849,-4.090741462119984,0.48456998757726255,54.677460030841246,0.24690669418592381
longest_path_len,0.15608625280419547,,0.36493241368278084,0.9530915513552309,0.2394255033807971,3.124485721015837,24.349800504702213,100.57263610531119,"[0, 1, 2, 3, 4]","[4.0, 5.0, 5.0, 6.0, 7.0]","[3.0, 4.0, 5.0, 5.0, 6.0]","[4.0, 5.0, 5.0, 6.0, 10.0]","[1.1198122238102446, 1.4161243548278954, 1.6033704549371501, 1.8654035453037765, 2.0793525078616653]","[2.220391998385906, 9.641386817037978, 8.179952709662153, 22.095695258697695, 14.409483049734053]","[3.6785960784947926, 22.14484801872535, 110.61885256563495, 208.3143218307953, 53.97760863996551]","[4.512548630070443, 101.7225136637594, 242.77851642825112, 748.0697371486534, 89.17865457738662]",1.1327824894226262,0.9955702926507972,3.943031568483199,0.5711229663001203,21.130933622644516,0.27685741495214233,15.76504243129394,0.17120962880316049
num_nodes,-1.4983834992659864,,0.40635251288633295,0.9477861878142493,0.3853608085793526,0.6476134141087623,5.6521920940200845,21.643418081570726,"[0, 1, 2, 3, 4]","[6.0, 8.0, 10.0, 11.0, 14.0]","[4.0, 7.0, 9.0, 10.0, 12.0]","[7.0, 9.0, 10.0, 12.0, 19.0]","[1.2465079816171525, 1.3190785467861275, 2.2389612951772646, 1.559040158313767, 2.8343290900865736]","[3.2851341247964756, 37.007605888685625, 16.552028232133654, 5.4612424286610395, 13.41028458627911]","[4.464550748503253, 142.6449961334914, 45.4698868556972, 7.541761823350065, 53.97760863996551]","[4.956189214535301, 242.77851642825112, 748.0697371486534, 291.054644084806, 89.17865457738662]",1.1564643067117881,0.5993759189149033,10.2934992801834,-0.11430052278782865,23.33292223874217,-0.16303390205645085,158.6866056927332,-0.06651565005390792
join_tree_diameter,0.0,,0.0,1.0,0.18627500395207738,6.394207434333291,19.33084122800756,70.78098644174993,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.1166694139812057, 1.8857098215873855, 1.6365607489452214, 2.222411345067511, 1.8796905597821345]","[1.5569756394662633, 24.423888092160727, 5.4612424286610395, 15.875505545145481, 35.44216129551326]","[1.6927203771832007, 85.2484370571153, 7.1977567949393855, 116.98708302348234, 82.51241514019911]","[4.375411825592759, 748.0697371486534, 8.37058693060546, 242.77851642825112, 291.054644084806]",1.3756577746665137,0.5160578287809632,2.8185410074014006,0.4484724747788039,20.823751493019987,0.35346169001896255,14.24705200495933,-0.2543491490394789
num_blocking_ops,0.2831975281588862,,0.2647157849411964,0.9659812716395961,0.33938346654647955,6.486300046399298,14.035620680464575,57.05532560115643,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 3.0]","[1.1166694139812057, 1.8857098215873855, 1.9559192321788454, 1.5263289616527744, 2.619528067155955]","[1.5569756394662633, 8.769584619209727, 7.625354890735655, 10.887137184259469, 58.22558988413327]","[1.6927203771832007, 70.13351942366451, 9.572215538279535, 27.63027698814893, 82.51241514019911]","[4.375411825592759, 748.0697371486534, 164.68017900180874, 291.054644084806, 242.77851642825112]",1.218606385001183,0.49490381812985307,-0.5023459239742843,0.44826265154494305,5.986962009809564,0.24469568605665148,65.8659612224573,-0.29427179157613703
num_nested_loop,0.0402630461767848,,0.27579735823043044,0.9645335986737753,0.23170210833559152,4.305902182490086,24.226846116914896,148.6308131569032,"[0, 1, 2, 3, 4]","[0.0, 0.0, 1.0, 2.0, 4.0]","[0.0, 0.0, 1.0, 1.0, 3.0]","[0.0, 1.0, 1.0, 3.0, 6.0]","[1.2463076936046558, 1.5260529159932115, 1.5122131218939585, 1.7925810714276296, 2.271555709069963]","[6.251126074270888, 3.2966539107384305, 5.273707363436592, 8.76535214908716, 75.84617570301165]","[10.071585120986047, 37.056314322347774, 7.415871033140717, 22.0459600344579, 210.30424828183783]","[11.468244406345796, 242.77851642825112, 164.68017900180874, 101.7225136637594, 748.0697371486534]",1.2079174332338378,0.891732460252846,1.1149819999574413,0.13849296948722667,-5.38507465269286,0.3956571174450767,-12.298615339314855,0.5092828502756297
max_est_join_input_rows,-0.18556350594923757,,-0.0009153539307537908,0.9998823333585121,-0.013538772164923937,-1.7983788188910461,-43.85515337107209,-111.84421877913864,"[0, 1, 2, 3, 4]","[10819.0, 79851.0, 174305.0, 328064.0, 2218266.0]","[781.0, 37430.0, 125797.0, 303187.0, 670715.0]","[31457.0, 96492.0, 303187.0, 508043.0, 366459581.0]","[1.5957269438879864, 1.647705422392792, 1.2463941449776883, 1.5414788267133206, 1.5660024838480158]","[13.711742138409978, 29.781687879767475, 5.527588987823301, 7.77178769058271, 7.4943246090968625]","[198.34657182327402, 83.34569506984755, 9.19959951834463, 21.319012945487916, 10.010128220422036]","[748.0697371486534, 164.68017900180874, 101.7225136637594, 54.65372335906213, 242.77851642825112]",1.599326637495962,-0.11338527263142684,13.855500435330244,0.1460933959395252,154.5734607703028,0.7345205111528781,486.0697146530443,0.39892609063370166
