metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,1.129439925103232,,0.3935130271144566,0.947351774600365,0.2995993081951895,4.72651232947314,32.53647234121994,97.20992317402305,"[0, 1, 2, 3, 4]","[3.0, 4.0, 4.0, 5.0, 6.0]","[2.0, 3.0, 4.0, 4.0, 6.0]","[3.0, 4.0, 4.0, 5.0, 7.0]","[1.1707651753217128, 1.4700329264395546, 1.7731468408201168, 2.5056775818919506, 1.797547349233216]","[2.160806153552066, 4.981627357260975, 5.199550803851476, 48.68284936860163, 19.843948681742447]","[2.5780772995944257, 6.846474768106808, 23.35384887785088, 56.65934103091281, 231.97863728462474]","[3.4612635700276253, 7.4192046627048445, 626.1096893490925, 113.6223462936767, 407.1409547841446]",1.171715673207979,0.47625933060926684,1.1179355293809712,0.24271242833105267,-19.107656337945738,0.5636403555581719,-22.676188529687376,0.21551984533763968
num_columns,0.6569241337213183,,0.353307444582312,0.9527426619569683,0.18831907263424566,4.796770460551135,36.542311683538095,62.95773398110998,"[0, 1, 2, 3, 4]","[16.0, 21.0, 25.0, 29.5, 35.0]","[8.0, 20.0, 22.0, 27.0, 34.0]","[20.0, 22.0, 27.0, 32.0, 40.0]","[1.2445167751284876, 1.4169816538909636, 1.7731468408201168, 2.5037337905800303, 1.797547349233216]","[2.06219328031886, 4.6689954726753475, 6.8741852609995915, 34.65175978116249, 19.843948681742447]","[2.330003603516022, 22.920790785205433, 7.923235212443826, 50.33754071566974, 231.97863728462474]","[2.9468962538862837, 626.1096893490925, 113.6223462936767, 59.17239970608395, 407.1409547841446]",1.2898963975203632,0.46808942557476896,0.8638013608307227,0.4710529334152638,-22.102902557823363,0.5801011644210387,48.65520643050384,-0.11293446777151872
num_joins,1.129439925103232,,0.3935130271144566,0.947351774600365,0.2995993081951895,4.72651232947314,32.53647234121994,97.20992317402305,"[0, 1, 2, 3, 4]","[2.0, 3.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 3.0, 5.0]","[2.0, 3.0, 3.0, 4.0, 6.0]","[1.1707651753217128, 1.4700329264395546, 1.7731468408201168, 2.5056775818919506, 1.797547349233216]","[2.160806153552066, 4.981627357260975, 5.199550803851476, 48.68284936860163, 19.843948681742447]","[2.5780772995944257, 6.846474768106808, 23.35384887785088, 56.65934103091281, 231.97863728462474]","[3.4612635700276253, 7.4192046627048445, 626.1096893490925, 113.6223462936767, 407.1409547841446]",1.171715673207979,0.47625933060926684,1.1179355293809712,0.24271242833105267,-19.107656337945738,0.5636403555581719,-22.676188529687376,0.21551984533763968
num_filters,-0.3130071456954692,,0.30278918004368477,0.9594907256682086,0.20094902853380914,9.10668511641937,42.73644774315694,64.50387630348787,"[0, 1, 2, 3, 4]","[2.0, 2.5, 3.0, 4.0, 6.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[2.0, 3.0, 4.0, 5.0, 9.0]","[1.3538743832805844, 1.8435249924737602, 1.4700329264395546, 2.2068947487554578, 2.17693623903149]","[3.2376102008111585, 4.868514475415266, 3.287966809807318, 14.305705195693172, 52.111863080607826]","[5.686973546590104, 36.39167247272624, 3.588946833940289, 49.492835444694606, 231.97863728462474]","[8.194636277687895, 626.1096893490925, 6.9573274415580615, 113.6223462936767, 407.1409547841446]",1.4398975621231618,0.646488960466159,-4.262175978839166,0.632660549037689,-23.85681949155883,0.5925250551360457,31.30812419126025,-0.1023208484684226
longest_path_len,0.4347293067469562,,0.3007016651019439,0.9597721869174882,0.251982679747561,4.7452557886618285,25.707804846678396,98.2148959634071,"[0, 1, 2, 3, 4]","[4.0, 5.0, 5.0, 6.0, 7.0]","[3.0, 4.0, 5.0, 5.0, 6.0]","[4.0, 5.0, 5.0, 6.0, 10.0]","[1.203704381847862, 1.9285402401341902, 1.7056038118895849, 1.8190392006733742, 2.2314376844798587]","[2.693125273006708, 4.733341575768594, 12.334203073848915, 33.15639726489596, 20.235592811022798]","[3.745336860230747, 7.650725511591198, 30.72192469628847, 50.33754071566974, 231.97863728462474]","[6.9573274415580615, 59.17239970608395, 626.1096893490925, 113.6223462936767, 407.1409547841446]",1.2096166054984465,0.5755902018692463,2.263796396310413,0.5419255841804039,-10.732821591992836,0.44409036038582506,-5.934853065487888,0.20672440897525435
num_nodes,-1.8581343531682837,,0.25374442922174084,0.9660639037415821,0.16763076965411267,3.42382304243447,40.845369502541104,61.12837954147301,"[0, 1, 2, 3, 4]","[6.0, 8.0, 10.0, 11.0, 14.0]","[4.0, 7.0, 9.0, 10.0, 12.0]","[7.0, 9.0, 10.0, 12.0, 19.0]","[1.2269071224220158, 1.5050899018493182, 1.9901514585137505, 1.9285402401341902, 1.8533366987460036]","[2.977225059114455, 15.191195939301611, 13.326458056032026, 4.553056916854731, 19.843948681742447]","[3.987356115687333, 49.492835444694606, 43.28346809827463, 20.649574952297364, 231.97863728462474]","[6.9573274415580615, 626.1096893490925, 113.6223462936767, 47.264542499686094, 407.1409547841446]",1.3320650253320905,0.6530114823026394,5.201568888035642,0.17940929204829947,-8.590723348714963,0.5314877121485195,53.650399016359884,-0.1088590089047563
join_tree_diameter,0.0,,0.0,1.0,0.21857269839446655,6.95769529832486,42.46881502640984,101.12912402298188,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.1098160303751419, 2.3618205452653425, 1.5319941594772946, 1.712709347664429, 2.058716825567412]","[2.36661996315192, 34.57470413381149, 3.3286336754196086, 4.67367383156191, 52.111863080607826]","[2.5780772995944257, 56.65934103091281, 4.148641349872759, 22.809938111754178, 231.97863728462474]","[3.9159427436358634, 113.6223462936767, 6.929649501104409, 626.1096893490925, 407.1409547841446]",1.1304585244498018,-0.11579627831854511,5.495687150160189,0.23444180761498945,-21.30270998102419,0.4838602159390428,6.344541290331353,0.5347536660279799
num_blocking_ops,0.1719523741053543,,0.38995754510470243,0.947865111633722,0.31944382026001095,5.407143749206111,43.438676925024474,153.73878160424,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 3.0]","[1.1467831352756388, 2.1757413054155874, 1.748298954039983, 1.5244755110079071, 2.782841594583641]","[2.36661996315192, 20.79111288271478, 3.8004568936697076, 4.207343018573463, 37.69725425943796]","[2.5780772995944257, 56.65934103091281, 6.078161207844397, 32.50211194073678, 231.97863728462474]","[3.9159427436358634, 113.6223462936767, 31.516501816400226, 407.1409547841446, 626.1096893490925]",1.253752899946291,0.4119978614326495,2.9582686691796956,0.3102184470251783,-20.918067519351954,0.5194085575537807,-31.185403605313944,0.78247914052211
num_nested_loop,-0.10798320285078394,,0.2822853362027644,0.9622377586032509,0.1935048107080159,5.4219807211269435,17.479483119305716,56.87103613664745,"[0, 1, 2, 3, 4]","[0.0, 0.0, 1.0, 2.0, 4.0]","[0.0, 0.0, 1.0, 1.0, 3.0]","[0.0, 1.0, 1.0, 3.0, 6.0]","[1.3993676207793275, 1.7731468408201168, 1.410143373185127, 2.0063401176926052, 2.17693623903149]","[4.733341575768594, 11.411998781542511, 3.6187434012816855, 3.962683191497343, 79.92538558217117]","[7.146694961852217, 28.498600215090512, 5.813161457116699, 4.800733009194666, 248.82711764037757]","[8.194636277687895, 626.1096893490925, 31.516501816400226, 59.17239970608395, 407.1409547841446]",1.4093701008937711,0.6332349996282165,1.1660119831699305,0.19810407049031709,-3.659930345515174,0.20194963893755924,44.97728202477174,-0.09475801677511342
max_est_join_input_rows,44.35292178868925,,0.03816839136587479,0.9948957126249254,-0.07676897425262169,-9.424601019895766,-19.551046511898345,-35.62501596738504,"[0, 1, 2, 3, 4]","[10819.0, 79851.0, 174305.0, 328064.0, 2218266.0]","[781.0, 37430.0, 125797.0, 303187.0, 670715.0]","[31457.0, 96492.0, 303187.0, 508043.0, 366459581.0]","[2.4588155376140985, 1.597212255558184, 1.3858939533758088, 1.507063079453801, 2.1200449263513166]","[48.68284936860163, 14.648393808813475, 1.9706809607957814, 3.8562749994291794, 6.951411669466878]","[92.05180631284802, 57.50652014853166, 2.1684841739212, 4.415350807576149, 20.82562339500938]","[407.1409547841446, 338.9636318715123, 59.17239970608395, 27.110049307128733, 626.1096893490925]",1.967344107033719,0.07067102410616621,34.07121460655862,0.5949890950013668,77.1205366692369,0.6341971612852324,314.65988837367047,-0.1325591084455584
