metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,0.9706576202966616,,0.4426575459974666,0.9192966287071037,0.3441727901704511,4.021015838331715,28.281957487096307,77.66417574212763,"[0, 1, 2, 3, 4]","[3.0, 4.0, 4.0, 5.0, 6.0]","[2.0, 3.0, 4.0, 4.0, 6.0]","[3.0, 4.0, 4.0, 5.0, 7.0]","[1.1442509474170974, 1.479090659798188, 1.9220916587532344, 2.44974994761233, 1.9621882003202948]","[2.0546668112398034, 4.9150359037948945, 8.186044159848889, 43.43931215050176, 17.39389679548137]","[3.284560657801244, 7.8329061476449295, 48.68125241490154, 118.47998203354545, 106.31790563595196]","[4.225674482385709, 15.43441829897226, 325.05352057103653, 403.4187333741647, 199.0087364914482]",1.1709721268319495,0.588981797256739,1.4195063337787266,0.20381608685449082,-3.80268298128379,0.8485377124080065,34.09994196904555,0.46920879713434915
num_columns,0.37226897315830554,,0.4104747065651743,0.9243717973672653,0.19629500110116904,3.974081211858663,24.084581089672323,-32.41018635454888,"[0, 1, 2, 3, 4]","[16.0, 21.0, 25.0, 29.5, 35.0]","[8.0, 20.0, 22.0, 27.0, 34.0]","[20.0, 22.0, 27.0, 32.0, 40.0]","[1.2000951334910706, 1.6774663521422175, 1.6621524932505147, 2.4099966608343246, 1.9621882003202948]","[1.7923930931738, 5.307001671595291, 8.663251425762349, 27.93284558864239, 17.39389679548137]","[2.028876227651034, 47.36455652159765, 10.141586557230966, 69.85939480168973, 106.31790563595196]","[2.7371483590014893, 325.05352057103653, 291.3968414945022, 232.93038682368467, 199.0087364914482]",1.3310368417742993,0.6113019104958478,1.5409312499329637,0.5254203288571262,3.2047242758164707,0.7060485751985602,337.5032910996379,-0.7796538517093416
num_joins,0.9706576202966616,,0.4426575459974666,0.9192966287071037,0.3441727901704511,4.021015838331715,28.281957487096307,77.66417574212763,"[0, 1, 2, 3, 4]","[2.0, 3.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 3.0, 5.0]","[2.0, 3.0, 3.0, 4.0, 6.0]","[1.1442509474170974, 1.479090659798188, 1.9220916587532344, 2.44974994761233, 1.9621882003202948]","[2.0546668112398034, 4.9150359037948945, 8.186044159848889, 43.43931215050176, 17.39389679548137]","[3.284560657801244, 7.8329061476449295, 48.68125241490154, 118.47998203354545, 106.31790563595196]","[4.225674482385709, 15.43441829897226, 325.05352057103653, 403.4187333741647, 199.0087364914482]",1.1709721268319495,0.588981797256739,1.4195063337787266,0.20381608685449082,-3.80268298128379,0.8485377124080065,34.09994196904555,0.46920879713434915
num_filters,-0.3362343905099134,,0.3729459418363618,0.9299549499133081,0.2707592145130381,10.114829280261102,30.37062189250309,82.52454819709637,"[0, 1, 2, 3, 4]","[2.0, 2.5, 3.0, 4.0, 6.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[2.0, 3.0, 4.0, 5.0, 9.0]","[1.2666309469211343, 1.5714482811911894, 1.5881193377734402, 2.1153786650148034, 2.3484621051803103]","[3.151093419839706, 6.113556027256014, 3.9990100208182917, 26.405837746800994, 43.58127920010033]","[4.507180393662097, 19.31319144036051, 5.161433494367128, 73.55688168684152, 129.2578330668479]","[9.904690258515778, 324.1302358307977, 8.52314727590682, 322.654813126032, 348.9199051830382]",1.2766139384576753,0.9301933874446627,-1.8705188189103872,0.7918186041947386,-8.395652077362886,0.7671935548019371,34.60263057032518,0.3470102854976159
longest_path_len,0.5304479305049531,,0.3601920635182483,0.9317636233753852,0.2093286257663164,4.034911902574973,27.209520630876927,72.86562365662654,"[0, 1, 2, 3, 4]","[4.0, 5.0, 5.0, 6.0, 7.0]","[3.0, 4.0, 5.0, 5.0, 6.0]","[4.0, 5.0, 5.0, 6.0, 10.0]","[1.150484854655119, 1.660109537677421, 2.017487334793683, 1.7439971195486708, 2.155184908213975]","[2.301390070359326, 6.8976212074922865, 10.71870758317992, 21.128550487165636, 18.350486832105577]","[3.6112234586471677, 13.540499212461777, 51.24771446094095, 109.62230369435929, 106.31790563595196]","[5.973953710225366, 60.02742875899741, 325.05352057103653, 403.4187333741647, 199.0087364914482]",1.3138560577292229,0.7251000620659616,2.6135525383623524,0.8311857591578194,-0.6934267686510731,0.8977960168339096,52.96511547155741,0.4657501984515806
num_nodes,-2.446436114863221,,0.3378734558288707,0.9378914756286226,0.334552431536659,2.776211733042304,16.4577066352055,-9.978370474274515,"[0, 1, 2, 3, 4]","[6.0, 8.0, 10.0, 11.0, 14.0]","[4.0, 7.0, 9.0, 10.0, 12.0]","[7.0, 9.0, 10.0, 12.0, 19.0]","[1.2073596919710965, 1.5024641357154522, 2.1720353287180574, 1.6260158510760625, 2.5516811375088047]","[3.2027440604271966, 21.501697676203193, 12.707225977258018, 6.0492860944730085, 17.886872634527148]","[4.112013980587204, 69.66135944408151, 33.27432099286647, 12.575602872581788, 106.31790563595196]","[6.1218339050469845, 325.05352057103653, 321.7315283857932, 228.9611010882187, 199.0087364914482]",1.196247422232544,0.6379216250775693,5.713172892272972,-0.020374457712269756,14.987021828817213,0.2910543996932726,275.0840694852059,-0.2125429638463201
join_tree_diameter,0.0,,0.0,1.0,0.25571121152407617,5.621307876137079,25.213331759611066,83.81866474439734,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.1196386314244806, 1.9312515896925202, 1.5887180975791126, 2.1482482612351057, 2.162970189424487]","[1.9007138581604732, 22.468707089628726, 4.778119033051534, 10.515087858909643, 35.98680300389366]","[2.1515604392601535, 52.74524945106625, 6.079356306233605, 50.73312908537864, 129.2578330668479]","[4.139170030889764, 321.7315283857932, 16.288403407922008, 325.05352057103653, 348.9199051830382]",1.228051781552596,0.6579359088121521,3.887273254006489,0.3988872744660009,-0.6558507868500992,0.6050353252488424,30.460603671143446,0.3670275901490905
num_blocking_ops,0.35671482942365773,,0.4406577472140644,0.9087157766691956,0.44901743996016236,6.683581463205564,19.814577576420678,76.00137307290841,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 3.0]","[1.1350015642709306, 1.8302440376371887, 2.0379937848640766, 1.508432967095172, 2.935560005856477]","[1.9007138581604732, 12.093670427261978, 6.191911619509656, 6.5003433987393535, 36.47196076563281]","[2.1515604392601535, 47.27863259639118, 13.818334001210436, 22.605019612248043, 113.58911770921458]","[4.139170030889764, 321.7315283857932, 100.823012251325, 348.9199051830382, 323.1982686300523]",1.1381502023321268,0.4476426014305398,-0.07708468720644635,0.5251279867899923,0.2593749991781413,0.497966904602941,48.702454283813914,0.42218225633560336
num_nested_loop,-0.12470332763608606,,0.2418862478322403,0.9597334066235282,0.2082013814956432,2.503136421868663,15.12323737084427,77.42827328010337,"[0, 1, 2, 3, 4]","[0.0, 0.0, 1.0, 2.0, 4.0]","[0.0, 0.0, 1.0, 1.0, 3.0]","[0.0, 1.0, 1.0, 3.0, 6.0]","[1.3023972127091534, 1.5554488854736916, 1.657907162969396, 1.7625948398259095, 2.2010854934672848]","[4.842474824501555, 7.789451960055589, 5.608868376113648, 6.220765451278068, 67.58828678046346]","[7.105157112373277, 25.304193583273815, 8.446803819897683, 11.625002733524525, 187.1718356654568]","[10.226843918986336, 293.7040490154333, 100.823012251325, 60.02742875899741, 501.2582695376539]",1.2949825138900148,0.9181374567303866,3.577128257723472,0.024746446438245417,-1.504454830163299,0.25981520607765884,43.747523194319534,0.33867084378280055
max_est_join_input_rows,28.576908460811666,,0.07758499326790567,0.9797841333599436,0.02935444803412448,-4.780168845503866,-26.19689914556406,-58.633495325776344,"[0, 1, 2, 3, 4]","[10819.0, 79851.0, 174305.0, 328064.0, 2218266.0]","[781.0, 37430.0, 125797.0, 303187.0, 670715.0]","[31457.0, 96492.0, 303187.0, 508043.0, 366459581.0]","[1.8382967674288542, 1.5451282775770687, 1.2726845107262033, 1.565968856842539, 1.9746493770338607]","[26.315843780527132, 18.27133318635295, 3.8831617732692956, 6.587207209305049, 8.256237311159182]","[123.14091502604124, 55.954085143202214, 8.443575271273517, 11.826065002378073, 14.192392268658436]","[501.2582695376539, 203.30538893636233, 87.20050449421888, 31.052107357940674, 293.7955489395067]",1.6002528893629893,0.022256979086032858,23.366774369726947,0.631916828865484,96.43305479854845,0.7153184204785168,340.58935474049446,0.24963567265324593
