metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,-0.05021930410915696,,0.02550373938581089,0.9810789495297702,0.012268699091202468,0.03323425881523113,-0.2486524775331833,1140.6438608535975,"[0, 1, 2, 3, 4]","[2.0, 2.0, 2.0, 3.0, 3.0]","[1.0, 2.0, 2.0, 3.0, 3.0]","[2.0, 2.0, 3.0, 3.0, 3.0]","[1.299959629374295, 1.3651950924385672, 1.3655460700489284, 1.379438338861043, 1.3745237417158844]","[4.3223215449689745, 3.5716726747900975, 3.741735011901, 4.390476660374968, 4.079091280045254]","[9.573425647737615, 6.387723011021021, 6.643600591841905, 8.220163780113749, 7.443247869647813]","[4069.013943840085, 3385.1301040217045, 5606.221768086133, 2723.1534259699856, 8891.228145573603]",1.3363633101019852,0.5767308563690134,3.9545909417268574,0.021633270128125104,8.162665078378254,0.0881762701076918,3160.8300234008107,0.2565487966640082
num_columns,0.20673058154643895,,0.03396306474285573,0.9743800281232509,0.018112122902254897,-0.042918783675969074,0.12511128708540611,149.58348581732233,"[0, 1, 2, 3, 4]","[15.0, 17.0, 19.0, 20.0, 24.0]","[3.0, 17.0, 17.0, 20.0, 22.0]","[17.0, 17.0, 20.0, 22.0, 24.0]","[1.3000277223996883, 1.341836705667532, 1.378150143543319, 1.345912575838449, 1.3876862010173372]","[4.365164348768045, 2.9868717692784235, 4.417369037311892, 4.332216241713389, 4.042228308279088]","[8.25436382977234, 4.953698714008088, 9.373469994546943, 7.444372915572501, 8.595809233451726]","[3670.7359375717483, 2858.8560379465785, 4988.097546230533, 8891.228145573603, 3038.1207695692015]",1.3129966782828255,0.6693471084430658,4.340339445015052,-0.23109548105439348,7.806256430109223,0.007468394497417652,3739.1948938498817,-0.036882095856299646
num_joins,-0.05021930410915696,,0.02550373938581089,0.9810789495297702,0.012268699091202468,0.03323425881523113,-0.2486524775331833,1140.6438608535975,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 2.0, 2.0]","[0.0, 1.0, 1.0, 2.0, 2.0]","[1.0, 1.0, 2.0, 2.0, 2.0]","[1.299959629374295, 1.3651950924385672, 1.3655460700489284, 1.379438338861043, 1.3745237417158844]","[4.3223215449689745, 3.5716726747900975, 3.741735011901, 4.390476660374968, 4.079091280045254]","[9.573425647737615, 6.387723011021021, 6.643600591841905, 8.220163780113749, 7.443247869647813]","[4069.013943840085, 3385.1301040217045, 5606.221768086133, 2723.1534259699856, 8891.228145573603]",1.3363633101019852,0.5767308563690134,3.9545909417268574,0.021633270128125104,8.162665078378254,0.0881762701076918,3160.8300234008107,0.2565487966640082
num_filters,0.034366751992098744,,0.18295466037829666,0.8616440989304461,0.1284842946357411,0.9929521780785875,2.1032232786636658,1120.7214015275952,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 2.0, 2.0]","[0.0, 1.0, 1.0, 2.0, 2.0]","[1.0, 1.0, 2.0, 2.0, 4.0]","[1.1909991651422762, 1.2764129576130967, 1.303481345977126, 1.552349119766145, 1.6954526653334165]","[2.1016563588286985, 3.092415941387206, 3.69658025043241, 5.014229955759945, 6.105512303741339]","[3.4594695279832006, 5.827094714462959, 7.040814005050066, 10.107150189142407, 11.835578838755493]","[3974.057915507674, 1281.4534516736628, 3279.0892760865513, 2878.5444671837795, 8891.228145573603]",1.165184411791616,0.9142895854088895,2.0779494243582843,0.9858900222474404,3.5344219592586303,0.9863143630820254,1819.4328830265745,0.39495328495526405
longest_path_len,-0.03739311137683861,,0.10528972739701714,0.9191389934472376,0.0787236171560044,0.43725993045358513,0.5380671252187996,1011.5015000038031,"[0, 1, 2, 3, 4]","[2.0, 3.0, 3.0, 4.0, 5.0]","[1.0, 3.0, 3.0, 3.0, 4.0]","[3.0, 3.0, 3.0, 4.0, 7.0]","[1.1758481763099224, 1.3329511111320935, 1.3403598642809775, 1.5992945852999398, 1.485150103608352]","[2.491143697533226, 3.4853014060823764, 3.7290078097704047, 5.957901707578903, 4.144267064009654]","[5.092437378977325, 6.904354689928094, 7.2652767937027685, 11.5237968344426, 6.924733807768521]","[880.2525493300354, 4983.826047152787, 3670.7359375717483, 8891.228145573603, 4759.940877154297]",1.2097313216094445,0.72280370221329,2.8057577823776967,0.4249992601843864,5.885321461186681,0.1907509005432364,2335.7385612820312,0.39010291442047773
num_nodes,-0.08527970112363382,,0.07467104988800026,0.9430170502145462,0.07083475686527924,0.39198765907050404,0.6606154833574696,1004.3739760087252,"[0, 1, 2, 3, 4]","[3.0, 4.0, 5.0, 6.0, 7.0]","[1.0, 4.0, 4.0, 5.0, 6.0]","[4.0, 4.0, 5.0, 6.0, 9.0]","[1.1819824222070763, 1.5455174510604808, 1.314368768608637, 1.418729798350033, 1.4679631421170949]","[2.7077553602504576, 5.640771546730439, 2.6054528871124116, 4.933780486023298, 4.41658323902213]","[5.438315841308589, 11.637214293283067, 3.851414358204336, 9.051809258254623, 8.299689692545249]","[880.2525493300354, 6349.131415801942, 1732.73288517981, 8891.228145573603, 4759.940877154297]",1.1914080266250904,-0.012003831501893991,3.1047348915707094,0.060045424304093986,6.055168800972577,-0.016193972936471734,2513.909817518176,0.24364802833892707
join_tree_diameter,-0.036515070873876315,,0.03281507445670568,0.9746426432047194,0.0067948984779442655,-0.10056203320910007,-0.28396109039269285,1451.673394935866,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.292952445820735, 1.365323750419505, 1.3724913291031164, 1.3749507561321048, 1.3749868944669483]","[4.59765488796548, 3.880884393300739, 3.7271181797611597, 3.9408396344635896, 4.022635116920324]","[9.27093400969529, 7.473398683811908, 6.5767953272840165, 7.2088773900735275, 7.983377940610119]","[3907.171913653679, 2467.3520843752135, 5361.561951050647, 3027.4049979162796, 10221.41767933948]",1.3531259300198133,0.2651004572195248,4.226504356422718,0.26514040161500574,8.284452956196558,0.19632987756942355,2405.961524007561,0.43013824625322306
num_blocking_ops,-0.042270955500358025,,-0.033987169088957325,0.9732520259974139,-0.010246851633093657,-0.23512971768899774,-0.37503667693539827,-669.2282168934153,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.0]","[1.374848030897713, 1.3591740727692387, 1.3798456122680196, 1.356027877526282, 1.3251868867001821]","[4.378103692476316, 4.042491142597154, 4.289695667907114, 4.086337398606535, 3.1805287759150986]","[7.955289873343354, 7.804263799373172, 8.271144527384443, 7.780238952953057, 6.092108674254312]","[3038.1207695692015, 10221.41767933948, 4495.060063891638, 1490.1238140055502, 1763.3559691670162]",1.377508805833021,0.5603990735924385,4.465690784672114,0.6091653554109222,8.33068248045468,0.48124169675436546,4639.705579652618,0.12882606676772823
num_nested_loop,-0.09805275550677699,,0.24790098581095385,0.8144676882038002,0.1565444568503768,1.6450773061986546,4.0066149100533694,1766.114542012356,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0, 2.0]","[1.2374383946704328, 1.2520258743509705, 1.2926884869296, 1.5355597963542749, 1.8783944901623908]","[2.257619397685709, 2.3583703205686026, 2.779665340927254, 5.440487631157654, 8.942033061060425]","[3.282461776807917, 3.5490845648104545, 4.6319691935334, 10.847336884329872, 19.666899936783686]","[1644.3996723138737, 1407.3279843685577, 3789.477268602335, 4750.43547267086, 8891.228145573603]",1.1288525947285681,0.8184295902398695,1.1100005221038847,0.8176614440990988,0.44076491666865725,0.8154410127553547,564.3444749641478,0.8654952845492869
max_est_join_input_rows,0.49175398068174986,,-0.09874883494369587,0.9240672511893003,-0.15759151775110314,-1.817001986677244,-4.060352509793744,-1145.5063865648135,"[0, 1, 2, 3, 4]","[15.0, 11873.0, 556009.0, 2369799.0, 14841416.0]","[0.0, 749.0, 98369.0, 720230.0, 4523930.0]","[749.0, 98369.0, 720230.0, 4523930.0, 36253208.0]","[1.7856095743052645, 1.6430952963279353, 1.3944528289247184, 1.2628514973300515, 1.1877736035733595]","[11.513666065049529, 5.078052837268701, 3.1084944773192826, 2.3282213470347584, 1.7609037607034945]","[23.996203192355754, 9.353368004313575, 4.964747950141197, 3.2321905889159055, 2.0850897423578014]","[3822.097853751795, 8891.228145573603, 4759.940877154297, 920.5957692436723, 813.8523464223484]",1.7724341719929257,0.9674330386785526,7.983361639669147,0.7423461109977045,15.913166826287647,0.7340003735684091,5660.344998624688,0.4043394026683862
sum_est_join_input_rows,-0.7489838122262649,,-0.09848348602002736,0.9243064613459012,-0.15828766776071368,-1.6974214219900206,-3.647136835977909,-979.02371417113,"[0, 1, 2, 3, 4]","[21.0, 13186.0, 723616.0, 3247733.0, 25401224.0]","[0.0, 925.0, 109847.0, 1483603.0, 10433928.0]","[925.0, 109847.0, 1483603.0, 10424877.0, 68464352.0]","[1.7868045228834664, 1.6359105857588823, 1.4074134684514632, 1.2678122718723641, 1.1794150928417977]","[11.64901917151252, 4.988844049666347, 3.249155145254304, 2.2530359667749447, 1.734927172271058]","[24.650631880627383, 8.98831162978387, 5.282580913868312, 3.0956705782603033, 2.0364901141947622]","[3822.097853751795, 8891.228145573603, 4269.786493120602, 1787.330745724296, 813.8523464223484]",1.7735587874870546,0.9783891081838305,7.6108771107214555,0.7086883559925845,14.640127360228043,0.6701423813193574,5229.345311068651,0.3591498336850767
num_highly_selective_filters,-0.08442177303534014,,0.39324672746886696,0.7144185104407033,0.1151347471468373,2.0322145243994187,5.015000265129466,2090.978851224152,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 3.0]","[1.2613316952226146, 1.2781924669455142, 1.2669934058991315, 1.4047688982465818, 2.1245969468281816]","[2.4098122194793636, 2.406358666905581, 2.3415951737767338, 4.734743789944754, 13.461569109997578]","[3.473304378711703, 3.3363484024117356, 3.1187981792811557, 9.031192754359237, 31.465593364437712]","[53.83561094012649, 84.76275450808181, 68.78611897312578, 8891.228145573603, 7214.401558636389]",1.1667313631976297,0.4862921422724483,0.5954520079942827,0.6202987684244439,-1.0976233093009975,0.6048368250132156,-1033.9627372598488,0.679531195456822
log_filter_selectivity_product,-0.22901039209214072,,-0.5331395813089308,0.6207422867337246,-0.26095716948034176,-1.4830343763887424,-2.5779874887786223,-1280.1254129524548,"[0, 1, 2, 3, 4]","[-13.061988394879956, -4.526947821630804, -2.2587090950224655, -1.0981728382061495, -0.07231566593567285]","[-65.1752873809742, -7.535022641917433, -3.1631643743017457, -1.5831350290431623, -0.5987181596641847]","[-7.535201781880663, -3.163977138162796, -1.583332388377461, -0.5999031249470005, 0.0]","[2.4830024324209403, 1.6494504131202816, 1.439120799687107, 1.2040100677335908, 1.1328752212121123]","[17.037544477634494, 4.232219424362577, 2.8406823853234613, 1.7789980853675724, 1.4345267745551133]","[40.73153492571743, 6.428632948554649, 3.9658926889021893, 2.1913616799443916, 1.5897653394133169]","[10221.41767933948, 1746.9237363277255, 67.87562483486307, 12.876298710761711, 3.117898283702259]",2.0499942370550306,0.8011333382626998,6.5479834974069275,0.3491805328098936,10.46336062562629,0.17674582490287838,4048.56707899702,0.46027473470479563
optimizer_est_cost_root,0.28757747018976176,,-0.06271787108988637,0.9514719766428814,-0.12789204232293339,-1.1137640661795638,-2.255944217812518,-1257.92306321014,"[0, 1, 2, 3, 4]","[43913.84, 98493.09000000001, 204329.875, 458567.71, 1271586.41]","[16386.4, 62787.31, 144748.09, 301991.07, 729140.23]","[62783.170000000006, 144663.2, 301916.64, 729140.23, 4813615.93]","[1.8754896181137557, 1.3444862968747646, 1.295211986255791, 1.3826386735799858, 1.2278052917277178]","[8.62860034021361, 3.196986815326845, 2.831532508765927, 5.5011099181973515, 1.9076164346257478]","[17.441560457902742, 5.062940636716806, 4.399457028675761, 13.934435286594612, 2.48962704877924]","[1712.544774705042, 10221.41767933948, 4252.634161468231, 2913.0153153620704, 601.3844245224014]",1.6852518271837198,0.5915671745341586,6.640697567530327,0.42466049670561457,12.871867398577844,0.25006243632854197,6362.787072607353,0.143003089960283
log_max_est_rows,-0.1729248092659833,,-0.3611908818634388,0.7330527586700194,-0.22219406607594525,-1.445963796354842,-2.968066802168589,-722.2446099981175,"[0, 1, 2, 3, 4]","[5.6021188208797, 12.029010161049376, 13.742897912642226, 15.03771165656547, 16.97654703603382]","[0.6931471805599453, 9.630102784785171, 13.262153145479308, 14.592191115945852, 15.839312399621354]","[9.62970838525334, 13.262153145479308, 14.590153390163282, 15.839312399621354, 19.175908201642407]","[2.2678223343701718, 1.5571624109645674, 1.3510603357078166, 1.2031755986327368, 1.1815428304218003]","[13.553224667706916, 4.366034285584338, 2.9306683026966343, 2.0478564490179885, 1.7340126152961155]","[28.368110965249613, 7.376406109709575, 4.3201609666117635, 2.7171308139288293, 2.018966432787002]","[1919.150338674418, 10221.41767933948, 1787.330745724296, 1066.6309656944204, 22.49878792047525]",1.9260806569224387,0.7768587673837914,6.668602446245843,0.4891912134052564,12.128659462565833,0.43883126516354254,3125.554056110793,0.07039624301757708
