metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,-0.015243745984820282,,0.02833592781931637,3.05089287166993e-13,0.019083589161504388,0.1011602191292252,0.16206778111709183,1.8949758889263801,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 3.0, 3.0]","[1.0, 1.0, 2.0, 3.0, 3.0]","[1.0, 2.0, 3.0, 3.0, 3.0]","[1.024398704407596, 1.0393448724479843, 1.0591400469972048, 1.0933539711276417, 1.0983118518401427]","[1.0663937984712417, 1.1515750523898751, 1.2722055576470395, 1.4532100377868875, 1.4577398395274999]","[1.085328105584341, 1.23443801226871, 1.4266310572203915, 1.7065668972094659, 1.7148222289883768]","[1.2752666639536634, 2.051096998003824, 4.366517579043861, 9.041057187951717, 8.222558703380301]",1.0225428128422607,0.9538557431735479,1.0633596391383666,0.9371083240388509,1.0873335155530952,0.9409203540518718,0.8314957439625673,0.856548237324099
num_columns,-0.009423159382863765,0.6415738450545505,0.025798085784426904,3.65036889604653e-11,0.02117434235578088,0.12768286594610054,0.20521524250896478,1.8296895854312327,"[0, 1, 2, 3, 4]","[5.0, 15.0, 19.0, 22.0, 24.0]","[3.0, 7.0, 17.0, 20.0, 22.0]","[7.0, 17.0, 20.0, 22.0, 24.0]","[1.0246235553748035, 1.0363183783798113, 1.0605350813969168, 1.0912968924417035, 1.1037630933290874]","[1.0681832906597526, 1.1335397188404248, 1.2713173637176671, 1.4027191279218503, 1.53005096570058]","[1.0855178244511363, 1.1873985613090199, 1.4057461354213296, 1.6105858173530099, 1.8197662052805057]","[1.4625579576505583, 1.5987797519785694, 3.1680062839007856, 4.738867810635625, 9.041057187951717]",1.0206558566342423,0.977342683959784,1.0183139204297982,0.9815895985254274,0.9963872792655782,0.9774896914185993,0.3424745542724306,0.8616256962733856
num_joins,-0.015243745984819326,,0.02833592781931642,3.05089287166993e-13,0.019083589161504388,0.1011602191292252,0.16206778111709183,1.8949758889263801,"[0, 1, 2, 3, 4]","[0.0, 1.0, 1.0, 2.0, 2.0]","[0.0, 0.0, 1.0, 2.0, 2.0]","[0.0, 1.0, 2.0, 2.0, 2.0]","[1.024398704407596, 1.0393448724479843, 1.0591400469972048, 1.0933539711276417, 1.0983118518401427]","[1.0663937984712417, 1.1515750523898751, 1.2722055576470395, 1.4532100377868875, 1.4577398395274999]","[1.085328105584341, 1.23443801226871, 1.4266310572203915, 1.7065668972094659, 1.7148222289883768]","[1.2752666639536634, 2.051096998003824, 4.366517579043861, 9.041057187951717, 8.222558703380301]",1.0225428128422607,0.9538557431735479,1.0633596391383666,0.9371083240388509,1.0873335155530952,0.9409203540518718,0.8314957439625673,0.856548237324099
num_filters,0.015362883628542314,0.006250533401836789,0.03277008065442054,0.0,0.02162693586109076,0.10999107533779057,0.17980338764675818,0.6577937238522021,"[0, 1, 2, 3, 4]","[1.0, 1.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 2.0, 3.0]","[1.0, 1.0, 2.0, 3.0, 4.0]","[1.030748120763461, 1.0298382319426533, 1.060882137444171, 1.0714983893974752, 1.1180500060674834]","[1.1073961430078187, 1.1068593986500046, 1.2936579355314484, 1.3292872187538518, 1.5461379882068529]","[1.1593703136113374, 1.1668734569485533, 1.478149014806745, 1.478238839946581, 1.8925506341392706]","[2.2101283314929536, 2.473677118009019, 9.041057187951717, 4.738867810635625, 4.366517579043861]",1.01894906105767,0.8918908929992733,1.056685582449499,0.9085389330919647,1.0794915616066394,0.8752164177230801,2.2984908725539293,-0.006803903894630148
longest_path_len,-0.007561647509572843,0.5638807990010328,0.03237075714295897,0.0,0.02315602756527481,0.11832326324626016,0.18631910854961903,1.9005039969256705,"[0, 1, 2, 3, 4]","[1.0, 3.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 4.0]","[2.0, 3.0, 4.0, 4.0, 7.0]","[1.0220832342394535, 1.0414662475834109, 1.0572413074370672, 1.0934826594429485, 1.1122855539048857]","[1.057349663955072, 1.1346018524331092, 1.2466625107891123, 1.420784459298289, 1.5058763799870354]","[1.0751935447100271, 1.2108406885479774, 1.3918376513778248, 1.6622158744277458, 1.7898370271490263]","[1.4625579576505583, 2.051096998003824, 2.6463287209358315, 9.041057187951717, 8.222558703380301]",1.0200182847984984,0.9807563651179753,1.0364088188717395,0.9830108815678062,1.0498526460551003,0.985771886592661,0.7445641808772029,0.7880815633339697
num_nodes,0.06775257745582011,0.024473221234674325,0.031364788541547825,4.440892098500626e-16,0.023706887477218566,0.12088946237336656,0.19144673285771738,1.8399694676223328,"[0, 1, 2, 3, 4]","[1.0, 4.0, 5.0, 6.0, 7.0]","[1.0, 2.0, 4.0, 6.0, 6.0]","[2.0, 4.0, 6.0, 6.0, 9.0]","[1.0221514045018796, 1.0405506641190425, 1.0592018190962116, 1.0927399108374543, 1.1145912212221287]","[1.0585408074111324, 1.1328531823968937, 1.2313551028438432, 1.4441394578704763, 1.5122030858492825]","[1.0781024049968022, 1.1917247537628362, 1.3420925360199205, 1.708313955819429, 1.7939377657061268]","[1.4625579576505583, 2.3678400485975377, 2.6463287209358315, 9.041057187951717, 8.222558703380301]",1.0192453180398777,0.9866971218469393,1.0330499275166976,0.9652330199780832,1.0355104049733062,0.9531944566693911,0.95103356737798,0.7860451095567109
join_tree_diameter,-0.0007935240589828722,0.9479664465385342,0.021282194586663746,5.97336633489931e-08,0.011760538468762157,0.05989294095729556,0.043659228632860606,1.592566347474342,"[0, 1, 2, 3, 4]","[0.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 1.0, 1.0]","[1.024398704407596, 1.0485626311490566, 1.0773745371875596, 1.069816469181207, 1.0725744833517226]","[1.069130736415341, 1.2961270886627307, 1.3731759338836365, 1.350026870795122, 1.341645774347062]","[1.0887508131968193, 1.5058932253220574, 1.5126825266518944, 1.5522612309267534, 1.4985246857950874]","[1.4625579576505583, 3.662286730910437, 9.041057187951717, 4.738867810635625, 8.222558703380301]",1.0325369787742793,0.6955456801679337,1.1662353983006986,0.579226283790261,1.3872356667212118,0.3183637871542472,1.7948570348804658,0.5011594951348726
num_blocking_ops,-0.0071124128553563684,0.27135895696122403,0.0031369797275470233,0.4309890759390833,0.0011796110432646752,0.0036085685695890998,0.001744771143213941,-0.18141352756593326,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.0]","[1.0499358792060547, 1.045497929491214, 1.0541363424455388, 1.0548179253938408, 1.0525615526594978]","[1.2776182538673686, 1.2577290820281029, 1.3350841263937498, 1.3220266183069447, 1.263512427324912]","[1.4538015161415647, 1.4070644587825782, 1.4966353669494599, 1.4926861708025683, 1.4197145768213026]","[4.738867810635625, 8.222558703380301, 3.056625772419204, 9.041057187951717, 3.662286730910437]",1.0495857494405108,0.3290950056299946,1.2830456774281809,0.025443864374190772,1.4504908807882866,0.004548527352040366,6.011202864085896,0.003690243332267862
num_nested_loop,0.006095049948252144,0.551847935846737,0.020643362621720545,1.5825549137815642e-07,0.014680910927924111,0.0795088171388438,0.1185396142246399,1.7922001572138966,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 1.0, 2.0, 2.0]","[1.0360294100089738, 1.037054987599389, 1.0460743258617298, 1.0690859937144928, 1.093418466361459]","[1.170345114566128, 1.1868839439272871, 1.2608070224980317, 1.3478869940833182, 1.4873878024836624]","[1.3003974051294374, 1.2896673931707412, 1.3950909975855386, 1.5225243058682547, 1.7766672677257527]","[2.759985785464641, 2.8625380411160077, 4.366517579043861, 8.222558703380301, 9.041057187951717]",1.0271126911664694,0.8879738069667963,1.131644554463719,0.9281116495333775,1.2197902847903652,0.8629231674948455,1.8661324584847,0.9000374481496269
max_est_join_input_rows,-0.013065533181787275,0.5497598979796035,0.0011671863238235302,0.769518204592462,0.012827592774647113,0.08061813995480818,0.12104101281563184,1.2205579249340948,"[0, 1, 2, 3, 4]","[0.0, 28.0, 14883.0, 519067.0, 4300175.0]","[0.0, 0.0, 1343.0, 128721.0, 984845.0]","[0.0, 1341.0, 128684.0, 977324.0, 36239448.0]","[1.0242894057906005, 1.0401809033874596, 1.0842502759938826, 1.0915640812760437, 1.0627357920871376]","[1.0675760268052144, 1.15243406122809, 1.441006571347142, 1.3965782510799292, 1.3485948423929597]","[1.0853210034217091, 1.2415523360700889, 1.7048822692460304, 1.6105858173530099, 1.5060099292342581]","[1.2752666639536634, 2.389329798918736, 4.738867810635625, 9.041057187951717, 3.662286730910437]",1.0349489071801137,0.5050449693252732,1.0991489653740918,0.5948281645751383,1.1524478607073467,0.5231227952644553,1.5805978734672446,0.3569388785104375
