metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,-0.041180851702083826,,0.04943938906923172,1.5587531265737198e-13,0.03182159494456894,0.21061472803676878,0.31550548841823634,1.3851227183615389,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 3.0, 3.0]","[1.0, 1.0, 2.0, 3.0, 3.0]","[1.0, 2.0, 3.0, 3.0, 3.0]","[1.0193074868334109, 1.040292159629609, 1.0830487917176153, 1.1328611823007027, 1.1456556753414793]","[1.0671686887813294, 1.260208137872493, 1.5251929872567094, 1.8728359233596503, 1.8758349447265965]","[1.0903835632799883, 1.400529561845036, 1.7636193601664287, 2.334254352842408, 2.3222687734606984]","[1.484093486406706, 2.092740857671936, 5.593175025241432, 11.60624429728672, 5.709891659603622]",1.019027448513755,0.9634088833607086,1.0742562097471688,0.9407795592649939,1.1027122369976003,0.9308787636811618,1.7042435599259647,0.4192609275134431
num_columns,0.007700320761220415,0.8205986234568883,0.04642619719863975,4.867661829166536e-12,0.03597824340402495,0.21887902575265075,0.3571192127091217,2.563265240071099,"[0, 1, 2, 3, 4]","[5.0, 15.0, 19.0, 22.0, 24.0]","[3.0, 7.0, 17.0, 20.0, 22.0]","[7.0, 17.0, 20.0, 22.0, 24.0]","[1.0178263451962257, 1.0403152722309787, 1.0907254099976829, 1.1283862835697034, 1.1580422474308936]","[1.0614647953976921, 1.1939536288349417, 1.5456747547069996, 1.8772344982968812, 1.8511176332454469]","[1.0803938570061067, 1.28718100424792, 1.8880866976016082, 2.3692211687146, 2.3525909425763856]","[1.484093486406706, 2.117648734590212, 5.709891659603622, 7.506199579970271, 11.60624429728672]",1.0168467032407644,0.9867867204844452,1.053372060152363,0.9219778513180135,1.0702088355095294,0.9268915158126922,0.5582852186625133,0.9556694562484729
num_joins,-0.04118085170209405,,0.049439389069231746,1.5587531265737198e-13,0.03182159494456894,0.21061472803676878,0.31550548841823634,1.3851227183615389,"[0, 1, 2, 3, 4]","[0.0, 1.0, 1.0, 2.0, 2.0]","[0.0, 0.0, 1.0, 2.0, 2.0]","[0.0, 1.0, 2.0, 2.0, 2.0]","[1.0193074868334109, 1.040292159629609, 1.0830487917176153, 1.1328611823007027, 1.1456556753414793]","[1.0671686887813294, 1.260208137872493, 1.5251929872567094, 1.8728359233596503, 1.8758349447265965]","[1.0903835632799883, 1.400529561845036, 1.7636193601664287, 2.334254352842408, 2.3222687734606984]","[1.484093486406706, 2.092740857671936, 5.593175025241432, 11.60624429728672, 5.709891659603622]",1.019027448513755,0.9634088833607086,1.0742562097471688,0.9407795592649939,1.1027122369976003,0.9308787636811618,1.7042435599259647,0.4192609275134431
num_filters,0.01658013892502431,0.078468818502621,0.05408804818070808,8.881784197001252e-16,0.03813701980447088,0.19436903078900306,0.27655408065775894,1.4667928879909933,"[0, 1, 2, 3, 4]","[1.0, 1.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 2.0, 3.0]","[1.0, 1.0, 2.0, 3.0, 4.0]","[1.0292351506691508, 1.0291071913865175, 1.0803756332201442, 1.0901397053802269, 1.1884305144220453]","[1.1958580282674225, 1.1742919846567308, 1.5809328559744604, 1.5635544959412493, 1.9730730245684625]","[1.3898476580142356, 1.3473026377943889, 1.9737488239193675, 1.8987776723755694, 2.496883057946609]","[2.7512667411899003, 5.593175025241432, 11.60624429728672, 6.3135122260063286, 9.501115109897173]",1.0075730218437462,0.8483901564655687,1.108804058553474,0.8726139656729054,1.2682037674047542,0.8531410955004444,3.503868551972602,0.36859814378099864
longest_path_len,-0.013961204243547068,0.5253018640212734,0.05724234731854112,0.0,0.03351207541402106,0.22640558713804157,0.3564852913540838,1.6630817071603035,"[0, 1, 2, 3, 4]","[1.0, 3.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 4.0]","[2.0, 3.0, 4.0, 4.0, 7.0]","[1.0166397360254744, 1.0459431925904714, 1.0798529053099788, 1.1014061502482382, 1.2138748008895814]","[1.0555099108632973, 1.2859274515480839, 1.4698829648208298, 1.5899877765648982, 2.083702381795989]","[1.0746379106465864, 1.434541214861508, 1.7548655738048093, 2.023540426240023, 2.64849143054275]","[1.4538610059494637, 2.978091633019239, 5.593175025241432, 11.60624429728672, 7.506199579970271]",1.013966557509341,0.8025304197201177,1.044034492974221,0.9379060021643912,1.0648629601820763,0.9734880759774556,1.6809684375507083,0.5972987681623634
num_nodes,0.1355284176153725,0.007309123590210964,0.05531227876062453,2.220446049250313e-16,0.04301297950699848,0.2397603008962332,0.3885094846136689,1.6831125759315122,"[0, 1, 2, 3, 4]","[1.0, 4.0, 5.0, 6.0, 7.0]","[1.0, 2.0, 4.0, 6.0, 6.0]","[2.0, 4.0, 6.0, 6.0, 9.0]","[1.0166397360254744, 1.0432672742037437, 1.0878292750601104, 1.1003664791410643, 1.2145445645362938]","[1.0553939496140354, 1.2408368705442034, 1.4459675122250315, 1.688638464400143, 2.0890990971453243]","[1.074724828819971, 1.37604102975746, 1.6472596207045695, 2.1136055930020903, 2.64849143054275]","[1.4538610059494637, 3.056487437987484, 5.593175025241432, 11.60624429728672, 7.506199579970271]",1.0062323824986639,0.8835428809405401,1.0127057661401329,0.9696326010127978,1.0014686383817035,0.977791354843559,1.6847287110021136,0.6034386256420556
join_tree_diameter,-0.0023364173284772614,0.9088003530373778,0.03767819251467827,2.727721737372235e-08,0.018908326667823962,0.12311916033934969,0.20118945610356798,1.163886380771057,"[0, 1, 2, 3, 4]","[0.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 1.0, 1.0]","[1.0193951670750447, 1.0576857464516896, 1.1073389905335302, 1.098795860154789, 1.0933817629776637]","[1.0682535453080244, 1.4918404504979537, 1.7269667318183817, 1.6322861997771785, 1.6136283201006185]","[1.0935064365681957, 1.8202182930881883, 2.1573645251557547, 2.013432573440129, 2.0028481940420146]","[1.484093486406706, 6.3135122260063286, 11.60624429728672, 9.501115109897173, 5.709891659603622]",1.0339998853039112,0.6578958052936759,1.2536259514206691,0.5643903833451658,1.4127755661596637,0.5681244986192076,4.317037110222077,0.21932151994798177
num_blocking_ops,-0.012584543266128293,0.2459528419842918,0.006696124144486614,0.33139874856856966,0.0036426340693569335,0.0049281119695217205,-0.0006015758784870483,0.5974344798241147,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.0]","[1.0552093545887948, 1.0607308009996166, 1.062538523233349, 1.0633650589362975, 1.0699048624420116]","[1.4933581621626697, 1.516226455722811, 1.6038402049684204, 1.548812951160548, 1.5017054684824116]","[1.7879868962200838, 1.887055436485498, 1.9877209012441066, 1.8880866976016082, 1.7844641213737868]","[5.593175025241432, 9.501115109897173, 6.166955169103076, 11.60624429728672, 7.72235517100486]",1.0552630788564223,0.8986613633840073,1.513215790969672,-0.028295381089660454,1.8588371016481402,-0.01548341311228807,6.845294113698474,0.16397213837467373
num_nested_loop,0.0032782438632995865,0.8486943456616256,0.02506648730958931,0.00024830251689755833,0.01797400985316167,0.12157521386778644,0.18625615239810672,1.466954742784107,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 1.0, 2.0, 2.0]","[1.038381475761769, 1.0369853213757025, 1.0588789935111085, 1.0987128278546563, 1.0989524298993534]","[1.2953500751364524, 1.338259548615135, 1.542256546467759, 1.7761878072665733, 1.7456462934412653]","[1.4939692165860583, 1.5632556175045589, 1.8735280149817877, 2.1510799768771225, 2.1714672519739615]","[5.493116208229568, 5.593175025241432, 7.506199579970271, 6.3135122260063286, 11.60624429728672]",1.0298082523379326,0.8768120710348312,1.2846011870581,0.890902768662356,1.4738091952779786,0.9335720573243877,4.713175123172467,0.6166381532433495
max_est_join_input_rows,-0.021611999070269623,0.5553139255925372,0.006467711504152924,0.3479942193594412,0.027865759061483333,0.1949440996494023,0.3274888176437005,1.821886600351248,"[0, 1, 2, 3, 4]","[0.0, 28.0, 14883.0, 519067.0, 4300175.0]","[0.0, 0.0, 1343.0, 128721.0, 984845.0]","[0.0, 1341.0, 128684.0, 977324.0, 36239448.0]","[1.0192622075788458, 1.0339081715044316, 1.1528182167882783, 1.1576025481552612, 1.0967439197539646]","[1.0668828448525323, 1.1197521934273902, 1.7796926477048325, 1.8225501432877103, 1.6902054191335478]","[1.0912680220839035, 1.1886625625071015, 2.1133941544000603, 2.27821753946551, 2.1839381944372853]","[1.484093486406706, 1.7108528270271015, 7.72235517100486, 11.60624429728672, 6.166955169103076]",1.0345809921085438,0.4643141489924548,1.0889947206493151,0.6876917379586116,1.1035093990083016,0.7961074831482962,1.8859640471966368,0.5046321699501952
