metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,-0.0371363711739097,,0.045587675618387426,3.574918139293004e-14,0.03305599079296118,0.20476676776639663,0.2583058512187829,1.589507117011363,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 3.0, 3.0]","[1.0, 1.0, 2.0, 3.0, 3.0]","[1.0, 2.0, 3.0, 3.0, 3.0]","[1.021478806330692, 1.0438862275416199, 1.0782874715234367, 1.1252235013438627, 1.1474555569829867]","[1.0711704150462869, 1.2799415656321054, 1.484330643907361, 1.7013064362816104, 1.7098563803057858]","[1.1075286446574029, 1.4040079215671515, 1.7832838132336013, 2.028048532943172, 2.0728451891700397]","[1.6802107143704808, 2.404156600364885, 5.5521188636349565, 9.41446980847704, 7.051699951859387]",1.0166081469402772,0.9851068984899971,1.0737141044223049,0.8894208614016265,1.1653698721199335,0.9456407850186678,1.669899725898676,0.7341894756753987
num_columns,0.0034717115533421045,0.910328639769828,0.04291025146121319,1.1262102361797588e-12,0.03399551327870625,0.18156967517557374,0.2793486377345473,2.2190879013391016,"[0, 1, 2, 3, 4]","[5.0, 15.0, 19.0, 22.0, 24.0]","[3.0, 7.0, 17.0, 20.0, 22.0]","[7.0, 17.0, 20.0, 22.0, 24.0]","[1.0206198545663256, 1.044696030734087, 1.088819967228793, 1.1248068880243074, 1.154598842972773]","[1.0620792896449123, 1.2037268134834542, 1.4850212738834283, 1.7045827566718303, 1.726308141523876]","[1.086727939302653, 1.3559413355143397, 1.7425999234349638, 2.1430080523330974, 2.028048532943172]","[1.6802107143704808, 2.518149703403369, 7.051699951859387, 9.240727935597738, 9.41446980847704]",1.0200218971671593,0.9919901424383217,1.0704811279973907,0.9489419833231716,1.1157409213022889,0.8933646902447574,1.5428757412194185,0.9111069808589978
num_joins,-0.0371363711739181,,0.04558767561838744,3.574918139293004e-14,0.03305599079296118,0.20476676776639663,0.2583058512187829,1.589507117011363,"[0, 1, 2, 3, 4]","[0.0, 1.0, 1.0, 2.0, 2.0]","[0.0, 0.0, 1.0, 2.0, 2.0]","[0.0, 1.0, 2.0, 2.0, 2.0]","[1.021478806330692, 1.0438862275416199, 1.0782874715234367, 1.1252235013438627, 1.1474555569829867]","[1.0711704150462869, 1.2799415656321054, 1.484330643907361, 1.7013064362816104, 1.7098563803057858]","[1.1075286446574029, 1.4040079215671515, 1.7832838132336013, 2.028048532943172, 2.0728451891700397]","[1.6802107143704808, 2.404156600364885, 5.5521188636349565, 9.41446980847704, 7.051699951859387]",1.0166081469402772,0.9851068984899971,1.0737141044223049,0.8894208614016265,1.1653698721199335,0.9456407850186678,1.669899725898676,0.7341894756753987
num_filters,0.015723369120468594,0.06604390510103442,0.04796074370314347,1.9984014443252818e-15,0.0340896247551715,0.1606007001571129,0.21138391329290482,1.605051327736489,"[0, 1, 2, 3, 4]","[1.0, 1.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 2.0, 3.0]","[1.0, 1.0, 2.0, 3.0, 4.0]","[1.0300987073725836, 1.0314088848925147, 1.079645402029125, 1.0988496156445402, 1.1668261804073072]","[1.1712668577251881, 1.1695138873565707, 1.4856777459792048, 1.536582668357549, 1.8059944133524224]","[1.2949958718384398, 1.316792083289852, 1.8272837423047184, 1.7220878613077084, 2.1492684824435413]","[2.862964761592546, 4.055719064712262, 9.41446980847704, 7.361605411209086, 9.240727935597738]",1.013186607338996,0.912442614168792,1.1187089073102268,0.9207950924902634,1.2393177578745034,0.8556395509796927,2.7433129528141382,0.6624154617759017
longest_path_len,0.003375371363332026,0.8656660154259308,0.05368288839964121,0.0,0.02936464717704125,0.1926375752470006,0.2923069929086932,2.000038364126256,"[0, 1, 2, 3, 4]","[1.0, 3.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 4.0]","[2.0, 3.0, 4.0, 4.0, 7.0]","[1.019656420433475, 1.0482651783547006, 1.0763929718435286, 1.104509376117667, 1.2057457538370095]","[1.0580468583961153, 1.2524102989571837, 1.4267844497232227, 1.506919618287951, 1.9027064403199927]","[1.081964662398156, 1.3685124198748806, 1.7032915125972092, 1.7845892269723296, 2.252084991255697]","[1.4548069854702543, 3.225385550578161, 5.5521188636349565, 9.41446980847704, 9.240727935597738]",1.0190933891619562,0.7657383564023111,1.0531096206935358,0.9452662888069869,1.0803423997802788,0.9600943206487667,1.4253240406499244,0.9198099444391621
num_nodes,0.10060771481769415,0.028256001029957734,0.051679919102090716,0.0,0.03896151068729667,0.198629111766988,0.29195448505554694,2.1128625337361706,"[0, 1, 2, 3, 4]","[1.0, 4.0, 5.0, 6.0, 7.0]","[1.0, 2.0, 4.0, 6.0, 6.0]","[2.0, 4.0, 6.0, 6.0, 9.0]","[1.0194461122061615, 1.0478361422390705, 1.087796497170594, 1.0983191783485806, 1.203701995469809]","[1.056767784380704, 1.241754243686641, 1.3773229543310175, 1.5803264748764794, 1.9028774317016737]","[1.0849385478012554, 1.3812282447792914, 1.5852563611963644, 1.9729516300069831, 2.252084991255697]","[1.508437641534197, 2.398557832912145, 4.625777552986961, 9.41446980847704, 9.240727935597738]",1.0127314068555229,0.8844755172444982,1.0301015954144157,0.9726368915314308,1.0861597867233561,0.9915034317440682,0.9415201175242424,0.898882883059579
join_tree_diameter,0.0015218127684750282,0.9344965234083611,0.03559055529809458,4.787571672437707e-09,0.02032226818443997,0.12556211604357415,0.1721579625636728,0.19929312536696797,"[0, 1, 2, 3, 4]","[0.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 1.0, 1.0]","[1.0218792546141764, 1.0572971317324176, 1.101915682493196, 1.0958238618811942, 1.1042272388862124]","[1.0719410632761541, 1.3773212000487884, 1.6227082783125373, 1.5939178618399754, 1.59145419349615]","[1.1114701189815344, 1.5776702008927956, 2.0032139939893976, 1.9036341836830823, 1.8092794732342352]","[1.6802107143704808, 9.240727935597738, 9.41446980847704, 7.091650210952111, 7.051699951859387]",1.031946645685691,0.7906245397946288,1.189513071852362,0.7180456154212563,1.3136103294524324,0.5817373372100949,7.157257628544363,0.021725415588612185
num_blocking_ops,-0.00701128804267719,0.47641921232187046,0.008424092413750629,0.17292649703626695,0.0019059017633880771,-0.009361295460204363,-0.04025923902296166,0.9879493666826048,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.0]","[1.0609918547902397, 1.0597865348905704, 1.062235958340219, 1.063998344218179, 1.0684154613985077]","[1.4713933468103197, 1.4513760505260997, 1.5540101505012351, 1.489831065846627, 1.4053591928155453]","[1.8070290676993368, 1.7319084840086134, 1.7445956545239474, 1.7951659728897058, 1.6116970027099062]","[5.342467467969985, 7.091650210952111, 7.331706496200431, 9.41446980847704, 9.240727935597738]",1.0592738264374666,0.8031090409653395,1.4845689553104136,0.04301060685940816,1.8035606287487482,0.3749545769378393,5.660343117865636,0.8986575504291197
num_nested_loop,0.006195558961729292,0.6912397498412792,0.021206373833074162,0.0005478719276841293,0.013753738739301056,0.08379423504615989,0.16786308095096808,1.5477852031097856,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 1.0, 2.0, 2.0]","[1.0394304429950556, 1.0407587658857391, 1.0653133294439223, 1.0958275143918883, 1.0929736675720667]","[1.2956647539089488, 1.282277080526378, 1.465632619351597, 1.6845546710456256, 1.608038987366733]","[1.4254218179052378, 1.4739035931040105, 1.7888731791210823, 1.9894454637036634, 2.0118594157864376]","[3.456949378867536, 4.055719064712262, 6.5769189529144425, 9.240727935597738, 9.41446980847704]",1.0383984773328776,0.8671602858601657,1.2888569788084752,0.7752069732450635,1.4041315239134695,0.9246834487555051,3.387212170123367,0.9270609902322188
max_est_join_input_rows,-0.023879473148025483,0.47284051892709567,0.006099636054089239,0.3237215914918683,0.0271287576552024,0.163137279725403,0.24482487754673085,2.2447836758329,"[0, 1, 2, 3, 4]","[0.0, 28.0, 14883.0, 519067.0, 4300175.0]","[0.0, 0.0, 1343.0, 128721.0, 984845.0]","[0.0, 1341.0, 128684.0, 977324.0, 36239448.0]","[1.0214885474575262, 1.0330747077771207, 1.1388165962536942, 1.1607018361104022, 1.0933187330486125]","[1.0711704150462869, 1.117063013376823, 1.684716803417154, 1.7122792189776197, 1.5892498560215977]","[1.1094757247267544, 1.1978023136173703, 2.071358954201308, 2.0594467105019447, 1.902779955563131]","[1.6802107143704808, 1.6875335769021795, 6.375778613978815, 9.41446980847704, 9.240727935597738]",1.0352225767701964,0.4802163849014859,1.092967003072426,0.6681440735031788,1.1428977298463119,0.6559648347930939,1.270154862295437,0.8832752746624354
