metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,-0.031186989620271267,,0.04112099750231183,3.574918139293004e-14,0.028265823885755808,0.16529426345416898,0.2570554332231929,1.6025170355315363,"[0, 1, 2, 3, 4]","[1.0, 2.0, 2.0, 3.0, 3.0]","[1.0, 1.0, 2.0, 3.0, 3.0]","[1.0, 2.0, 3.0, 3.0, 3.0]","[1.0217283325238997, 1.041174419873071, 1.0734921034127523, 1.1171462182574023, 1.130474361388203]","[1.0682443007662858, 1.2305749186314914, 1.4272430629370367, 1.6757841324760496, 1.6811437215199607]","[1.0944134378405772, 1.3463251652269659, 1.6578447435401404, 2.022956594331682, 2.0366453972063714]","[1.4798569549102834, 2.1826648186802147, 5.170603822640083, 10.020590431238492, 6.994716771614438]",1.0186999426474945,0.9735101020127339,1.076726507643386,0.9506639738467174,1.1091388373667976,0.9530408202544132,1.3961810092847171,0.6715710900720319
num_columns,0.0005829576438995846,0.7908337027604223,0.03837817814809328,1.1262102361797588e-12,0.02949190211581319,0.17341831940091545,0.26699283894919273,2.146529396566908,"[0, 1, 2, 3, 4]","[5.0, 15.0, 19.0, 22.0, 24.0]","[3.0, 7.0, 17.0, 20.0, 22.0]","[7.0, 17.0, 20.0, 22.0, 24.0]","[1.0210232517124516, 1.040443227114959, 1.080026819541131, 1.1148300213452382, 1.1388013945775846]","[1.063909125234119, 1.1770733870529402, 1.4340044641026983, 1.6615121276301874, 1.7024922468233008]","[1.0842132069199655, 1.2768403003570932, 1.6788109188193008, 2.040938346133569, 2.066801893600021]","[1.5422873861425817, 2.078192729990717, 5.309865965121265, 7.161931775401212, 10.020590431238492]",1.0209666839712694,0.9866761783796374,1.0554778198839174,0.9588860196853077,1.0836662077026202,0.9479837035464198,1.0445079719424721,0.9652968718800954
num_joins,-0.031186989620277158,,0.04112099750231187,3.574918139293004e-14,0.028265823885755808,0.16529426345416898,0.2570554332231929,1.6025170355315363,"[0, 1, 2, 3, 4]","[0.0, 1.0, 1.0, 2.0, 2.0]","[0.0, 0.0, 1.0, 2.0, 2.0]","[0.0, 1.0, 2.0, 2.0, 2.0]","[1.0217283325238997, 1.041174419873071, 1.0734921034127523, 1.1171462182574023, 1.130474361388203]","[1.0682443007662858, 1.2305749186314914, 1.4272430629370367, 1.6757841324760496, 1.6811437215199607]","[1.0944134378405772, 1.3463251652269659, 1.6578447435401404, 2.022956594331682, 2.0366453972063714]","[1.4798569549102834, 2.1826648186802147, 5.170603822640083, 10.020590431238492, 6.994716771614438]",1.0186999426474945,0.9735101020127339,1.076726507643386,0.9506639738467174,1.1091388373667976,0.9530408202544132,1.3961810092847171,0.6715710900720319
num_filters,0.015888797224678407,0.05025441900183073,0.04493962417942402,0.0,0.03121942235046727,0.15600413863939463,0.22190348242890184,1.243259975205387,"[0, 1, 2, 3, 4]","[1.0, 1.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 2.0, 3.0]","[1.0, 1.0, 2.0, 3.0, 4.0]","[1.0300273262683985, 1.030118102740562, 1.0736343908978132, 1.0868292368074142, 1.1577689002989453]","[1.1581736763334762, 1.1502217568877686, 1.4534228458283713, 1.4764747943508834, 1.7750684753759127]","[1.2814046144880042, 1.2769893926775981, 1.7597271936769436, 1.6997014578766194, 2.179567391509807]","[2.608119944758467, 4.0408570693209045, 10.020590431238492, 6.13799514928368, 7.7027868748462565]",1.0132367475123665,0.8838679230073967,1.0906640500182372,0.9006747674504959,1.1956710124730414,0.8647957099458508,2.711817960416646,0.3202923960576518
longest_path_len,-0.006049160129929294,0.6516162261494124,0.04776533095371377,0.0,0.028259239967252908,0.16643400639081762,0.2771455979149908,1.7891354735245661,"[0, 1, 2, 3, 4]","[1.0, 3.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 4.0]","[2.0, 3.0, 4.0, 4.0, 7.0]","[1.0194597968994676, 1.045224872842861, 1.071162394863525, 1.099799395269618, 1.1773020362104922]","[1.0569688110714948, 1.224313200979459, 1.3811099751110547, 1.5058972847170462, 1.8307617340343392]","[1.0772653725849233, 1.337964774428122, 1.616664912593281, 1.8234485092133659, 2.2301378163158243]","[1.457075316356759, 2.751524727200408, 4.597207536604073, 10.020590431238492, 8.32316207298277]",1.0173045809122185,0.8496255423898653,1.0543632285523552,0.9578069048142304,1.066819401000546,0.9888831552721111,1.2296723458600123,0.7760281004776839
num_nodes,0.1012962366296289,0.02001278195161434,0.046118995468087697,0.0,0.033534865083889163,0.1921536411097088,0.2919790705615826,1.8174792407468758,"[0, 1, 2, 3, 4]","[1.0, 4.0, 5.0, 6.0, 7.0]","[1.0, 2.0, 4.0, 6.0, 6.0]","[2.0, 4.0, 6.0, 6.0, 9.0]","[1.0194124175778385, 1.043884693520619, 1.0782758637756387, 1.0971418561090331, 1.177612593742744]","[1.0569008471352905, 1.2051480988759127, 1.3515485231332975, 1.571034799049033, 1.8347265382320934]","[1.0792552605393428, 1.316331342766529, 1.5248695059736181, 1.9316237262761675, 2.2315047291681913]","[1.4749522017114065, 2.607628439832389, 4.288427099721408, 10.020590431238492, 8.32316207298277]",1.0136561779776208,0.916444939195211,1.0204668305384257,0.9814720414047279,1.0475384901817797,0.9846912702664873,1.1210892360560294,0.7728120229495691
join_tree_diameter,-0.0005360428729950351,0.9304211076614243,0.031516980799812196,4.787571672437707e-09,0.01699704241750233,0.10285831173381006,0.15331490732518196,1.1609697226163902,"[0, 1, 2, 3, 4]","[0.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 1.0, 1.0]","[1.0218910420322722, 1.0545151697777213, 1.0955430700714286, 1.0881453970723969, 1.090061161738533]","[1.0697751149998398, 1.388429579736491, 1.5742836480048517, 1.525410310804092, 1.5155760959812767]","[1.0979091229155165, 1.6345939064343469, 1.891087015265682, 1.8231093293499885, 1.770217451023779]","[1.5422873861425817, 6.4055089641715, 10.020590431238492, 7.110544377161637, 6.994716771614438]",1.0328006592753063,0.7202475670047144,1.2044720944449063,0.6307878096166433,1.3367529004897496,0.5769997598674774,3.763818251210991,0.34442565894190413
num_blocking_ops,-0.008902748054720617,0.3312436704224621,0.006085732095261423,0.31177144051463995,0.002078489417630722,-0.0002748924170022494,-0.010532434693210203,0.46663659001226954,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.0]","[1.0553790295283632, 1.0553384217938002, 1.0596369413397022, 1.0607271095161057, 1.0636272921666723]","[1.4141232542801194, 1.4084438627590046, 1.4976448272878018, 1.4535568784380402, 1.3901923628742896]","[1.6829391600203285, 1.6753427930922298, 1.742983974239171, 1.7253129470979607, 1.6052919003016652]","[5.224836767949014, 8.271774674743194, 5.518429145907571, 10.020590431238492, 6.875123279171011]",1.055004839525688,0.926533109245349,1.4265813464764407,-0.03080933317019041,1.7074390237602852,0.09706440199680844,6.172240547814909,0.15721549577097838
num_nested_loop,0.005189617591093674,0.6972606771165473,0.02230540792146134,1.5825549137815642e-07,0.01639445577322512,0.09446030152202693,0.14948457513119467,1.8003936046975542,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 1.0, 2.0, 2.0]","[1.0379471095885995, 1.0382663582869436, 1.056755549605587, 1.0878754453203456, 1.0951148546109597]","[1.2537866478705098, 1.2691401910229334, 1.4228987294391293, 1.6028764907985058, 1.6136910277638867]","[1.4065961465402446, 1.4422755345931035, 1.6858307305628026, 1.8876832488163469, 1.9866646451620504]","[3.9033504575205815, 4.170477377023234, 6.149878703976192, 7.925599621661455, 10.020590431238492]",1.0304029518243327,0.917845281196988,1.2412048944904497,0.9104774985226775,1.3940613671187552,0.9533134293773246,2.6317538001841747,0.9348670747324415
max_est_join_input_rows,-0.01951900180002746,0.5259714474997454,0.004578177960688564,0.48041133848125717,0.022607396101312988,0.14623314509821808,0.23111826465753535,1.6414910507394502,"[0, 1, 2, 3, 4]","[0.0, 28.0, 14883.0, 519067.0, 4300175.0]","[0.0, 0.0, 1343.0, 128721.0, 984845.0]","[0.0, 1341.0, 128684.0, 977324.0, 36239448.0]","[1.0216800536089907, 1.0357212608896706, 1.1252950296786184, 1.1366228218472358, 1.0842661482965716]","[1.068543095568011, 1.1297497560107679, 1.6351386741563763, 1.6438025377817531, 1.542683372516035]","[1.0953549167441223, 1.2093390707315201, 1.9632117926157993, 1.9827500224401549, 1.864242693078225]","[1.4798569549102834, 1.9292387342826725, 6.279000531873099, 10.020590431238492, 6.3566566118704175]",1.035502191004943,0.48056613073620447,1.0932240723185311,0.667390310686836,1.1313456515922866,0.7037408308410638,1.6441273905068619,0.621179916547208
