metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,0.3060027612798862,0.7710056661753846,0.015165230007404957,0.5924074258320897,0.012213580565605578,0.005120292951852071,0.010294142777494747,-0.1781993191115802,"[0, 1, 2, 3, 4]","[3.0, 4.0, 5.0, 6.0, 9.0]","[2.0, 3.0, 5.0, 6.0, 7.0]","[3.0, 5.0, 6.0, 6.0, 14.0]","[1.0473949120550727, 1.0444838264769194, 1.0769390711165485, 1.0891913812045657, 1.0886986459208403]","[1.2505335145160033, 1.419621364617731, 1.316313601811083, 1.4423382339513917, 1.26477660435146]","[1.397028734079068, 1.5031140546390516, 1.8674455897909323, 1.743422551233361, 1.3283452788854582]","[2.360340468661127, 1.6141009834328195, 4.383055639420177, 1.8380715078568108, 1.6254466785023634]",1.0459502544569437,0.8374179567897584,1.3284760723070757,0.00844955222283661,1.5364543180922734,0.0022402426666219277,2.3570844798226056,-0.09783288718887695
num_columns,0.24341518490395828,0.8607476430081689,-0.003232769804232721,0.9091739586505603,0.00027506492006469836,-0.005165868817520966,0.011457575989474025,0.42935263080509023,"[0, 1, 2, 3, 4]","[62.0, 88.0, 90.0, 147.0, 236.0]","[51.0, 62.0, 88.0, 103.0, 217.0]","[62.0, 88.0, 97.0, 199.0, 383.0]","[1.07090186089886, 1.0690107192203036, 1.0530362302164098, 1.0598684137280145, 1.0768482874779837]","[1.3414823967172134, 1.354511121722299, 1.419621364617731, 1.2589934435047474, 1.3324971655975624]","[1.5175627241611127, 1.5298649846387966, 1.532381291241087, 1.2908303283969311, 1.809259212460445]","[1.8319295244507217, 1.8965041887056504, 2.360340468661127, 1.7059961102639656, 4.383055639420177]",1.0661206833005563,-0.005511988669724577,1.3514400539826086,0.06877948427698988,1.515145432831195,0.048506622773264785,1.600238801116443,0.47568303487799146
num_joins,-0.4868127804919683,0.6650898213924004,0.017854018051230353,0.5257439563025166,0.016148608067139764,0.11389137093189576,0.10029752724774514,0.1935893255183835,"[0, 1, 2, 3, 4]","[2.0, 3.0, 4.0, 5.0, 7.0]","[0.0, 2.0, 4.0, 5.0, 6.0]","[2.0, 4.0, 5.0, 6.0, 7.0]","[1.0473949120550727, 1.0416858409942713, 1.0947586100994864, 1.0675734573375115, 1.1151545600955575]","[1.2505335145160033, 1.3211682764800363, 1.567343711227352, 1.3098584284113848, 1.7128009177129466]","[1.397028734079068, 1.4260615160344619, 1.73901224377396, 1.3356773629903136, 1.809259212460445]","[2.360340468661127, 1.6141009834328195, 1.8965041887056504, 1.4130429143611052, 4.383055639420177]",1.0410323453306052,0.6653435247607897,1.2383486354053956,0.46151322515843207,1.3769539966118827,0.21426783233235802,1.7633924530445957,0.1644119091410826
num_filters,-0.023169093389771456,0.9848780348326542,-0.00972605774914857,0.7309564459227054,0.0014046883512794078,-0.048464900772915674,0.012178973817127868,0.22190229068655365,"[0, 1, 2, 3, 4]","[2.0, 2.0, 3.0, 5.0, 6.0]","[2.0, 2.0, 3.0, 4.0, 6.0]","[2.0, 3.0, 4.0, 5.0, 16.0]","[1.05333359266715, 1.0758697798451202, 1.0723193440970424, 1.0768482874779837, 1.0598678446072725]","[1.484880253839302, 1.419621364617731, 1.3094831749817581, 1.2668953276191457, 1.4491430414003728]","[1.7447981080435604, 1.5031140546390516, 1.318918446070085, 1.495981725315409, 1.809259212460445]","[2.360340468661127, 1.8965041887056504, 1.348007589206876, 1.7059961102639656, 4.383055639420177]",1.0648383886924107,0.04489639635172382,1.45688962156756,-0.1473693601434125,1.556938378199318,0.007756660962194961,1.7313871273617059,0.18839409972474497
longest_path_len,0.05772361284005274,0.7702786598926905,0.009821883913958235,0.7280802052240687,0.003966214463803076,0.027576825370880794,0.06758439230431881,0.09903716158582108,"[0, 1, 2, 3, 4]","[8.0, 9.0, 10.0, 12.0, 15.0]","[5.0, 9.0, 9.0, 11.0, 12.0]","[9.0, 9.0, 11.0, 12.0, 17.0]","[1.05333359266715, 1.0979758605928889, 1.042258474415258, 1.095104873174141, 1.0732057168808469]","[1.2462014019107674, 1.4278274055224522, 1.274939671351856, 1.3233471367737515, 1.366516772128457]","[1.397028734079068, 1.5901550625766083, 1.4260615160344619, 1.6175427444643387, 1.6697488659712443]","[1.8319295244507217, 1.8965041887056504, 2.360340468661127, 4.383055639420177, 1.7740441847537758]",1.0646268928110383,0.055282389010638755,1.2476758769060134,-0.15278159301233218,1.403743198900438,0.5400074294383378,1.9305544737550688,-0.029088095717485274
num_nodes,-1.0452403661059655,0.8135423120529248,-0.004020498327009972,0.8870604635644961,0.0005070095766902958,-0.03735967884169248,-0.021586962505525546,-0.04996015152325646,"[0, 1, 2, 3, 4]","[12.0, 14.0, 18.0, 20.0, 48.0]","[12.0, 13.0, 16.0, 19.0, 26.0]","[13.0, 15.0, 19.0, 22.0, 61.0]","[1.0626697056047243, 1.0668872598424048, 1.0861385105675478, 1.0775605359070664, 1.0598678446072725]","[1.4210525093770043, 1.4278274055224522, 1.260744191691698, 1.7128009177129466, 1.26477660435146]","[1.444545709845031, 1.7454768254766646, 1.2940712136529002, 1.8058811215870958, 1.3283452788854582]","[1.6141009834328195, 2.360340468661127, 4.383055639420177, 1.8380715078568108, 1.6254466785023634]",1.068464034157878,-0.008313064749278176,1.4334850403819617,-0.21528375957570933,1.5580629190516715,0.01053590085034195,2.0789246116715057,-0.13128207155317217
join_tree_diameter,0.20139931725903487,0.8836274124093841,0.011214614409449418,0.6923670134660118,0.005420178901793231,-0.02879686082406269,-0.060264610452612714,-0.026958157559540726,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 2.0]","[0.0, 1.0, 1.0, 1.0, 2.0]","[1.0, 1.0, 1.0, 2.0, 2.0]","[1.0626697056047243, 1.0527804315192992, 1.0585026743111385, 1.106439822134829, 1.075274803595215]","[1.3414823967172134, 1.6300953035649153, 1.2769555195003226, 1.3387728631989078, 1.232291017411532]","[1.5175627241611127, 2.0965071409028173, 1.3575509944832431, 1.5005990883193931, 1.2908155782792994]","[1.8965041887056504, 4.383055639420177, 1.8380715078568108, 1.7059961102639656, 1.8319295244507217]",1.0553595770234652,0.23993695727275344,1.3771656105784682,0.1159206302978778,1.5837850851548367,0.12365743048558464,1.9094178428148672,-0.1868451781896785
num_blocking_ops,0.006948987301061069,0.9987850488176861,-0.008983692808992498,0.7504814319955679,-0.0071067130854395285,-0.09274173440276012,-0.13755856108365078,-0.4262787440673346,"[0, 1, 2, 3, 4]","[2.0, 2.0, 3.0, 5.0, 10.0]","[2.0, 2.0, 3.0, 4.0, 6.0]","[2.0, 3.0, 4.0, 5.0, 30.0]","[1.101802922422737, 1.0493277500869795, 1.0649599123183437, 1.0641875963741287, 1.0564821098028045]","[1.6035190977304132, 1.2864636699258127, 1.4506615990493559, 1.3233471367737515, 1.232291017411532]","[1.8475201871249003, 1.390085441908836, 1.6203411157210685, 1.3866080360652455, 1.2908155782792994]","[4.383055639420177, 1.8380715078568108, 1.7059961102639656, 2.360340468661127, 1.8319295244507217]",1.0831966682190064,0.3395424936893249,1.6027831307456688,0.4240547463562816,1.8292843565250567,0.525099104734206,3.2449146431502154,0.412285660146092
num_nested_loop,0.12518236155683307,0.9139199097099471,0.015498481236027347,0.5817296442045232,0.013203430902870242,0.04242703526750118,0.08013802166879828,0.4638383719361544,"[0, 1, 2, 3, 4]","[0.0, 2.0, 3.0, 4.0, 6.0]","[0.0, 1.0, 3.0, 4.0, 4.0]","[1.0, 2.0, 3.0, 4.0, 7.0]","[1.051935029083543, 1.0607959134645535, 1.0921370962044015, 1.049525679689128, 1.105421462407437]","[1.2510089128097814, 1.3241573272185034, 1.3233471367737515, 1.2892094319634677, 1.4491430414003728]","[1.5103667201139597, 1.4371018882288134, 1.39447933224125, 1.6406973823337385, 1.809259212460445]","[1.8319295244507217, 2.360340468661127, 1.6141009834328195, 1.8965041887056504, 4.383055639420177]",1.0507117377842043,0.2547232261204715,1.2551092560480432,0.5359129004679029,1.41337207893649,0.5550983466493096,1.489508545832845,0.419683819591236
max_est_join_input_rows,0.08037232481063694,0.9993178019040216,0.0036283074525410566,0.8980992571262358,0.0050947498060037,0.025631244956532417,0.09374818646216408,-0.17453480360889342,"[0, 1, 2, 3, 4]","[2682.0, 6321.0, 51643.0, 359937.0, 3599801.0]","[0.0, 5530.0, 10553.0, 105652.0, 1885423.0]","[5216.0, 10553.0, 104167.0, 590495.0, 28801336.0]","[1.0593283322762497, 1.0754719974706515, 1.0687216129292896, 1.0587026469677774, 1.0873365778093835]","[1.1696143851438938, 1.4847219827722087, 1.3452763957143308, 1.3098584284113848, 1.3412578795838825]","[1.3238451612477495, 1.809259212460445, 1.5236248523505476, 1.3356773629903136, 1.709960760136454]","[2.360340468661127, 4.383055639420177, 1.6254466785023634, 1.7059961102639656, 1.8965041887056504]",1.061606096369461,0.21374918515913532,1.255237146523859,-0.014506017275438099,1.3316472119587073,-0.1797049296868669,2.394863725691708,0.06576314641096703
