metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,0.1253224580219311,0.9269358862415333,0.0007483330172500378,0.9836537967662691,0.008754733766185725,0.050446446141573564,0.05931197824918086,-0.0922336819405976,"[0, 1, 2, 3, 4]","[3.0, 4.0, 5.0, 6.0, 9.0]","[2.0, 3.0, 5.0, 6.0, 7.0]","[3.0, 5.0, 6.0, 6.0, 14.0]","[1.083447461074856, 1.1285758003096, 1.1168292965675986, 1.1733822828006693, 1.1143629714344168]","[1.2198305582882087, 1.407866077969844, 1.3500754816001093, 1.5318553805301058, 1.410781363115856]","[1.4571184685875183, 1.5016135573071918, 1.7177524788010023, 1.8665575321508285, 1.4927883223885066]","[2.2768479859816497, 1.6898902047930178, 5.842395466334054, 2.1627270630693416, 1.616539483736669]",1.1019920521173197,0.24206715373443644,1.2829036240373364,0.49935037307175223,1.4995162236991277,0.12651315434942634,2.233916739690278,-0.17242451777903733
num_columns,0.06997546737285788,0.9690570301317711,0.0006449925460341494,0.9859094521013971,0.008775638539985298,0.04145191075402165,0.0830009114638354,0.46816636943721196,"[0, 1, 2, 3, 4]","[62.0, 88.0, 90.0, 147.0, 236.0]","[51.0, 62.0, 88.0, 103.0, 217.0]","[62.0, 88.0, 97.0, 199.0, 383.0]","[1.116387582188742, 1.1102005049378203, 1.1029114666442954, 1.119382911936798, 1.155674624553115]","[1.312024767417257, 1.5024504065754614, 1.4605991176313398, 1.270550449568938, 1.5372985024995245]","[1.4834144516160013, 1.5691070067078838, 1.6236222112785292, 1.351805539142586, 1.962756481199165]","[1.645539372564904, 1.7768359293578109, 2.2768479859816497, 1.9878198829814564, 5.842395466334054]",1.1033600925632618,0.46114874531207206,1.3537369786473215,-0.01900829413819194,1.4757137546675918,0.21454617865308512,1.4315748889827271,0.42267229692893027
num_joins,-0.15276596873732276,0.9167528370824558,0.016037128831598038,0.6589924668615423,0.020803394311995987,0.11216809632567946,0.12341761056254055,0.06286593249129865,"[0, 1, 2, 3, 4]","[2.0, 3.0, 4.0, 5.0, 7.0]","[0.0, 2.0, 4.0, 5.0, 6.0]","[2.0, 4.0, 5.0, 6.0, 7.0]","[1.083447461074856, 1.089753094772088, 1.1200511792499817, 1.1618509326430924, 1.1621307353344026]","[1.2198305582882087, 1.407866077969844, 1.4008086456209425, 1.4639162118310658, 1.7452951813202027]","[1.4571184685875183, 1.5016135573071918, 1.632489422592198, 1.4883954805981956, 2.0840188320297925]","[2.2768479859816497, 1.6898902047930178, 1.7768359293578109, 1.5111339792282583, 5.842395466334054]",1.0802696771188456,0.9106461762616238,1.2261468629402328,0.8473717043118768,1.4069901325853271,0.5565534425132983,1.86132089770034,-0.08753434584520337
num_filters,-0.22073823579548657,0.8895374068737412,-0.0037795639067396635,0.9175696991341247,0.002723439962186366,-0.03676848982612843,0.06514291644478944,0.3947659670110323,"[0, 1, 2, 3, 4]","[2.0, 2.0, 3.0, 5.0, 6.0]","[2.0, 2.0, 3.0, 4.0, 6.0]","[2.0, 3.0, 4.0, 5.0, 16.0]","[1.1087426187248746, 1.098946293764772, 1.1595296304663656, 1.1232648184686362, 1.1102005049378203]","[1.572679915335931, 1.407866077969844, 1.4327299477713478, 1.4683947522494007, 1.377402908679786]","[1.6721498719017722, 1.5016135573071918, 1.4883954805981956, 1.5718285676925934, 1.962756481199165]","[2.2768479859816497, 1.7768359293578109, 1.5111339792282583, 1.9878198829814564, 5.842395466334054]",1.1079119957906884,-0.06945809019272309,1.5328835975950892,0.46073888337179925,1.5090627579826628,0.279210341987268,1.5500289199999095,0.28557316596983284
longest_path_len,0.10906879451628333,0.6713358417390434,0.009192533598081127,0.8009783993631936,0.006742324855880715,0.04234497370303083,0.05574472440529803,0.1631178565182785,"[0, 1, 2, 3, 4]","[8.0, 9.0, 10.0, 12.0, 15.0]","[5.0, 9.0, 9.0, 11.0, 12.0]","[9.0, 9.0, 11.0, 12.0, 17.0]","[1.1172710109464552, 1.0936431440973662, 1.0944958744861046, 1.223033743827746, 1.1255592687248996]","[1.2988767759030153, 1.379652915828091, 1.4683947522494007, 1.5024504065754614, 1.4037272034167572]","[1.4571184685875183, 1.5616815962498292, 1.5311772499781, 1.8695101753408523, 1.672534163417202]","[1.645539372564904, 1.7768359293578109, 2.2768479859816497, 5.842395466334054, 1.9878198829814564]",1.1016075124289233,0.024522165892958525,1.335025612655245,0.3884888445339838,1.470870190798015,0.4355231855817183,1.7366253832769385,-0.06258210080522053
num_nodes,-0.6708458425872085,0.9073007879532005,-0.005708037983054413,0.875699870659536,0.01213553847286353,-0.022178025203609793,-0.046184978422535314,-0.02608219258994268,"[0, 1, 2, 3, 4]","[12.0, 14.0, 18.0, 20.0, 48.0]","[12.0, 13.0, 16.0, 19.0, 26.0]","[13.0, 15.0, 19.0, 22.0, 61.0]","[1.0813344378693237, 1.1102005049378203, 1.1207553334045024, 1.1711801948157383, 1.1070340564072803]","[1.4697134375593068, 1.379456652602776, 1.4639162118310658, 1.6528202345330865, 1.3122824096430397]","[1.5497302294104303, 1.6086185602465481, 1.4970284606451052, 1.8665575321508285, 1.3543663009151066]","[1.6898902047930178, 2.2768479859816497, 5.842395466334054, 2.1627270630693416, 1.616539483736669]",1.091961186426972,0.28373103309633374,1.4639373734096008,-0.14622908523473965,1.6018179854148458,-0.21705917341484793,2.105003788865657,-0.1757686441313835
join_tree_diameter,0.14716680972347024,0.9344313045992962,-0.0002985429685921162,0.9934783575885195,0.01317885876247611,0.01851040615312613,3.456650696539978e-05,-0.18935475605519342,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 2.0]","[0.0, 1.0, 1.0, 1.0, 2.0]","[1.0, 1.0, 1.0, 2.0, 2.0]","[1.0901071288908546, 1.1008917213820628, 1.139415881332567, 1.2002454197714556, 1.1070340564072803]","[1.3242465864400066, 1.692735983538389, 1.3194735565052975, 1.5024504065754614, 1.410781363115856]","[1.4834144516160013, 2.025522988800934, 1.4512294530682301, 1.5691070067078838, 1.4927883223885066]","[1.7768359293578109, 5.842395466334054, 2.1627270630693416, 1.9878198829814564, 1.645539372564904]",1.0969594703377241,0.21172518889454317,1.3724527230311871,-0.1275273221779576,1.5167406733657052,-0.1675847344510999,2.500094264131317,-0.029822744908361676
num_blocking_ops,0.12836654644143644,0.9827385258830925,-0.006691613375174057,0.8544324054855916,0.0052226962172973665,-0.029386383982358422,-0.08613150751557251,-0.5518128647343112,"[0, 1, 2, 3, 4]","[2.0, 2.0, 3.0, 5.0, 10.0]","[2.0, 2.0, 3.0, 4.0, 6.0]","[2.0, 3.0, 4.0, 5.0, 30.0]","[1.1082222509526556, 1.0978904763911688, 1.1492891441196058, 1.1347042648288326, 1.1159288426044214]","[1.5140487655574697, 1.3572862987078742, 1.4679902663067024, 1.5024504065754614, 1.2973490485251717]","[1.753440754513378, 1.5376876297032038, 1.6568823803176607, 1.5284556889933905, 1.3490391346873714]","[5.842395466334054, 2.1627270630693416, 1.9878198829814564, 2.2768479859816497, 1.645539372564904]",1.108092108640512,0.13860180590153426,1.4854720320468824,0.22663210641842324,1.7446188012588735,0.7172298613263206,3.6255075969823034,0.4822277720575904
num_nested_loop,0.10271182847919971,0.9456102474153762,0.020851219513633248,0.5642681284001143,0.01300253688701372,0.047311539899055684,0.07990090057690463,0.5495159627712961,"[0, 1, 2, 3, 4]","[0.0, 2.0, 3.0, 4.0, 6.0]","[0.0, 1.0, 3.0, 4.0, 4.0]","[1.0, 2.0, 3.0, 4.0, 7.0]","[1.1172710109464552, 1.096528591089065, 1.1143629714344168, 1.1030043246550219, 1.1776996538450284]","[1.3134662243603141, 1.4169803978978113, 1.4753053960267966, 1.2765096887804555, 1.5372985024995245]","[1.4990983870814047, 1.5491383767081481, 1.5067921929018597, 1.5968371097704326, 1.962756481199165]","[1.645539372564904, 2.2768479859816497, 1.6898902047930178, 1.9878198829814564, 5.842395466334054]",1.0963068337924111,0.38621120060802006,1.3424732827613004,0.024810949823316886,1.445522169588582,0.6010669629805543,1.3285166896173113,0.43704343949874513
max_est_join_input_rows,0.040228701802366706,0.999737358800006,-0.0006755119229819392,0.9852441017248272,0.0027511442154109097,-0.015755778065298803,-0.0055829615233437685,-0.1282085749433774,"[0, 1, 2, 3, 4]","[2682.0, 6321.0, 51643.0, 359937.0, 3599801.0]","[0.0, 5530.0, 10553.0, 105652.0, 1885423.0]","[5216.0, 10553.0, 104167.0, 590495.0, 28801336.0]","[1.1004619466222874, 1.1984775623633577, 1.094613112210929, 1.1618509326430924, 1.1159288426044214]","[1.427422127152047, 1.570853345150492, 1.2127880117603655, 1.4753053960267966, 1.3771628366965076]","[1.5324495552008717, 1.962756481199165, 1.4844182499994967, 1.5067921929018597, 1.5260832824322412]","[2.2768479859816497, 5.842395466334054, 1.6898902047930178, 1.9878198829814564, 1.7768359293578109]",1.122123326713922,-0.04127305443886109,1.463393647785221,0.02639195450262788,1.5348028348844056,-0.15996102460541795,2.312986982706771,-0.08732278729226506
