metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,0.0,,0.0,1.0,0.00045657341521724746,-0.002690661374326011,-0.006912163023801817,-0.01240131460125833,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0114591817345744, 1.0130860150618863, 1.0106463843830118, 1.0148085315592967, 1.0131041691722555]","[1.055982448896304, 1.0378190194037988, 1.0347567088353395, 1.0405639969845044, 1.0393248869981517]","[1.0701785106383168, 1.0618029811962049, 1.0377205536148384, 1.0477619588941538, 1.0426382099622113]","[1.1270666615167326, 1.1224536813912531, 1.1088281218742058, 1.0629067023543797, 1.0820221670978316]",1.0117888326062383,0.23461113660518218,1.0467044016220295,0.3334913204372906,1.0690852929438563,0.5777710484380987,1.1305826595547555,0.6780724395947164
num_columns,0.0,,0.0,1.0,0.00045657341521724746,-0.002690661374326011,-0.006912163023801817,-0.01240131460125833,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0114591817345744, 1.0130860150618863, 1.0106463843830118, 1.0148085315592967, 1.0131041691722555]","[1.055982448896304, 1.0378190194037988, 1.0347567088353395, 1.0405639969845044, 1.0393248869981517]","[1.0701785106383168, 1.0618029811962049, 1.0377205536148384, 1.0477619588941538, 1.0426382099622113]","[1.1270666615167326, 1.1224536813912531, 1.1088281218742058, 1.0629067023543797, 1.0820221670978316]",1.0117888326062383,0.23461113660518218,1.0467044016220295,0.3334913204372906,1.0690852929438563,0.5777710484380987,1.1305826595547555,0.6780724395947164
num_joins,0.0,,0.0,1.0,0.00045657341521724746,-0.002690661374326011,-0.006912163023801817,-0.01240131460125833,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0114591817345744, 1.0130860150618863, 1.0106463843830118, 1.0148085315592967, 1.0131041691722555]","[1.055982448896304, 1.0378190194037988, 1.0347567088353395, 1.0405639969845044, 1.0393248869981517]","[1.0701785106383168, 1.0618029811962049, 1.0377205536148384, 1.0477619588941538, 1.0426382099622113]","[1.1270666615167326, 1.1224536813912531, 1.1088281218742058, 1.0629067023543797, 1.0820221670978316]",1.0117888326062383,0.23461113660518218,1.0467044016220295,0.3334913204372906,1.0690852929438563,0.5777710484380987,1.1305826595547555,0.6780724395947164
num_filters,0.0,,0.0,1.0,0.00045657341521724746,-0.002690661374326011,-0.006912163023801817,-0.01240131460125833,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0114591817345744, 1.0130860150618863, 1.0106463843830118, 1.0148085315592967, 1.0131041691722555]","[1.055982448896304, 1.0378190194037988, 1.0347567088353395, 1.0405639969845044, 1.0393248869981517]","[1.0701785106383168, 1.0618029811962049, 1.0377205536148384, 1.0477619588941538, 1.0426382099622113]","[1.1270666615167326, 1.1224536813912531, 1.1088281218742058, 1.0629067023543797, 1.0820221670978316]",1.0117888326062383,0.23461113660518218,1.0467044016220295,0.3334913204372906,1.0690852929438563,0.5777710484380987,1.1305826595547555,0.6780724395947164
longest_path_len,0.0,,0.0,1.0,0.00045657341521724746,-0.002690661374326011,-0.006912163023801817,-0.01240131460125833,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0114591817345744, 1.0130860150618863, 1.0106463843830118, 1.0148085315592967, 1.0131041691722555]","[1.055982448896304, 1.0378190194037988, 1.0347567088353395, 1.0405639969845044, 1.0393248869981517]","[1.0701785106383168, 1.0618029811962049, 1.0377205536148384, 1.0477619588941538, 1.0426382099622113]","[1.1270666615167326, 1.1224536813912531, 1.1088281218742058, 1.0629067023543797, 1.0820221670978316]",1.0117888326062383,0.23461113660518218,1.0467044016220295,0.3334913204372906,1.0690852929438563,0.5777710484380987,1.1305826595547555,0.6780724395947164
num_nodes,0.0,,0.0,1.0,0.00045657341521724746,-0.002690661374326011,-0.006912163023801817,-0.01240131460125833,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0114591817345744, 1.0130860150618863, 1.0106463843830118, 1.0148085315592967, 1.0131041691722555]","[1.055982448896304, 1.0378190194037988, 1.0347567088353395, 1.0405639969845044, 1.0393248869981517]","[1.0701785106383168, 1.0618029811962049, 1.0377205536148384, 1.0477619588941538, 1.0426382099622113]","[1.1270666615167326, 1.1224536813912531, 1.1088281218742058, 1.0629067023543797, 1.0820221670978316]",1.0117888326062383,0.23461113660518218,1.0467044016220295,0.3334913204372906,1.0690852929438563,0.5777710484380987,1.1305826595547555,0.6780724395947164
join_tree_diameter,0.0,,0.0,1.0,0.00045657341521724746,-0.002690661374326011,-0.006912163023801817,-0.01240131460125833,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0114591817345744, 1.0130860150618863, 1.0106463843830118, 1.0148085315592967, 1.0131041691722555]","[1.055982448896304, 1.0378190194037988, 1.0347567088353395, 1.0405639969845044, 1.0393248869981517]","[1.0701785106383168, 1.0618029811962049, 1.0377205536148384, 1.0477619588941538, 1.0426382099622113]","[1.1270666615167326, 1.1224536813912531, 1.1088281218742058, 1.0629067023543797, 1.0820221670978316]",1.0117888326062383,0.23461113660518218,1.0467044016220295,0.3334913204372906,1.0690852929438563,0.5777710484380987,1.1305826595547555,0.6780724395947164
num_blocking_ops,0.0,,0.0,1.0,0.00045657341521724746,-0.002690661374326011,-0.006912163023801817,-0.01240131460125833,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0114591817345744, 1.0130860150618863, 1.0106463843830118, 1.0148085315592967, 1.0131041691722555]","[1.055982448896304, 1.0378190194037988, 1.0347567088353395, 1.0405639969845044, 1.0393248869981517]","[1.0701785106383168, 1.0618029811962049, 1.0377205536148384, 1.0477619588941538, 1.0426382099622113]","[1.1270666615167326, 1.1224536813912531, 1.1088281218742058, 1.0629067023543797, 1.0820221670978316]",1.0117888326062383,0.23461113660518218,1.0467044016220295,0.3334913204372906,1.0690852929438563,0.5777710484380987,1.1305826595547555,0.6780724395947164
num_nested_loop,0.0,,0.0,1.0,0.00045657341521724746,-0.002690661374326011,-0.006912163023801817,-0.01240131460125833,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0114591817345744, 1.0130860150618863, 1.0106463843830118, 1.0148085315592967, 1.0131041691722555]","[1.055982448896304, 1.0378190194037988, 1.0347567088353395, 1.0405639969845044, 1.0393248869981517]","[1.0701785106383168, 1.0618029811962049, 1.0377205536148384, 1.0477619588941538, 1.0426382099622113]","[1.1270666615167326, 1.1224536813912531, 1.1088281218742058, 1.0629067023543797, 1.0820221670978316]",1.0117888326062383,0.23461113660518218,1.0467044016220295,0.3334913204372906,1.0690852929438563,0.5777710484380987,1.1305826595547555,0.6780724395947164
max_est_join_input_rows,0.0,,0.0,1.0,0.00045657341521724746,-0.002690661374326011,-0.006912163023801817,-0.01240131460125833,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0114591817345744, 1.0130860150618863, 1.0106463843830118, 1.0148085315592967, 1.0131041691722555]","[1.055982448896304, 1.0378190194037988, 1.0347567088353395, 1.0405639969845044, 1.0393248869981517]","[1.0701785106383168, 1.0618029811962049, 1.0377205536148384, 1.0477619588941538, 1.0426382099622113]","[1.1270666615167326, 1.1224536813912531, 1.1088281218742058, 1.0629067023543797, 1.0820221670978316]",1.0117888326062383,0.23461113660518218,1.0467044016220295,0.3334913204372906,1.0690852929438563,0.5777710484380987,1.1305826595547555,0.6780724395947164
