metric,error_vs_metric_multivariate,error_vs_metric_multivariate_p,error_vs_metric_univariate,error_vs_metric_univariate_p,huber_med_slope,huber_p90_slope,huber_p95_slope,huber_max_slope,bucket_index,bucket_center,bucket_min,bucket_max,median,p90,p95,max_error,huber_med_intercept,huber_med_r2,huber_p90_intercept,huber_p90_r2,huber_p95_intercept,huber_p95_r2,huber_max_intercept,huber_max_r2
num_tables,0.0,,0.0,1.0,-0.0012099526809037202,-0.0037984174886714498,-0.009953819405161235,-0.008848733008832543,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0392240902269816, 1.0376847750290996, 1.0365059386109308, 1.03267689025417, 1.03889591109505]","[1.0724320365387687, 1.0732583396970916, 1.0691737922402562, 1.0623673242146552, 1.0588860583085804]","[1.1131180477751395, 1.091126619146671, 1.0749852739360515, 1.0738425603950639, 1.0719910172034792]","[1.1244056959633726, 1.120904886801027, 1.1047049087143117, 1.084174213506452, 1.0938693454727804]",1.0390148883388757,-0.0623801133651698,1.0748203581183726,0.8991783683833078,1.1053239468458067,0.8100054093031711,1.1251724842581914,0.785000376405304
num_columns,0.0,,0.0,1.0,-0.0012099526809037202,-0.0037984174886714498,-0.009953819405161235,-0.008848733008832543,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0392240902269816, 1.0376847750290996, 1.0365059386109308, 1.03267689025417, 1.03889591109505]","[1.0724320365387687, 1.0732583396970916, 1.0691737922402562, 1.0623673242146552, 1.0588860583085804]","[1.1131180477751395, 1.091126619146671, 1.0749852739360515, 1.0738425603950639, 1.0719910172034792]","[1.1244056959633726, 1.120904886801027, 1.1047049087143117, 1.084174213506452, 1.0938693454727804]",1.0390148883388757,-0.0623801133651698,1.0748203581183726,0.8991783683833078,1.1053239468458067,0.8100054093031711,1.1251724842581914,0.785000376405304
num_joins,0.0,,0.0,1.0,-0.0012099526809037202,-0.0037984174886714498,-0.009953819405161235,-0.008848733008832543,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0392240902269816, 1.0376847750290996, 1.0365059386109308, 1.03267689025417, 1.03889591109505]","[1.0724320365387687, 1.0732583396970916, 1.0691737922402562, 1.0623673242146552, 1.0588860583085804]","[1.1131180477751395, 1.091126619146671, 1.0749852739360515, 1.0738425603950639, 1.0719910172034792]","[1.1244056959633726, 1.120904886801027, 1.1047049087143117, 1.084174213506452, 1.0938693454727804]",1.0390148883388757,-0.0623801133651698,1.0748203581183726,0.8991783683833078,1.1053239468458067,0.8100054093031711,1.1251724842581914,0.785000376405304
num_filters,0.0,,0.0,1.0,-0.0012099526809037202,-0.0037984174886714498,-0.009953819405161235,-0.008848733008832543,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0392240902269816, 1.0376847750290996, 1.0365059386109308, 1.03267689025417, 1.03889591109505]","[1.0724320365387687, 1.0732583396970916, 1.0691737922402562, 1.0623673242146552, 1.0588860583085804]","[1.1131180477751395, 1.091126619146671, 1.0749852739360515, 1.0738425603950639, 1.0719910172034792]","[1.1244056959633726, 1.120904886801027, 1.1047049087143117, 1.084174213506452, 1.0938693454727804]",1.0390148883388757,-0.0623801133651698,1.0748203581183726,0.8991783683833078,1.1053239468458067,0.8100054093031711,1.1251724842581914,0.785000376405304
longest_path_len,0.0,,0.0,1.0,-0.0012099526809037202,-0.0037984174886714498,-0.009953819405161235,-0.008848733008832543,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0392240902269816, 1.0376847750290996, 1.0365059386109308, 1.03267689025417, 1.03889591109505]","[1.0724320365387687, 1.0732583396970916, 1.0691737922402562, 1.0623673242146552, 1.0588860583085804]","[1.1131180477751395, 1.091126619146671, 1.0749852739360515, 1.0738425603950639, 1.0719910172034792]","[1.1244056959633726, 1.120904886801027, 1.1047049087143117, 1.084174213506452, 1.0938693454727804]",1.0390148883388757,-0.0623801133651698,1.0748203581183726,0.8991783683833078,1.1053239468458067,0.8100054093031711,1.1251724842581914,0.785000376405304
num_nodes,0.0,,0.0,1.0,-0.0012099526809037202,-0.0037984174886714498,-0.009953819405161235,-0.008848733008832543,"[0, 1, 2, 3, 4]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0392240902269816, 1.0376847750290996, 1.0365059386109308, 1.03267689025417, 1.03889591109505]","[1.0724320365387687, 1.0732583396970916, 1.0691737922402562, 1.0623673242146552, 1.0588860583085804]","[1.1131180477751395, 1.091126619146671, 1.0749852739360515, 1.0738425603950639, 1.0719910172034792]","[1.1244056959633726, 1.120904886801027, 1.1047049087143117, 1.084174213506452, 1.0938693454727804]",1.0390148883388757,-0.0623801133651698,1.0748203581183726,0.8991783683833078,1.1053239468458067,0.8100054093031711,1.1251724842581914,0.785000376405304
join_tree_diameter,0.0,,0.0,1.0,-0.0012099526809037202,-0.0037984174886714498,-0.009953819405161235,-0.008848733008832543,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0392240902269816, 1.0376847750290996, 1.0365059386109308, 1.03267689025417, 1.03889591109505]","[1.0724320365387687, 1.0732583396970916, 1.0691737922402562, 1.0623673242146552, 1.0588860583085804]","[1.1131180477751395, 1.091126619146671, 1.0749852739360515, 1.0738425603950639, 1.0719910172034792]","[1.1244056959633726, 1.120904886801027, 1.1047049087143117, 1.084174213506452, 1.0938693454727804]",1.0390148883388757,-0.0623801133651698,1.0748203581183726,0.8991783683833078,1.1053239468458067,0.8100054093031711,1.1251724842581914,0.785000376405304
num_blocking_ops,0.0,,0.0,1.0,-0.0012099526809037202,-0.0037984174886714498,-0.009953819405161235,-0.008848733008832543,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0392240902269816, 1.0376847750290996, 1.0365059386109308, 1.03267689025417, 1.03889591109505]","[1.0724320365387687, 1.0732583396970916, 1.0691737922402562, 1.0623673242146552, 1.0588860583085804]","[1.1131180477751395, 1.091126619146671, 1.0749852739360515, 1.0738425603950639, 1.0719910172034792]","[1.1244056959633726, 1.120904886801027, 1.1047049087143117, 1.084174213506452, 1.0938693454727804]",1.0390148883388757,-0.0623801133651698,1.0748203581183726,0.8991783683833078,1.1053239468458067,0.8100054093031711,1.1251724842581914,0.785000376405304
num_nested_loop,0.0,,0.0,1.0,-0.0012099526809037202,-0.0037984174886714498,-0.009953819405161235,-0.008848733008832543,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0392240902269816, 1.0376847750290996, 1.0365059386109308, 1.03267689025417, 1.03889591109505]","[1.0724320365387687, 1.0732583396970916, 1.0691737922402562, 1.0623673242146552, 1.0588860583085804]","[1.1131180477751395, 1.091126619146671, 1.0749852739360515, 1.0738425603950639, 1.0719910172034792]","[1.1244056959633726, 1.120904886801027, 1.1047049087143117, 1.084174213506452, 1.0938693454727804]",1.0390148883388757,-0.0623801133651698,1.0748203581183726,0.8991783683833078,1.1053239468458067,0.8100054093031711,1.1251724842581914,0.785000376405304
max_est_join_input_rows,0.0,,0.0,1.0,-0.0012099526809037202,-0.0037984174886714498,-0.009953819405161235,-0.008848733008832543,"[0, 1, 2, 3, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0392240902269816, 1.0376847750290996, 1.0365059386109308, 1.03267689025417, 1.03889591109505]","[1.0724320365387687, 1.0732583396970916, 1.0691737922402562, 1.0623673242146552, 1.0588860583085804]","[1.1131180477751395, 1.091126619146671, 1.0749852739360515, 1.0738425603950639, 1.0719910172034792]","[1.1244056959633726, 1.120904886801027, 1.1047049087143117, 1.084174213506452, 1.0938693454727804]",1.0390148883388757,-0.0623801133651698,1.0748203581183726,0.8991783683833078,1.1053239468458067,0.8100054093031711,1.1251724842581914,0.785000376405304
