dataset,task,algo,model,train_time_sum_ms,test_time_sum_ms,llm_train_inference_ms,llm_test_inference_ms,q50,q90,q95,qmax
job,card,mscn,,1132597.308,0.93,,,1.83,23.96,55.87,752.69
job,card,alece,,336126.83,50.35,,,2.63,14.99,212.72,71500046336
job,card,price,,347562.91,492.42,,,2.03,13.99,32.51,309.66
job,time,mscn,,1106236.27,0.99,,,1.57,8.71,11.40,33.04
job,time,alece,,340414.15,7.66,,,2.74,10.63,12.56,162.41
job,time,price,,319382.57,410.28,,,14.10,291.25,631.21,2504.49
stats,card,mscn,,791071.34,2.81,,,7.69,556.13,2080.44,1001177.332
stats,card,alece,,117657.26,91.05,,,2.78,13.36,25.15,7580.35
stats,card,price,,637870.12,323.29,,,4.17,28.69,195.94,1814.9
stats,time,mscn,,739430.84,2.83,,,1187.93,144052.41,504569.31,34540924.13
stats,time,alece,,134010.69,8.01,,,1.47,3.76,5.03,37.67
stats,time,price,,682312.17,243.91,,,2.88,102.37,541.42,1158.25
syn,card,mscn,,1162896.03,12.71,,,1.57,5.49,10.44,1929.63
syn,card,alece,,336619.34,978.18,,,1.87,9.6,21.4,300000000
syn,card,price,,347562.91,1323.63,,,1.68,7.14,10.44,5103.58
