combined_timing_accuracy_report
dataset,task,algo,model,train_time_sum_ms,test_time_sum_ms,llm_train_inference_ms,llm_test_inference_ms,q50,q90,q95,qmax
job,card,aimai,,2973.36,403.73,,,1.63,17.62,49.15,5924.02
job,card,bao,,17651.78,920.46,,,2.35,103.44,491.73,16349.85
job,card,e2e,,73686.6,1849.69,,,2.78,45.0,81.2,13733.11
job,card,llm,Qwen-Qwen3-0.6B,3916.08,406.94,8726216.56,99346.26,2.27,20.69,62.79,231856.23
job,card,llm,Qwen-Qwen3-4B,3799.15,489.42,46058486.72,566378.1,2.76,142.42,1113.98,9253466.28
job,card,llm,Qwen-Qwen3-8B,3932.69,497.87,84548081.74,1043455.1,2.47,329.1,1595.02,4440909.72
job,card,llm,Qwen-Qwen3-Embedding-0.6B,3741.81,495.14,8800073.95,93832.44,2.78,33.48,154.83,78732.45
job,card,llm,Qwen-Qwen3-Embedding-4B,4200.75,406.94,46135463.26,566771.92,2.57,36.05,119.47,44359.69
job,card,llm,Qwen-Qwen3-Embedding-8B,3796.11,498.81,84370123.07,1039830.69,1.9,33.11,96.17,34667.85
job,card,llm,answerdotai-ModernBERT-base,4113.89,413.4,4825581.53,42005.96,2.44,31.62,107.08,3786.25
job,card,llm,bert-base-uncased,3907.39,404.66,2609859.1,22050.68,2.73,28.28,74.02,528538.87
job,card,llm,google-gemma-3-12b-pt,3946.82,406.46,28355837.54,308673.79,1.94,13.85,36.08,3305.5
job,card,llm,google-gemma-3-1b-pt,4016.68,498.49,7131246.31,63144.49,2.24,18.71,45.56,38667.6
job,card,llm,google-gemma-3-4b-pt,3698.63,584.61,12007544.78,128202.32,2.55,41.62,108.72,18242.25
job,card,llm,meta-llama-Llama-3.1-8B,3737.13,584.5,11873033.87,131680.56,2.26,9.55,16.59,250.28
job,card,llm,meta-llama-Llama-3.2-1B,3795.99,484.89,5080811.7,46302.05,2.13,26.48,62.32,1914.51
job,card,llm,meta-llama-Llama-3.2-3B,3779.34,494.44,9904094.16,100195.76,2.05,14.88,27.84,3320.43
job,card,llm,sentence-transformers-all-MiniLM-L6-v2,3649.99,406.65,1366953.22,12177.5,2.21,21.92,52.36,13631.22
job,card,postgres,,,,,,2.58,42.07,122.34,10070.72
job,card,qf,,315229.5,35541.36,,,3.13,59.74,209.83,5090.88
job,card,mscn,,172039.50,0.98,,,1.83,23.96,55.87,752.69
job,card,alece,,336126.83,4156.38,,,2.63,14.99,212.72,71500046336
job,card,price,,347562.91,17854.42,,,2.03,13.99,32.51,309.66
job,time,aimai,,2999.08,92.71,,,1.91,98.92,156.48,454.12
job,time,bao,,16937.72,93.85,,,1.87,25.7,38.66,254.86
job,time,e2e,,79444.23,178.3,,,1.66,15.18,18.81,57.45
job,time,llm,Qwen-Qwen3-0.6B,3751.92,37.9,8726216.56,9827.45,1.51,16.43,25.05,88.33
job,time,llm,Qwen-Qwen3-4B,3795.32,37.73,46058486.72,62597.36,1.72,17.64,26.58,65.55
job,time,llm,Qwen-Qwen3-8B,3998.46,38.37,84548081.74,112338.94,2.08,50.97,73.9,218.14
job,time,llm,Qwen-Qwen3-Embedding-0.6B,3751.67,126.0,8800073.95,10004.09,1.55,13.47,15.83,35.15
job,time,llm,Qwen-Qwen3-Embedding-4B,3915.43,37.48,46135463.26,63054.75,1.82,9.66,15.24,62.72
job,time,llm,Qwen-Qwen3-Embedding-8B,4020.71,37.98,84370123.07,113593.97,1.51,9.47,16.47,72.77
job,time,llm,answerdotai-ModernBERT-base,3696.72,41.83,4825581.53,5702.19,1.34,8.27,10.5,38.58
job,time,llm,bert-base-uncased,3609.76,37.7,2609859.1,2251.13,1.58,28.65,57.5,138.87
job,time,llm,google-gemma-3-12b-pt,4042.31,36.42,28355837.54,33468.66,1.52,13.62,28.46,59.63
job,time,llm,google-gemma-3-1b-pt,3742.25,124.63,7131246.31,5928.88,1.69,18.91,27.75,113.81
job,time,llm,google-gemma-3-4b-pt,4120.03,37.52,12007544.78,14104.4,1.54,12.59,23.07,110.91
