label,time,error,filtered
aimai-nan,550136.6666666666,-0.12932484764315713,False
alece-nan,52693562.0,-1.6026268048736714,False
bao-nan,3058020.0,0.8094128007772142,False
e2e-nan,13583576.666666666,2.8554933663665456,False
llm-Qwen-Qwen3-Embedding-0.6B,8586767.863333333,4.264632172271395,False
llm-Qwen-Qwen3-Embedding-4B,39580658.5,0.1018481751663524,False
llm-Qwen-Qwen3-Embedding-8B,72137255.95,-0.7448277589486857,False
llm-google-gemma-3-12b-pt,25998732.849999998,-0.3964752930233281,False
llm-google-gemma-3-1b-pt,6970835.03,-0.49286666755042025,False
llm-google-gemma-3-4b-pt,11608054.356666666,0.8633260239218371,False
llm-meta-llama-Llama-3.1-8B,17159996.65,-1.8501101669081015,False
llm-meta-llama-Llama-3.2-1B,5017432.840000001,0.11507255446320334,False
llm-meta-llama-Llama-3.2-3B,9640008.286666667,-0.5915638708159946,False
mscn-nan,205770978.53333333,4.025433307799627,False
price-nan,88866396.0,-1.224800476042428,False
qf-nan,55283788.0,1.170558135052828,False
postgres-nan,550136.6666666666,0.0,False
