label,time,error,filtered
bao-nan,3058020.0,997.9381317848043,False
mscn-nan,31276888.0,185.02464894964817,False
price-nan,88866396.0,1.5482830041683293,False
qf-nan,55283788.0,588.5004122018421,False
aimai-nan,550136.6666666666,301323.80189241975,False
alece-nan,52693562.0,77018009.57780856,False
e2e-nan,13583576.666666666,8.808844548934011e+16,False
llm-Qwen-Qwen3-Embedding-0.6B,8586767.863333333,1442253458.672866,False
llm-Qwen-Qwen3-Embedding-4B,39580658.5,7936270271086.543,False
llm-Qwen-Qwen3-Embedding-8B,72137255.95,24553832.450325474,False
llm-answerdotai-ModernBERT-base,4909957.576666666,3349609896569.928,False
llm-bert-base-uncased,3117254.3366666664,215329202.50864813,False
llm-google-gemma-3-12b-pt,25998732.849999998,37250580.00641343,False
llm-google-gemma-3-1b-pt,6970835.03,24214905.431366954,False
llm-google-gemma-3-27b-pt,47449474.276666656,14042155124152.686,False
llm-google-gemma-3-4b-pt,11608054.356666666,8891081.13387889,False
llm-meta-llama-Llama-3.1-70B,117640416.36,4661434662.44103,False
llm-meta-llama-Llama-3.1-8B,17159996.65,1057048023.1464939,False
llm-meta-llama-Llama-3.2-1B,5017432.840000001,243037.43652352234,False
llm-meta-llama-Llama-3.2-3B,9640008.286666667,17991638.70675713,False
llm-sentence-transformers-all-MiniLM-L6-v2,1925354.9833333334,401938697.268574,False
PostgreSQL,,1535.6306031852857,False
