label,time,error,filtered
bao-nan,3058020.0,-1.4991765047721366,False
mscn-nan,205770978.53333333,-13.309623419850881,False
price-nan,88866396.0,-1531.7292756914214,False
qf-nan,55283788.0,1.9574268095439837,False
postgres-nan,3058020.0,0.0,False
aimai-nan,550136.6666666666,60.558167598950824,True
alece-nan,52693562.0,2369029.876838999,True
e2e-nan,13583576.666666666,19335324875604.016,True
llm-Qwen-Qwen3-Embedding-0.6B,8586767.863333333,316569.0766651178,True
llm-Qwen-Qwen3-Embedding-4B,39580658.5,1742003319.0670214,True
llm-Qwen-Qwen3-Embedding-8B,72137255.95,5389.539899975087,True
llm-google-gemma-3-12b-pt,25998732.849999998,8170.974322536486,True
llm-google-gemma-3-1b-pt,6970835.03,5315.190672045234,True
llm-google-gemma-3-4b-pt,11608054.356666666,1951.7273976891368,True
llm-meta-llama-Llama-3.1-8B,17159996.65,232014.23306901928,True
llm-meta-llama-Llama-3.2-1B,5017432.840000001,49.116129429133196,True
llm-meta-llama-Llama-3.2-3B,9640008.286666667,3946.2280022273153,True
