label,time,error,filtered
bao-nan,2051025.3333333335,1.8101123551336318,False
e2e-nan,10075794.0,1.3175302583917532,False
llm-Qwen-Qwen3-Embedding-0.6B,5964301.640000001,1.1043956190774982,False
llm-Qwen-Qwen3-Embedding-4B,27200823.83,1.165365122592321,False
llm-Qwen-Qwen3-Embedding-8B,49597181.095,1.0231293794129188,False
llm-answerdotai-ModernBERT-base,3397689.6433333335,1.1806851954621367,False
llm-bert-base-uncased,2142845.5216666665,1.0684903699799604,False
llm-google-gemma-3-12b-pt,17900379.676666666,1.0484979645384611,False
llm-google-gemma-3-1b-pt,4862420.273333333,1.0653501820347782,False
llm-google-gemma-3-27b-pt,32422539.838333335,1.070803342416446,False
llm-google-gemma-3-4b-pt,8043600.173333333,1.006344342007123,False
llm-meta-llama-Llama-3.1-70B,80536171.05666667,1.0542780460789378,False
llm-meta-llama-Llama-3.1-8B,11837073.608333332,1.0968275052269854,False
llm-meta-llama-Llama-3.2-1B,3505157.406666667,1.063736174353071,False
llm-meta-llama-Llama-3.2-3B,6700673.835000001,1.1664102096603248,False
llm-sentence-transformers-all-MiniLM-L6-v2,1338646.1783333335,1.1404385313185095,False
qf-nan,35028088.66666667,1.845846656453066,False
PostgreSQL,,4.168873370223014,False
aimai-nan,396141.3333333333,24.99318425536718,True
