label,time,error,filtered
e2e-nan,10075794.0,-20.490507029187253,False
llm-Qwen-Qwen3-Embedding-0.6B,5964301.640000001,-19.313965372921945,False
llm-Qwen-Qwen3-Embedding-4B,27200823.83,-25.33539907722684,False
llm-Qwen-Qwen3-Embedding-8B,49597181.095,-27.047515854249216,False
llm-google-gemma-3-12b-pt,17900379.676666666,-19.605416831619852,False
llm-google-gemma-3-1b-pt,4862420.273333333,-28.28294961088559,False
llm-google-gemma-3-4b-pt,8043600.173333333,-28.01598450046067,False
llm-meta-llama-Llama-3.1-8B,11837073.608333332,-29.736441629176074,False
llm-meta-llama-Llama-3.2-1B,3505157.406666667,-28.09659739550186,False
llm-meta-llama-Llama-3.2-3B,6700673.835000001,-23.055238085644934,False
qf-nan,35028088.66666667,-10.117883961510637,False
postgres-nan,3505157.406666667,0.0,False
aimai-nan,396141.3333333333,26.719139636377477,True
bao-nan,2051025.3333333335,32.4088195293039,True
