label,time,error,filtered
aimai-nan,396141.3333333333,56.41295166863507,False
bao-nan,2051025.3333333335,43.08297733972313,False
e2e-nan,10075794.0,5.623863488063987,False
llm-Qwen-Qwen3-Embedding-0.6B,5964301.640000001,2.3997408895440095,False
llm-Qwen-Qwen3-Embedding-4B,27200823.83,2.3397754058242555,False
llm-Qwen-Qwen3-Embedding-8B,49597181.095,6.5649470393911225,False
llm-answerdotai-ModernBERT-base,3397689.6433333335,5.261999782902763,False
llm-bert-base-uncased,2142845.5216666665,2.449589866146358,False
llm-google-gemma-3-12b-pt,17900379.676666666,2.5990121116077316,False
llm-google-gemma-3-1b-pt,4862420.273333333,2.819210868280127,False
llm-google-gemma-3-27b-pt,32422539.838333335,2.5415825131030982,False
llm-google-gemma-3-4b-pt,8043600.173333333,3.0500544175473756,False
llm-meta-llama-Llama-3.1-70B,80536171.05666667,2.7865979852991494,False
llm-meta-llama-Llama-3.1-8B,11837073.608333332,1.9518154621668309,False
llm-meta-llama-Llama-3.2-1B,3505157.406666667,1.6354683377533998,False
llm-meta-llama-Llama-3.2-3B,6700673.835000001,5.403694195407765,False
llm-sentence-transformers-all-MiniLM-L6-v2,1338646.1783333335,9.460595435087761,False
qf-nan,35028088.66666667,3.6042759718833577,False
PostgreSQL,,120.02708126790377,False
