label,time,error,filtered
aimai-nan,396141.3333333333,2.5862342590237,False
e2e-nan,10075794.0,-8.836607188243997,False
llm-Qwen-Qwen3-Embedding-0.6B,5964301.640000001,-45.38761388965282,False
llm-Qwen-Qwen3-Embedding-4B,27200823.83,-33.3095696122077,False
llm-Qwen-Qwen3-Embedding-8B,49597181.095,-6.731973809166856,False
llm-google-gemma-3-12b-pt,17900379.676666666,-105.6926486567789,False
llm-google-gemma-3-1b-pt,4862420.273333333,-71.59075206974433,False
llm-google-gemma-3-4b-pt,8043600.173333333,-69.68708937408924,False
llm-meta-llama-Llama-3.1-8B,11837073.608333332,-53.414087039857804,False
llm-meta-llama-Llama-3.2-1B,3505157.406666667,-79.83126516429633,False
llm-meta-llama-Llama-3.2-3B,6700673.835000001,-53.04977064465472,False
qf-nan,35028088.66666667,-32.41075623209102,False
postgres-nan,396141.3333333333,0.0,False
bao-nan,2051025.3333333335,160041.7771668019,True
