metric,task,family,num_observations,num_datasets,datasets,1_to_2,2_to_3,3_to_4
q50,time,gemma,6,6,"job, job_full, stats, syn, tpcds, tpch",-0.05900584002765511,0.04213864798806181,0.022305657775990067
q50,time,llama,6,6,"job, job_full, stats, syn, tpcds, tpch",0.09926068995741577,-0.06734608393584769,-0.041046239957185225
q50,time,qwen_embedding,6,6,"job, job_full, stats, syn, tpcds, tpch",0.0566784948865765,-0.1369223651981085,
q50,time,overall,18,6,"job, job_full, stats, syn, tpcds, tpch",0.032311114938779056,-0.05404326704863146,-0.009370291090597579
q50,card,gemma,3,3,"job, stats, syn",0.09864081644838134,-0.0738135753450558,-0.06937678853969868
q50,card,llama,3,3,"job, stats, syn",-0.10226385505989118,-0.12429570807335992,0.12681230745275993
q50,card,qwen_embedding,3,3,"job, stats, syn",-0.35503875968992243,-0.2547951273532669,
q50,card,overall,9,3,"job, stats, syn",-0.11955393276714409,-0.15096813692389421,0.028717759456530618
q90,time,gemma,6,6,"job, job_full, stats, syn, tpcds, tpch",-0.10015517851748157,0.2198001392704562,0.14187953637166206
q90,time,llama,6,6,"job, job_full, stats, syn, tpcds, tpch",0.46287162486902184,-0.23710186580037237,-0.2353901804894187
q90,time,qwen_embedding,6,6,"job, job_full, stats, syn, tpcds, tpch",0.2848007506050872,-0.5388963134519339,
q90,time,overall,18,6,"job, job_full, stats, syn, tpcds, tpch",0.21583906565220912,-0.18539934666061664,-0.046755322058878314
q90,card,gemma,3,3,"job, stats, syn",1.6742450195450083,-1.5629333206654463,-0.05148849864195393
q90,card,llama,3,3,"job, stats, syn",-0.7019344095572956,-0.6388128998208084,0.6938446457882677
q90,card,qwen_embedding,3,3,"job, stats, syn",-4.540220466015883,-0.41222826423821735,
q90,card,overall,9,3,"job, stats, syn",-1.1893032853427234,-0.8713248282414906,0.32117807357315686
q95,time,gemma,6,6,"job, job_full, stats, syn, tpcds, tpch",0.09018733431783303,0.057767192942127954,0.05761015813650557
q95,time,llama,6,6,"job, job_full, stats, syn, tpcds, tpch",0.8798988313755345,-0.6536649142894739,-0.0975948882891126
q95,time,qwen_embedding,6,6,"job, job_full, stats, syn, tpcds, tpch",0.3081851694867526,-0.7400437206874777,
q95,time,overall,18,6,"job, job_full, stats, syn, tpcds, tpch",0.42609044506004,-0.44531381401160774,-0.019992365076303514
q95,card,gemma,3,3,"job, stats, syn",3.849449043620964,-3.565498162142864,1.1775979193481199
q95,card,llama,3,3,"job, stats, syn",-1.9468671434534135,-0.723573022008516,1.6248296611099435
q95,card,qwen_embedding,3,3,"job, stats, syn",-11.804986472406831,-1.0798922252954724,
q95,card,overall,9,3,"job, stats, syn",-3.300801524079761,-1.7896544698156174,1.4012137902290318
qmax,time,gemma,6,6,"job, job_full, stats, syn, tpcds, tpch",0.14304942974540003,-0.21664777905102525,-0.04162201342309376
qmax,time,llama,6,6,"job, job_full, stats, syn, tpcds, tpch",2.546652306925892,-2.2772086087106085,0.14629612992212593
qmax,time,qwen_embedding,6,6,"job, job_full, stats, syn, tpcds, tpch",0.015266899961315805,1.6109073251975674,
qmax,time,overall,18,6,"job, job_full, stats, syn, tpcds, tpch",0.9016562122108692,-0.29431635418802193,0.0523370582495161
qmax,card,gemma,3,3,"job, stats, syn",-3358.5067388284137,6211.621422805366,3082230700.6980815
qmax,card,llama,3,3,"job, stats, syn",3895.5544939355773,228070.75439535294,791160.9532222417
qmax,card,qwen_embedding,3,3,"job, stats, syn",1741686762.6196518,-1741997932.4446695,
qmax,card,overall,9,3,"job, stats, syn",580562433.222469,-580587883.3562837,1541510930.8256514
