label,time,error,filtered
aimai-nan,550136.6666666666,272.8533333333333,False
bao-nan,3058020.0,291.59,False
e2e-nan,13583576.666666666,551.6899999999999,False
llm-Qwen-Qwen3-Embedding-0.6B,8586767.863333333,2510.713333333333,False
llm-Qwen-Qwen3-Embedding-4B,39580658.5,261.10333333333335,False
llm-Qwen-Qwen3-Embedding-8B,72137255.95,100.10333333333334,False
llm-answerdotai-ModernBERT-base,4909957.576666666,532.9499999999999,False
llm-bert-base-uncased,3117254.3366666664,320.7633333333334,False
llm-google-gemma-3-12b-pt,25998732.849999998,308.16,False
llm-google-gemma-3-1b-pt,6970835.03,229.15333333333334,False
llm-google-gemma-3-4b-pt,11608054.356666666,396.42,False
llm-meta-llama-Llama-3.1-8B,17159996.65,62.54999999999999,False
llm-meta-llama-Llama-3.2-1B,5017432.840000001,241.04333333333332,False
llm-meta-llama-Llama-3.2-3B,9640008.286666667,83.78,False
llm-sentence-transformers-all-MiniLM-L6-v2,1925354.9833333334,1229.2933333333333,False
qf-nan,55283788.0,193.99666666666667,False
postgres-nan,550136.6666666666,88.08666666666666,False
