label,time,error,filtered
aimai-nan,550136.6666666666,0.8514095389608446,False
alece-nan,52693562.0,-1.0127585519609335,False
bao-nan,3058020.0,2.3510210219211873,False
e2e-nan,13583576.666666666,4.155314915211663,False
llm-Qwen-Qwen3-Embedding-4B,39580658.5,1.4048637820229029,False
llm-Qwen-Qwen3-Embedding-8B,72137255.95,-0.29299369032816985,False
llm-answerdotai-ModernBERT-base,4909957.576666666,3.617109070204194,False
llm-bert-base-uncased,3117254.3366666664,1.8490001644273049,False
llm-google-gemma-3-12b-pt,25998732.849999998,0.6042598413601433,False
llm-google-gemma-3-1b-pt,6970835.03,0.24478155389498898,False
llm-google-gemma-3-4b-pt,11608054.356666666,2.4342601842551566,False
llm-meta-llama-Llama-3.1-8B,17159996.65,-2.718390520349814,False
llm-meta-llama-Llama-3.2-1B,5017432.840000001,0.5084857318506796,False
llm-meta-llama-Llama-3.2-3B,9640008.286666667,-1.0399063547402685,False
mscn-nan,205770978.53333333,4.61640381350734,False
price-nan,88866396.0,-1.1479117187994137,False
qf-nan,55283788.0,1.5962757195453239,False
postgres-nan,550136.6666666666,0.0,False
llm-Qwen-Qwen3-Embedding-0.6B,8586767.863333333,18.80730278800215,True
llm-sentence-transformers-all-MiniLM-L6-v2,1925354.9833333334,8.94428316555515,True
