label,time,error,filtered
bao-nan,2051025.3333333335,2.631666666666667,False
e2e-nan,10075794.0,2.0033333333333334,False
llm-Qwen-Qwen3-Embedding-0.6B,5964301.640000001,1.655,False
llm-Qwen-Qwen3-Embedding-4B,27200823.83,1.8633333333333335,False
llm-Qwen-Qwen3-Embedding-8B,49597181.095,1.5066666666666668,False
llm-answerdotai-ModernBERT-base,3397689.6433333335,1.8683333333333334,False
llm-bert-base-uncased,2142845.5216666665,1.595,False
llm-google-gemma-3-12b-pt,17900379.676666666,1.5533333333333335,False
llm-google-gemma-3-1b-pt,4862420.273333333,1.5766666666666669,False
llm-google-gemma-3-4b-pt,8043600.173333333,1.445,False
llm-meta-llama-Llama-3.1-8B,11837073.608333332,1.6883333333333335,False
llm-meta-llama-Llama-3.2-1B,3505157.406666667,1.6083333333333334,False
llm-meta-llama-Llama-3.2-3B,6700673.835000001,1.9416666666666667,False
llm-sentence-transformers-all-MiniLM-L6-v2,1338646.1783333335,1.7249999999999999,False
qf-nan,35028088.66666667,3.09,False
postgres-nan,1338646.1783333335,5.9316666666666675,False
aimai-nan,396141.3333333333,65.37833333333333,True
