label,time,error,filtered
bao-nan,2051025.3333333335,-11.068159459368145,False
e2e-nan,10075794.0,-33.01991714865666,False
llm-Qwen-Qwen3-Embedding-0.6B,5964301.640000001,-18.508123285226457,False
llm-Qwen-Qwen3-Embedding-4B,27200823.83,-34.05023054635646,False
llm-Qwen-Qwen3-Embedding-8B,49597181.095,-45.28777617830418,False
llm-answerdotai-ModernBERT-base,3397689.6433333335,-12.095992854977643,False
llm-bert-base-uncased,2142845.5216666665,-16.457793958768665,False
llm-google-gemma-3-12b-pt,17900379.676666666,-19.26011352346109,False
llm-google-gemma-3-1b-pt,4862420.273333333,-26.18722789240144,False
llm-google-gemma-3-4b-pt,8043600.173333333,-21.972936334888246,False
llm-meta-llama-Llama-3.1-8B,11837073.608333332,-23.52717889706854,False
llm-meta-llama-Llama-3.2-1B,3505157.406666667,-22.734699817186158,False
llm-meta-llama-Llama-3.2-3B,6700673.835000001,-19.031172415798505,False
llm-sentence-transformers-all-MiniLM-L6-v2,1338646.1783333335,-18.570056900695977,False
qf-nan,35028088.66666667,-12.610702434351841,False
postgres-nan,1338646.1783333335,0.0,False
aimai-nan,396141.3333333333,38.215459811410184,True
