label,time,error,filtered
e2e-nan,10075794.0,105.32,False
llm-Qwen-Qwen3-Embedding-0.6B,5964301.640000001,279.0933333333333,False
llm-Qwen-Qwen3-Embedding-4B,27200823.83,185.24833333333333,False
llm-Qwen-Qwen3-Embedding-8B,49597181.095,142.535,False
llm-answerdotai-ModernBERT-base,3397689.6433333335,571.775,False
llm-bert-base-uncased,2142845.5216666665,275.5983333333333,False
llm-google-gemma-3-12b-pt,17900379.676666666,354.1816666666666,False
llm-google-gemma-3-1b-pt,4862420.273333333,194.24166666666667,False
llm-google-gemma-3-4b-pt,8043600.173333333,184.26,False
llm-meta-llama-Llama-3.1-8B,11837073.608333332,184.66666666666666,False
llm-meta-llama-Llama-3.2-1B,3505157.406666667,165.62999999999997,False
llm-meta-llama-Llama-3.2-3B,6700673.835000001,969.265,False
llm-sentence-transformers-all-MiniLM-L6-v2,1338646.1783333335,459.4533333333333,False
qf-nan,35028088.66666667,361.43666666666667,False
postgres-nan,1338646.1783333335,1637.3866666666665,False
aimai-nan,396141.3333333333,4673.156666666667,True
bao-nan,2051025.3333333335,4048.563333333333,True
