label,time,error,filtered
bao-nan,2051025.3333333335,5.7790337799731475,False
e2e-nan,10075794.0,-8.603698455904016,False
llm-Qwen-Qwen3-Embedding-0.6B,5964301.640000001,-39.03040057705788,False
llm-Qwen-Qwen3-Embedding-4B,27200823.83,-38.75810670348925,False
llm-Qwen-Qwen3-Embedding-8B,49597181.095,-9.033910777240084,False
llm-answerdotai-ModernBERT-base,3397689.6433333335,-70.2485658353194,False
llm-bert-base-uncased,2142845.5216666665,-86.3780496484261,False
llm-google-gemma-3-12b-pt,17900379.676666666,-99.56028809763136,False
llm-google-gemma-3-1b-pt,4862420.273333333,-68.94374612333719,False
llm-google-gemma-3-4b-pt,8043600.173333333,-72.90973741372056,False
llm-meta-llama-Llama-3.1-8B,11837073.608333332,-54.676164217449745,False
llm-meta-llama-Llama-3.2-1B,3505157.406666667,-83.29526773152791,False
llm-meta-llama-Llama-3.2-3B,6700673.835000001,-55.61337466479433,False
llm-sentence-transformers-all-MiniLM-L6-v2,1338646.1783333335,-3.8905545683696228,False
qf-nan,35028088.66666667,-32.41075623209102,False
postgres-nan,1338646.1783333335,0.0,False
aimai-nan,396141.3333333333,14.918084018940739,True
