label,time,error,filtered
aimai-nan,594672.0,5924.02,False
bao-nan,3530356.0,16349.85,False
e2e-nan,14737320.000000002,13733.11,False
llm-Qwen-Qwen3-Embedding-0.6B,9506901.99,2984.87,False
llm-Qwen-Qwen3-Embedding-4B,41968503.69,163058.88,False
llm-Qwen-Qwen3-Embedding-8B,76354963.79,94669.13,False
llm-answerdotai-ModernBERT-base,5501065.52,25855.47,False
llm-bert-base-uncased,3502641.27,34179.5,False
llm-google-gemma-3-12b-pt,27979148.68,779.17,False
llm-google-gemma-3-1b-pt,7826370.7,14334.41,False
llm-google-gemma-3-4b-pt,12652429.85,33634.09,False
llm-meta-llama-Llama-3.1-8B,18531428.83,510.5,False
llm-meta-llama-Llama-3.2-1B,5503169.94,1262.26,False
llm-meta-llama-Llama-3.2-3B,10615361.65,1761.07,False
llm-sentence-transformers-all-MiniLM-L6-v2,2068762.85,73126.18,False
qf-nan,63045900.0,3482.17,False
postgres-nan,594672.0,10070.72,False
