label,time,error,filtered
aimai-nan,594672.0,-1.1117388034017208,False
bao-nan,3530356.0,1.0075517543591694,False
e2e-nan,14737320.000000002,0.6303503662778079,False
llm-Qwen-Qwen3-Embedding-0.6B,9506901.99,-3.07753155899638,False
llm-Qwen-Qwen3-Embedding-8B,76354963.79,9.294055059863158,False
llm-answerdotai-ModernBERT-base,5501065.52,2.1778898566894367,False
llm-bert-base-uncased,3502641.27,3.09930588970908,False
llm-google-gemma-3-12b-pt,27979148.68,-12.847563100975284,False
llm-google-gemma-3-1b-pt,7826370.7,0.7208192940278058,False
llm-google-gemma-3-4b-pt,12652429.85,3.0403699821251964,False
llm-meta-llama-Llama-3.1-8B,18531428.83,-19.67647793208,False
llm-meta-llama-Llama-3.2-1B,5503169.94,-7.852984994037367,False
llm-meta-llama-Llama-3.2-3B,10615361.65,-5.5436530805897295,False
llm-sentence-transformers-all-MiniLM-L6-v2,2068762.85,7.123549298995021,False
qf-nan,63045900.0,-2.5463099592026515,False
mscn-nan,226519461.6,-13.30489792809624,False
price-nan,69512582.0,-32.49111414182883,False
postgres-nan,594672.0,0.0,False
llm-Qwen-Qwen3-Embedding-4B,41968503.69,16.129621294206228,True
alece-nan,67225366.0,7099794.884178946,True
