label,time,error,filtered
bao-nan,3233028.0,1214.86,False
e2e-nan,15591185.999999998,45.84,False
llm-Qwen-Qwen3-Embedding-0.6B,9482171.99,27.95,False
llm-Qwen-Qwen3-Embedding-4B,41905453.69,66.69,False
llm-Qwen-Qwen3-Embedding-8B,76353405.79,14.33,False
llm-answerdotai-ModernBERT-base,5484879.52,110.5,False
llm-bert-base-uncased,3472121.27,39.09,False
llm-google-gemma-3-12b-pt,27973710.68,52.51,False
llm-google-gemma-3-1b-pt,7868150.7,46.06,False
llm-google-gemma-3-4b-pt,12701833.85,23.44,False
llm-meta-llama-Llama-3.1-8B,18581402.83,79.34,False
llm-meta-llama-Llama-3.2-1B,5556681.94,36.18,False
llm-meta-llama-Llama-3.2-3B,10626735.65,132.62,False
llm-sentence-transformers-all-MiniLM-L6-v2,2103016.85,150.11,False
qf-nan,56717454.0,161.33,False
postgres-nan,2103016.85,22.48,False
aimai-nan,622930.0,6556.8,True
