label,time,error,filtered
e2e-nan,15591185.999999998,130.52,False
llm-Qwen-Qwen3-Embedding-0.6B,9482171.99,417.37,False
llm-Qwen-Qwen3-Embedding-4B,41905453.69,251.61,False
llm-Qwen-Qwen3-Embedding-8B,76353405.79,350.27,False
llm-answerdotai-ModernBERT-base,5484879.52,2296.14,False
llm-bert-base-uncased,3472121.27,254.51,False
llm-google-gemma-3-12b-pt,27973710.68,221.52,False
llm-google-gemma-3-1b-pt,7868150.7,109.7,False
llm-google-gemma-3-4b-pt,12701833.85,165.94,False
llm-meta-llama-Llama-3.1-8B,18581402.83,156.62,False
llm-meta-llama-Llama-3.2-1B,5556681.94,103.97,False
llm-meta-llama-Llama-3.2-3B,10626735.65,711.25,False
llm-sentence-transformers-all-MiniLM-L6-v2,2103016.85,893.4,False
qf-nan,56717454.0,508.13,False
postgres-nan,2103016.85,254.44,False
aimai-nan,622930.0,26735.84,True
bao-nan,3233028.0,23739.26,True
