label,time,error,filtered
e2e-nan,15591185.999999998,-1.4364633782237692,False
llm-Qwen-Qwen3-Embedding-0.6B,9482171.99,1.030720479940535,False
llm-Qwen-Qwen3-Embedding-4B,41905453.69,-0.022370030698262933,False
llm-Qwen-Qwen3-Embedding-8B,76353405.79,0.6502199785269518,False
llm-answerdotai-ModernBERT-base,5484879.52,8.913476575364426,False
llm-bert-base-uncased,3472121.27,0.0005501522846972362,False
llm-google-gemma-3-12b-pt,27973710.68,-0.2779917789704539,False
llm-google-gemma-3-1b-pt,7868150.7,-1.8882736886424898,False
llm-google-gemma-3-4b-pt,12701833.85,-0.8811479676921956,False
llm-meta-llama-Llama-3.1-8B,18581402.83,-1.009021150727528,False
llm-meta-llama-Llama-3.2-1B,5556681.94,-2.0386215393811447,False
llm-meta-llama-Llama-3.2-3B,10626735.65,2.437618124395447,False
llm-sentence-transformers-all-MiniLM-L6-v2,2103016.85,3.2264407291930723,False
qf-nan,56717454.0,1.4963143501413132,False
postgres-nan,2103016.85,0.0,False
aimai-nan,622930.0,105.06767230782128,True
bao-nan,3233028.0,93.28931333159717,True
