label,time,error,filtered
aimai-nan,599816.0,6.704438965760967,False
bao-nan,3387544.0,1.217910689071645,False
e2e-nan,15888846.0,0.09999489049230115,False
llm-Qwen-Qwen3-Embedding-0.6B,9508873.99,-0.7218470498888141,False
llm-Qwen-Qwen3-Embedding-4B,41911439.69,-1.2568922305764407,False
llm-Qwen-Qwen3-Embedding-8B,76399883.79,-1.3265222053435795,False
llm-answerdotai-ModernBERT-base,5417631.52,-0.9493276556237538,False
llm-bert-base-uncased,3443115.27,-0.06762495138464453,False
llm-google-gemma-3-12b-pt,27998246.68,0.1764426125554851,False
llm-google-gemma-3-1b-pt,7771484.7,0.9475541452921942,False
llm-google-gemma-3-4b-pt,12736709.85,0.7204537948790533,False
llm-meta-llama-Llama-3.1-8B,18574420.83,-0.6521008225666615,False
llm-meta-llama-Llama-3.2-1B,5575547.94,0.2453899842485472,False
llm-meta-llama-Llama-3.2-3B,10611235.65,-0.3757023478650935,False
llm-sentence-transformers-all-MiniLM-L6-v2,2123690.85,-0.09651001739354514,False
qf-nan,56473666.0,-0.6968810916179338,False
postgres-nan,599816.0,0.0,False
