label,time,error,filtered
aimai-nan,599816.0,156.48,False
bao-nan,3387544.0,38.66,False
e2e-nan,15888846.0,18.81,False
llm-Qwen-Qwen3-Embedding-0.6B,9508873.99,19.29,False
llm-Qwen-Qwen3-Embedding-4B,41911439.69,22.7,False
llm-Qwen-Qwen3-Embedding-8B,76399883.79,18.55,False
llm-answerdotai-ModernBERT-base,5417631.52,12.29,False
llm-bert-base-uncased,3443115.27,22.43,False
llm-google-gemma-3-12b-pt,27998246.68,27.29,False
llm-google-gemma-3-1b-pt,7771484.7,31.83,False
llm-google-gemma-3-4b-pt,12736709.85,32.03,False
llm-meta-llama-Llama-3.1-8B,18574420.83,15.11,False
llm-meta-llama-Llama-3.2-1B,5575547.94,22.26,False
llm-meta-llama-Llama-3.2-3B,10611235.65,29.8,False
llm-sentence-transformers-all-MiniLM-L6-v2,2123690.85,33.83,False
qf-nan,56473666.0,19.2,False
postgres-nan,599816.0,16.48,False
