label,time,error,filtered
aimai-nan,599816.0,454.12,False
bao-nan,3387544.0,254.86,False
e2e-nan,15888846.0,57.45,False
llm-Qwen-Qwen3-Embedding-0.6B,9508873.99,29.73,False
llm-Qwen-Qwen3-Embedding-4B,41911439.69,42.59,False
llm-Qwen-Qwen3-Embedding-8B,76399883.79,83.83,False
llm-answerdotai-ModernBERT-base,5417631.52,24.54,False
llm-bert-base-uncased,3443115.27,45.46,False
llm-google-gemma-3-12b-pt,27998246.68,61.98,False
llm-google-gemma-3-1b-pt,7771484.7,202.27,False
llm-google-gemma-3-4b-pt,12736709.85,174.62,False
llm-meta-llama-Llama-3.1-8B,18574420.83,49.04,False
llm-meta-llama-Llama-3.2-1B,5575547.94,43.1,False
llm-meta-llama-Llama-3.2-3B,10611235.65,41.01,False
llm-sentence-transformers-all-MiniLM-L6-v2,2123690.85,106.31,False
qf-nan,56473666.0,67.14,False
postgres-nan,599816.0,59.91,False
