label,time,error,filtered
aimai-nan,599816.0,7.448111239497904,False
bao-nan,3387544.0,4.018977503635453,False
e2e-nan,15888846.0,-0.08388143573061912,False
llm-Qwen-Qwen3-Embedding-0.6B,9508873.99,-1.5188918594844838,False
llm-Qwen-Qwen3-Embedding-4B,41911439.69,-0.6957685491217179,False
llm-Qwen-Qwen3-Embedding-8B,76399883.79,0.6846049423254132,False
llm-answerdotai-ModernBERT-base,5417631.52,-2.031705871766084,False
llm-bert-base-uncased,3443115.27,-0.5590569825995775,False
llm-google-gemma-3-12b-pt,27998246.68,0.06794969802234807,False
llm-google-gemma-3-1b-pt,7771484.7,3.0800427499739094,False
llm-google-gemma-3-4b-pt,12736709.85,2.5716175435221706,False
llm-meta-llama-Llama-3.1-8B,18574420.83,-0.40309461609488717,False
llm-meta-llama-Llama-3.2-1B,5575547.94,-0.6706107498447981,False
llm-meta-llama-Llama-3.2-3B,10611235.65,-0.7763364139112839,False
llm-sentence-transformers-all-MiniLM-L6-v2,2123690.85,1.2109544871033076,False
qf-nan,56473666.0,0.2283664549549973,False
postgres-nan,599816.0,0.0,False
