label,time,error,filtered
aimai-nan,402364.0,1.3944344095732673,False
bao-nan,2328508.0,0.9750000000000001,False
e2e-nan,10163836.0,1.4533120246886364,False
llm-Qwen-Qwen3-Embedding-0.6B,6702999.61,2.231391210792022,False
llm-Qwen-Qwen3-Embedding-4B,34859036.12,0.9031915636566801,False
llm-Qwen-Qwen3-Embedding-8B,63674670.27,0.6927306329893732,False
llm-answerdotai-ModernBERT-base,3810215.69,0.9814627569935964,False
llm-bert-base-uncased,2339050.4699999997,1.3944344095732673,False
llm-google-gemma-3-12b-pt,22014167.19,1.3109617856725488,False
llm-google-gemma-3-1b-pt,5300359.69,1.0072099686812823,False
llm-google-gemma-3-4b-pt,9419881.37,0.6857142857142856,False
llm-meta-llama-Llama-3.1-8B,14358866.29,0.4212373848179025,False
llm-meta-llama-Llama-3.2-1B,4066730.64,1.3229651162790699,False
llm-meta-llama-Llama-3.2-3B,7709599.56,0.8299725552506141,False
llm-sentence-transformers-all-MiniLM-L6-v2,1553091.25,1.801377052337619,False
qf-nan,38681444.0,1.7004251062765694,False
mscn-nan,158214268.0,3.2971603108839633,False
alece-nan,23531452.0,0.5196419608499245,False
price-nan,127574024.0,1.4239473537449112,False
postgres-nan,402364.0,0.0,False
