label,time,error,filtered
aimai-nan,402364.0,143.96,False
bao-nan,2328508.0,86.44,False
e2e-nan,10163836.0,315.89,False
llm-Qwen-Qwen3-Embedding-0.6B,6702999.61,797.89,False
llm-Qwen-Qwen3-Embedding-4B,34859036.12,97.15,False
llm-Qwen-Qwen3-Embedding-8B,63674670.27,48.16,False
llm-answerdotai-ModernBERT-base,3810215.69,147.63,False
llm-bert-base-uncased,2339050.4699999997,146.44,False
llm-google-gemma-3-12b-pt,22014167.19,145.39,False
llm-google-gemma-3-1b-pt,5300359.69,124.74,False
llm-google-gemma-3-4b-pt,9419881.37,56.89,False
llm-meta-llama-Llama-3.1-8B,14358866.29,43.3,False
llm-meta-llama-Llama-3.2-1B,4066730.64,108.19,False
llm-meta-llama-Llama-3.2-3B,7709599.56,56.09,False
llm-sentence-transformers-all-MiniLM-L6-v2,1553091.25,414.66,False
qf-nan,38681444.0,93.66,False
postgres-nan,402364.0,38.99,False
