label,time,error,filtered
aimai-nan,450264.00000000006,1.93,False
bao-nan,2242746.0,1.93,False
e2e-nan,10745734.0,1.83,False
llm-Qwen-Qwen3-Embedding-0.6B,6710857.61,2.21,False
llm-Qwen-Qwen3-Embedding-4B,34871626.12,1.6,False
llm-Qwen-Qwen3-Embedding-8B,63685784.27,1.58,False
llm-answerdotai-ModernBERT-base,3841881.69,1.82,False
llm-bert-base-uncased,2305852.4699999997,2.01,False
llm-google-gemma-3-12b-pt,21982625.19,1.66,False
llm-google-gemma-3-1b-pt,5370103.69,1.62,False
llm-google-gemma-3-4b-pt,9417391.37,1.55,False
llm-meta-llama-Llama-3.1-8B,14374962.29,1.6,False
llm-meta-llama-Llama-3.2-1B,4069344.64,1.59,False
llm-meta-llama-Llama-3.2-3B,7758145.56,1.59,False
llm-sentence-transformers-all-MiniLM-L6-v2,1515323.25,2.06,False
qf-nan,38684396.0,5.93,False
postgres-nan,450264.00000000006,21.35,False
