label,time,error,filtered
aimai-nan,450264.00000000006,-10.971778039339409,False
bao-nan,2242746.0,-10.971778039339409,False
e2e-nan,10745734.0,-11.580952380952382,False
llm-Qwen-Qwen3-Embedding-0.6B,6710857.61,-9.557120603600836,False
llm-Qwen-Qwen3-Embedding-4B,34871626.12,-13.268808548009368,False
llm-Qwen-Qwen3-Embedding-8B,63685784.27,-13.438653544007352,False
llm-answerdotai-ModernBERT-base,3841881.69,-11.645523329129887,False
llm-bert-base-uncased,2305852.4699999997,-10.527745348200451,False
llm-google-gemma-3-12b-pt,21982625.19,-12.78369402669225,False
llm-google-gemma-3-1b-pt,5370103.69,-13.103134125538498,False
llm-google-gemma-3-4b-pt,9417391.37,-13.701594016771173,False
llm-meta-llama-Llama-3.1-8B,14374962.29,-13.268808548009368,False
llm-meta-llama-Llama-3.2-1B,4069344.64,-13.353199888059153,False
llm-meta-llama-Llama-3.2-3B,7758145.56,-13.353199888059153,False
llm-sentence-transformers-all-MiniLM-L6-v2,1515323.25,-10.267590550464975,False
qf-nan,38684396.0,-3.3225855116878815,False
postgres-nan,450264.00000000006,0.0,False
