label,time,error,filtered
aimai-nan,653374.0,1.57,False
bao-nan,3315196.0,1.93,False
e2e-nan,15849574.0,1.85,False
llm-Qwen-Qwen3-Embedding-0.6B,9550401.99,1.49,False
llm-Qwen-Qwen3-Embedding-4B,41914435.69,1.4,False
llm-Qwen-Qwen3-Embedding-8B,76382133.79,1.3,False
llm-answerdotai-ModernBERT-base,5418591.52,1.59,False
llm-bert-base-uncased,3510071.27,1.66,False
llm-google-gemma-3-12b-pt,28002882.68,1.39,False
llm-google-gemma-3-1b-pt,7785774.7,1.36,False
llm-google-gemma-3-4b-pt,12751851.85,1.4,False
llm-meta-llama-Llama-3.1-8B,18589694.83,1.4,False
llm-meta-llama-Llama-3.2-1B,5482397.94,1.36,False
llm-meta-llama-Llama-3.2-3B,10595063.65,1.39,False
llm-sentence-transformers-all-MiniLM-L6-v2,2154210.85,1.54,False
qf-nan,64124019.99999999,2.29,False
postgres-nan,653374.0,2.08,False
